,CompanyName:,BusinessintheStateof:,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:,MEMBER_MONTHS_SMALL_GROUP,EXPECTED_REINSURANCE,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),Not-For-Profit:,Premium,Loss1,Loss2,Loss3,Loss4
897,United Teachers Associates,North Dakota,33756,,,,,,,,,No,0.0,0.0,,,
898,American Heritage Life Insurance Company,Pennsylvania,33786,,,,,,,,,No,0.0,0.0,,,
899,Unimerica Insurance Company,District of Columbia,33791,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
900,Golden Rule Insurance Company,Illinois,33798,397828.0,4.0,0.0,0.0,0.0,,,,No,81632826.31,57001838.9,6431090.3,70701.82,0.0
901,Pekin Life Insurance Company,Kansas,33868,,,,,,,,,No,0.0,0.0,,,
902,Keystone Health Plan East,Pennsylvania,33871,1365965.0,1427814.0,56237854.0,-61020486.0,-7900230.0,"$56,237,853.67 ","($61,020,486.20)","($7,900,229.63)",No,455352488.0,419745377.2,7172202.0,500445.0,
903,Globe Life and Accident Insurance Co,Oklahoma,33872,,,,,,,,,No,0.0,0.0,,,
904,Aetna Life Insurance Company,Pennsylvania,33906,542601.0,78728.0,2951625.54,-67222.42,-382153.41,"$2,951,625.54 ","($67,222.42)","($382,153.41)",No,110511213.4,98689530.82,12977838.71,1042348.56,9281.4
905,"UnitedHealthcare of Ohio, Inc",Ohio,33931,232.0,74.0,0.0,0.0,0.0,,,,No,302843.22,266468.64,2988.13,200.93,0.0
906,Standard Life and Accident Insurance Company,Georgia,33945,575.0,,0.0,0.0,,,,,No,81233.59,87949.28,,,0.0
907,American Heritage Life Insurance Company,New Hampshire,33948,,,,,,,,,No,0.0,0.0,,,
908,"Sierra Health and Life Insurance Company, Inc.",Florida,33990,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
909,"Wellmark, Inc.",South Dakota,33994,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,
910,Humana Insurance Company,New Mexico,33995,,,,,,,,,No,0.0,6.58e-11,0.0,,
911,Independence American Insurance Company,Oklahoma,34001,0.0,,,,,,,,No,0.0,0.0,0.0,,
912,American States Insurance Company,Missouri,34018,,,,,,,,,No,,1206.22,,,
913,Trustmark Life Insurance Company,Kentucky,34023,,0.0,,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
914,The Guardian Life Insurance Company of America,Utah,34028,12.0,,,,,,,,No,44.0,0.0,,,
915,American General Life Insurance Company,South Carolina,34044,1314.0,,,,,,,,No,5093.0,19191.0,,,
916,Regal Life of America Insurance Company,Texas,34071,68.0,,,,,,,,No,12130.0,3766.0,,,
917,"Group Health Plan, Inc.",Minnesota,34102,51252.0,,2695000.0,-2650.0,,"$2,695,282.74 ","($2,650.50)",$-,Yes,17933454.0,15951000.0,1815000.0,222000.0,
918,Union Security Insurance Company,Alaska,34132,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
919,United American Insurance Co,New Hampshire,34173,,,,,,,,,No,0.0,0.0,,,
920,American National Life Insurance Company of Texas,Louisiana,34197,1114.0,,0.0,0.0,,,,,No,360647.47,225608.32,,,0.0
921,Trustmark Insurance Company,Kansas,34204,,,,,,,,,No,,,,,
922,TransAmerica Premier Life Insurance,Massachusetts,34250,,,,,,,,,No,0.0,0.0,,,
923,Trustmark Insurance Company,Oregon,34258,,,,,,,,,No,,,,,
924,TransAmerica Premier Life Insurance,South Carolina,34263,0.0,,,,,,,,No,0.0,-119766.0,,,
925,Transamerica Life Insurance Company,Utah,34343,,,,,,,,,No,,,,,
926,Celtic Insurance Company,Kansas,34368,75.0,,0.0,3792.7,,$0.00 ,"$3,792.70 ",$-,No,31340.7,13235.1784,136.0,26.0,0.0
927,American Income Life Insurance Co,District of Columbia,34432,,,,,,,,,No,0.0,0.0,,,
928,American National Insurance Company,New Mexico,34441,118.0,,0.0,0.0,,,,,No,14634.00165,15300.6726,,,0.0
929,Philadelphia American Life Insurance Company,Montana,34445,,,,,,,,,No,,,,,
930,UnitedHealthcare Insurance Company of the River Valley,Illinois,34446,1800.0,198542.0,0.0,0.0,-1540017.03,N/E,$-,"($1,540,017.03)",No,747975.75,307176.16,123952.82,14713.81,0.0
931,American National Life Insurance Company of Texas,Washington,34473,50.0,,0.0,0.0,,,,,No,12140.64,503.7,,,0.0
932,"Health New England, Inc",Massachusetts,34484,26658.0,252869.0,774704.0,-289729.0,-2340339.0,"$774,704.21 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes,10877393.0,10507054.0,2143554.0,111130.6042,
933,Sterling Life Insurance Co.,New Mexico,34487,,,,,,,,,No,,,,,
934,The Prudential Insurance Company of America,Wisconsin,34501,,,,,,,,,No,,,,,
935,BridgeSpan Health Company,Utah,34541,27049.0,,1994102.0,-938474.0,,"$1,994,102.22 ","($938,474.23)",$-,No,9231395.0,11549848.0,1482007.0,10162.0,
936,American General Life Insurance Company,North Carolina,34598,1332.0,,,,,,,,No,5045.0,-436.0,,,
937,Golden Rule Insurance Company,Minnesota,34604,2361.0,0.0,0.0,0.0,0.0,,,,No,1027321.93,1069605.42,291170.89,12665.45,0.0
938,United Healthcare Life Insurance Company,Idaho,34615,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
939,Aetna Life Insurance Company,Washington,34673,216.0,274491.0,0.0,0.0,-4980835.16,N/E,$-,"($4,980,835.16)",No,80459.49,41364.93,9029.95,2195.38,0.0
940,UnitedHealthcare Insurance Company,Guam,34738,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
941,BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,Missouri,34762,630607.0,442946.0,25923279.05,18053572.29,2682326.2,"$25,923,279.05 ","$18,053,572.29 ","$2,682,326.20 ",Yes,204126165.1,191337992.4,39681228.31,1741847.945,0.0
942,Cigna Health and Life Insurance Company,West Virginia,34772,42.0,0.0,0.0,0.0,0.0,,,,No,12920.0,14771.0,0.0,44.0,1.0
943,The United States Life Ins. Co. in the City of New York,Oklahoma,34804,3312.0,,,,,,,,No,181142.0,124188.0,0.0,0.0,0.0
944,Aetna Health Inc. (a Pennsylvania corporation),Kentucky,34822,58.0,86.0,0.0,0.0,0.0,,,,No,14404.47,10087.48,6982.06,982.58,0.0
945,Illinois Mutual Life Insurance Company,New York,34824,,,,,,,,,No,,,,,
946,PacifiCare Life and Health Insurance Co,Utah,34847,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
947,WMI Mutual Insurance Company,New Mexico,34863,,82.0,,,,,,,No,0.0,0.0,,,
948,Cigna Health and Life Insurance Company,New Mexico,34871,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,-738.0,0.0,0.0,0.0
949,Nevada Health CO-OP,Nevada,34996,157901.0,4630.0,10078725.11,-3289885.24,-340005.25,"$10,078,725.11 ","($3,289,885.24)","($340,005.25)",Yes,67129889.61,62806959.22,11648028.62,375281.64,
950,American National Insurance Company,Alabama,35008,294.0,,0.0,0.0,,,,,No,8569.997315,-1264.0,,,0.0
951,Coordinated Care Corporation Indiana,Indiana,35065,6286.0,,102697.05,-323051.82,,"$102,697.05 ","($323,051.82)",$-,No,2374785.364,1946143.986,483552.41,9918.34,0.0
952,Globe Life and Accident Insurance Co,District of Columbia,35070,,,,,,,,,No,0.0,0.0,,,
953,Network Health Insurance Corporation,Wisconsin,35166,6115.0,20736.0,0.0,0.0,0.0,,,,Yes,104999.0,1846.0,0.0,0.0,0.0
954,Kanawha Insurance Company ,Maine,35168,387.0,,,,,,,,No,30179.0,188247.0,,,
955,Kanawha Insurance Company ,Virginia,35205,710.0,,,,,,,,No,40259.0,57618.0,,,
956,Illinois Mutual Life Insurance Company,Texas,35225,,,,,,,,,No,,,,,
957,Trustmark Life Insurance Company,California,35305,1478.0,0.0,,-132284.52,0.0,N/E,$-,"($132,284.52)",No,-6558.53,48046.62014,0.0,0.0,0.0
958,Highmark Health Insurance Company,West Virginia,35317,,,,,,,,,No,,,,,
959,American National Insurance Company,West Virginia,35322,24.0,,0.0,0.0,,,,,No,17437.0241,29634.8837,,,0.0
960,West Coast Life Insurance Company,Texas,35329,36.0,,,,,,,,No,2336.0,29017.0,,,
961,MercyCare Insurance Company,Wisconsin,35334,,1572.0,,,-394787.04,N/E,$-,"($394,787.04)",No,0.0,0.0,,,
962,"UnitedHealthcare Plan of the River Valley, Inc.",Tennessee,35351,200.0,21186.0,0.0,0.0,0.0,,,,No,65325.21,23362.53,2979.2,2228.14,0.0
963,Wilton Reassurance Company,West Virginia,35364,25.0,,,,,,,,No,687.0,0.0,,,
964,Celtic Insurance Company,Michigan,35443,3.0,,0.0,-633.0,,$0.00 ,($633.00),$-,No,57595.0,-39.03903322,0.0,0.0,0.0
965,Liberty Mutual Insurance Company,California,35451,,,,,,,,,No,,,,,
966,New Era Life Insurance Company,Iowa,35461,,,,,,,,,No,,,,,
967,Philadelphia American Life Insurance Company,Delaware,35476,,,,,,,,,No,,,,,
968,Kanawha Insurance Company ,Kansas,35480,204.0,,,,,,,,No,11678.0,49631.0,,,
969,American Family Mutual Insurance Company,North Dakota,35503,2290.0,,,,,,,,No,693971.0,437085.0,5046.0,,
970,Medico Corp Life Insurance Company,Tennessee,35504,,,,,,,,,No,,,,,
971,American National Insurance Company,Iowa,35549,170.0,,0.0,0.0,,,,,No,68326.60633,16186.4627,,,0.0
972,Kaiser Permanente Insurance Company,Hawaii,35585,,,0.0,0.0,0.0,,,,No,,,,,
973,American Alternative Insurance Corporation,Virginia,35586,,0.0,,,,,,,No,,,,,
974,American Heritage Life Insurance Company,New York,35591,,,,,,,,,No,0.0,0.0,,,
975,Globe Life and Accident Insurance Co,Virginia,35617,,,,,,,,,No,0.0,0.0,,,
976,United American Insurance Co,Georgia,35648,,,,,,,,,No,0.0,0.0,,,
977,Coventry Health & Life Insurance Company,Illinois,35670,64001.0,98945.0,2168704.98,-2604833.07,-400513.47,"$2,168,704.98 ","($2,604,833.08)","($400,513.48)",No,16638830.31,13080518.26,2469676.33,149554.36,0.0
978,United American Insurance Co,Louisiana,35719,,,,,,,,,No,0.0,0.0,,,
979,US Health and Life Insurance Company,Indiana,35755,,18115.0,,,,N/E,$-,"($160,702.61)",No,,,,,
980,"Humana Medical Plan, Inc. ",Florida,35783,1990616.0,764794.0,119899412.3,-80860989.32,-6552473.44,"$119,899,412.27 ","($80,860,989.32)","($6,552,473.44)",No,682245553.2,646221477.6,51250994.36,2562370.1,3658.0
981,The Guardian Life Insurance Company of America,Colorado,35897,84.0,,,,,,,,No,1239.0,11718.0024,,,
982,Kaiser Permanente Insurance Company,Colorado,35944,,1146.0,0.0,0.0,-49499.0,N/E,$-,"($49,499.07)",No,,,,,
983,AMERICAN FIDELITY ASSURANCE COMPANY,Montana,35949,,,,,,,,,No,,,,,
984,Time Insurance Company,West Virginia,35992,10232.0,2207.0,48505.0,-57845.0,-59979.0,"$48,505.44 ","($57,844.83)","($59,979.36)",No,3200145.0,1941942.0,150702.0,19259.0,0.0
985,Reserve National Insurance Company,Colorado,35997,,,,,,,,,No,0.0,0.0,,,
986,"Health Net Health Plan of Oregon, Inc",Washington,36026,,4399.0,,,,,,,No,0.0,0.0,,,
987,Guarantee Trust Life Insurance Co.,South Dakota,36043,0.0,,,,,,,,No,0.0,,,,
988,"Harvard Pilgrim Health Care, Inc.",Massachusetts,36046,115286.0,1292301.0,9694228.0,11346630.0,-10866371.23,"$9,694,228.25 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes,81609039.0,59975447.18,12147312.0,685398.0,550443.0
989,"Health Care Service Corporation, a Mutual Legal Reserve Company",Illinois,36096,5537415.0,4156218.0,277754457.9,-10823647.68,4303605.47,"$277,754,457.89 ","($10,823,647.68)","$4,303,605.47 ",Yes,2064463703.0,1902696433.0,316370507.0,31209073.0,
990,The United States Life Ins. Co. in the City of New York,Indiana,36107,5887.0,,,,,,,,No,325256.0,209258.0,0.0,0.0,0.0
991,Liberty National Life Insurance Co,Utah,36135,,,,,,,,,No,0.0,0.0,,,
992,Union Fidelity Life Insurance Company,Ohio,36204,,,,,,,,,No,,,,,
993,Connecticut General Life Insurance Company,Utah,36234,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,-1430.0,0.0,0.0,0.0
994,"Anthem Health Plans of Kentucky, Inc.",Kentucky,36239,1016969.0,990852.0,10851899.03,4889935.0,2798477.0,"$10,851,899.04 ","$4,889,935.19 ","$2,798,476.94 ",No,292875738.0,219708615.8,56633777.79,7234705.573,0.0
995,Trustmark Life Insurance Company,Ohio,36241,,16654.0,,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
996,Philadelphia American Life Insurance Company,Puerto Rico,36243,,,,,,,,,No,,,,,
997,Hospital Service Association of Northeastern PA,Pennsylvania,36248,17284.0,,,,,,,,Yes,1600369.0,2916027.0,7289.0,-10764.0,
998,Companion Life Insurance Company,North Carolina,36256,18321.0,,,,,,,,No,596979.0,375009.0,177355.0,,
999,American Family Mutual Insurance Company,Arizona,36289,69.0,,,,,,,,No,39601.0,413.0,,,
1000,Reserve National Insurance Company,Alabama,36305,,,,,,,,,No,0.0,0.0,,,
1001,All Savers Insurance Company,Indiana,36373,0.0,43943.0,0.0,0.0,-422134.46,N/E,$-,"($425,165.15)",No,0.0,0.0,0.0,0.0,0.0
1002,Shelter Life Insurance Company,Texas,36403,36.0,0.0,0.0,0.0,0.0,,,,No,1935.74,1240.69,0.0,0.0,0.0
1003,State Farm Mutual Automobile Insurance Company,Ohio,36428,2974.0,0.0,0.0,0.0,0.0,,,,No,1389597.41,821396.52,0.0,0.0,0.0
1004,Humana Insurance Company,Alaska,36608,,,,,,,,,No,0.0,0.0,,,
1005,Grand Valley Health Plan,Michigan,36622,569.0,6856.0,,,,,,,No,240871.0,215162.36,,,
1006,United Teachers Associates,South Carolina,36667,,,,,,,,,No,0.0,0.0,,,
1007,All Savers Insurance Company,Maryland,36677,2215.0,0.0,266389.23,272660.88,0.0,"$266,389.22 ","$272,660.90 ",$-,No,1337941.48,1553516.26,380839.96,55917.99,18.1
1008,TransAmerica Premier Life Insurance,Washington,36688,12.0,,,,,,,,No,103.0,0.0,,,
1009,Loyal American Life Insurance Company,North Carolina,36832,3.0,,,,,,,,No,25.0,400.0,,,
1010,All Savers Insurance Company,Delaware,36843,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
1011,Union Fidelity Life Insurance Company,Iowa,36852,,,,,,,,,No,,,,,
1012,New Era Life Insurance Company,Arizona,36885,100.0,,,,,,,,No,36070.0,12149.0,,,
1013,Philadelphia American Life Insurance Company,Missouri,36918,24.0,,,,,,,,No,7323.0,245.0,,,
1014,United Healthcare Life Insurance Company,District of Columbia,36921,74.0,0.0,0.0,0.0,0.0,,,,No,28353.08,4126.12,290.99,0.0,0.0
1015,American Republic Insurance Company,Nevada,36944,,,,,,,,,No,,,,,
1016,American Republic Insurance Company,Massachusetts,36991,,,,,,,,,No,,,,,
1017,Pekin Life Insurance Company,Louisiana,36997,,,,,,,,,No,0.0,0.0,,,
1018,Humana Insurance Company,Georgia,37001,28543.0,8348.0,1866817.18,2184957.04,721767.42,"$1,866,817.18 ","$2,184,957.04 ","$721,767.42 ",No,11803747.69,8576659.711000001,1140210.92,56841.05,616.0
1019,Pekin Life Insurance Company,Ohio,37028,,474.0,,,,,,,No,0.0,0.0,,,
1020,"UnitedHealthcare of Oregon, Inc.",Oregon,37057,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,314.05,0.0,0.0,0.0
1021,TransAmerica Premier Life Insurance,New Hampshire,37060,,0.0,,,,,,,No,0.0,0.0,,,
1022,American Income Life Insurance Co,Massachusetts,37072,,,,,,,,,No,0.0,0.0,,,
1023,United American Insurance Co,New Mexico,37081,,,,,,,,,No,0.0,0.0,,,
1024,Highmark Health Insurance Company,Delaware,37097,,,,,,,,,No,,,,,
1025,Sun Life and Health Insurance Company (U.S.),New York,37105,,,,,,,,,No,,,,,
1026,Central United Life Insurance Company,Wyoming,37142,,,,,,,,,No,,,,,
1027,Unified Life Insurance Company,District of Columbia,37151,,,,,,,,,No,,,,,
1028,Noridian Mutual Insurance Company,North Dakota,37160,487298.0,662969.0,13433148.0,1088178.0,309403.0,"$13,433,148.25 ","$1,088,177.61 ","$309,402.76 ",Yes,179687696.0,159610965.0,25999603.0,1505041.0,0.0
1029,United American Insurance Co,Texas,37168,,,,,,,,,No,0.0,0.0,,,
1030,The United States Life Ins. Co. in the City of New York,Alaska,37236,1995.0,,,,,,,,No,195263.0,139747.0,0.0,0.0,0.0
1031,Transamerica Life Insurance Company,New York,37261,,,,,,,,,No,,,,,
1032,Guarantee Trust Life Insurance Co.,North Carolina,37285,8.0,,,,,,,,No,2357.26,,,,
1033,National Foundation Life Insurance Company,Pennsylvania,37352,3895.0,,0.0,0.0,,,,,No,674334.0,592403.0,3183.0,0.0,0.0
1034,American States Insurance Company,Wisconsin,37362,,,,,,,,,No,,196207.21,,,
1035,The United States Life Ins. Co. in the City of New York,Tennessee,37444,9085.0,,,,,,,,No,527376.0,361084.0,0.0,0.0,0.0
1036,Central United Life Insurance Company,Iowa,37460,,,,,,,,,No,,,,,
1037,Wilton Reassurance Company,South Dakota,37468,194.0,,,,,,,,No,258.0,0.0,,,
1038,Life of America,Indiana,37481,38.0,,,,,,,,No,10529.0,2808.0,,,
1039,The Prudential Insurance Company of America,Virginia,37515,,,,,,,,,No,,,,,
1040,Union Fidelity Life Insurance Company,Oklahoma,37520,,,,,,,,,No,,,,,
1041,Central United Life Insurance Company,Arkansas,37620,,,,,,,,,No,,,,,
1042,Health Alliance Plan of Michigan,Michigan,37651,50283.0,193568.0,5921542.0,5267035.0,-58897.0,"$5,921,541.69 ","$5,267,035.16 ","($59,049.89)",Yes,30642228.0,26220361.0,3854752.0,156308.0,
1043,Wilton Reassurance Company,Michigan,37707,76.0,,,,,,,,No,76.0,0.0,,,
1044,Celtic Insurance Company,Mississippi,37710,374.0,,0.0,0.0,,,,,No,170443.0,91890.10702000001,14584.0,2829.0,0.0
1045,United Healthcare Life Insurance Company,Minnesota,37715,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
1046,Insurance Company of Scott & White,Texas,37755,74627.0,100.0,0.0,0.0,0.0,,,,No,13687923.0,13519257.76,1477470.08,0.0,0.0
1047,UnitedHealthcare Insurance Company,New Jersey,37777,0.0,1664.0,0.0,0.0,0.0,,,,No,-637.47,262.76,0.0,0.0,0.0
1048,Union Security Insurance Company,New Mexico,37818,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
1049,Unity Health Plans Insurance Corporation,Wisconsin,37833,101128.0,278357.0,4934795.0,7490116.0,802161.0,"$4,934,795.29 ","$7,490,116.39 ","$802,161.46 ",No,45174921.0,41162595.0,8594361.0,552617.0,
1050,Union Labor Life Insurance Company,Rhode Island,37869,9.0,,,,,,,,No,1863.0,1668.0,,,
1051,"Sierra Health and Life Insurance Company, Inc.",North Dakota,37880,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
1052,American Income Life Insurance Co,South Carolina,37894,,,,,,,,,No,0.0,0.0,,,
1053,State Farm Mutual Automobile Insurance Company,Indiana,37897,1800.0,0.0,0.0,0.0,0.0,,,,No,874122.94,550446.69,0.0,0.0,0.0
1054,American National Life Insurance Company of Texas,Delaware,37912,72.0,,0.0,0.0,,,,,No,29710.0,26372.15,,,0.0
1055,The United States Life Ins. Co. in the City of New York,Nevada,37948,6191.0,,,,,,,,No,259808.0,169274.0,0.0,0.0,0.0
1056,"Coventry Health Care of Kansas, Inc.",Missouri,37977,0.0,298.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
1057,"SummaCare, Inc.",Ohio,37990,,,,,,,,,No,,,,,
1058,Shelter Life Insurance Company,Louisiana,38056,108.0,0.0,0.0,0.0,0.0,,,,No,4469.0,21908.28,0.0,0.0,0.0
1059,National Foundation Life Insurance Company,California,38092,252.0,,0.0,0.0,,,,,No,64550.0,3347.0,0.0,0.0,0.0
1060,Montana Health Cooperative,Idaho,38128,,,,,,,,,Yes,,,,,
1061,"Security Health Plan of Wisconsin, Inc.",Wisconsin,38166,291458.0,122979.0,43113884.0,-4769093.0,-545102.0,"$43,113,883.54 ","($4,769,092.74)","($545,101.95)",Yes,172702018.0,159303095.0,19428063.0,440763.0,
1062,Trustmark Insurance Company,Oklahoma,38206,,,,,,,,,No,,,,,
1063,Aetna Life Insurance Company,Virginia,38234,177329.0,120318.0,7604605.22,7863949.4,-1438865.46,"$7,604,605.22 ","$7,863,949.40 ","($1,438,865.46)",No,65031507.03,53645894.85,8340813.26,680633.28,475.5
1064,Trustmark Life Insurance Company,Kansas,38251,,3751.0,,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
1065,Companion Life Insurance Company,Oregon,38277,2280.0,,,,,,,,No,88167.0,53134.0,25129.0,,
1066,Thrivent Financial for Lutherans,Pennsylvania,38278,,,,,,,,,No,,,,,
1067,Companion Life Insurance Company,Colorado,38283,11256.0,,,,,,,,No,395726.0,175575.0,147024.0,,
1068,First Allmerica Financial Life Ins. Co,Maine,38289,,,,,,,,,No,,1475.0,,,
1069,Premera Blue Cross,Alaska,38344,146645.0,222340.0,19984670.0,5782175.0,-119932.0,"$19,984,669.96 ","$5,782,175.12 ","($119,931.53)",Yes,99791055.51,90720294.0,6944050.0,806385.0,
1070,United American Insurance Co,Rhode Island,38416,,,,,,,,,No,0.0,0.0,,,
1071,Federated Mutual Insurance Company,Mississippi,38420,0.0,2273.0,0.0,0.0,-32739.65,N/E,$-,"($32,739.65)",No,0.0,0.0,0.0,0.0,0.0
1072,Wilton Reassurance Company,Maine,38424,24.0,,,,,,,,No,31.0,0.0,,,
1073,Shelter Life Insurance Company,Arkansas,38433,180.0,0.0,0.0,0.0,0.0,,,,No,2091.17,-5705.7,0.0,0.0,0.0
1074,Unified Life Insurance Company,Alabama,38445,0.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,0.0
1075,LifeWise Health Plan of Washington,Washington,38498,974829.0,6302.0,37535881.13,-32176872.0,,"$37,535,881.13 ","($32,176,872.96)",$-,Yes,324123443.1,231934471.0,22615992.0,1914585.0,
1076,"UnitedHealthcare of Louisiana, Inc.",Louisiana,38499,28.0,12949.0,0.0,0.0,-97687.23,N/E,$-,"($97,687.22)",No,13644.49,6788.66,85.72,307.03,0.0
1077,United Teachers Associates,Kansas,38509,,,,,,,,,No,0.0,0.0,,,
1078,"Madison National Life Insurance Company, Inc.",Colorado,38530,855.0,,,,,,,,No,149904.0,108577.0,3996.0,,
1079,Globe Life and Accident Insurance Co,Alaska,38538,,,,,,,,,No,0.0,0.0,,,
1080,American Income Life Insurance Co,Iowa,38546,,,,,,,,,No,0.0,0.0,,,
1081,Time Insurance Company,Alaska,38596,21876.0,25471.0,1558729.0,-922848.0,-317716.0,"$1,558,728.91 ","($922,848.49)","($317,715.76)",No,7669817.0,6996763.0,466841.0,25472.0,-13972.0
1082,"UnitedHealthcare of the Mid-Atlantic, Inc.",Virginia,38599,31.0,0.0,0.0,0.0,0.0,,,,No,36306.49,10372.81,0.0,0.0,0.0
1083,The Prudential Insurance Company of America,United States Virgin Islands,38607,,,,,,,,,No,,,,,
1084,Unimerica Insurance Company,New Jersey,38617,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
1085,United Teachers Associates,United States Virgin Islands,38628,,,,,,,,,No,,,,,
1086,All Savers Insurance Company,New Mexico,38649,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
1087,Globe Life and Accident Insurance Co,Indiana,38669,,,,,,,,,No,0.0,0.0,,,
1088,Tufts Insurance Company,Massachusetts,38712,5487.0,24883.0,1677442.0,293378.0,1330440.0,"$1,677,442.23 ",N/A_MA_Issuer,N/A_MA_Issuer,No,5521269.0,6839015.0,1221211.0,28887.0,0.0
1089,Aetna Life Insurance Company,Wisconsin,38752,32.0,12207.0,0.0,0.0,-226568.25,N/E,$-,"($226,568.25)",No,6688.06,8703.7,9505.96,-497.17,0.0
1090,Globe Life and Accident Insurance Co,Maryland,38755,,,,,,,,,No,0.0,0.0,,,
1091,The Chesapeake Life Insurance Company,Texas,38758,3262.0,0.0,0.0,0.0,0.0,,,,No,598678.0,229339.3799,21305.13752,8402.389285,169.23
1092,Federated Mutual Insurance Company,Georgia,38835,91.0,36366.0,0.0,0.0,-55911.28,N/E,$-,"($55,911.28)",No,52560.4,204532.76,0.0,0.0,0.0
1093,The Prudential Insurance Company of America,District of Columbia,38837,,,,,,,,,No,,,,,
1094,Reserve National Insurance Company,Illinois,38858,,,,,,,,,No,0.0,0.0,,,
1095,United Healthcare Life Insurance Company,New Mexico,38908,664.0,0.0,0.0,0.0,0.0,,,,No,243430.24,98690.02,15885.36,3500.1,0.0
1096,Aetna Health Inc. (a Pennsylvania corporation),Massachusetts,38917,24.0,305.0,0.0,0.0,0.0,,,,No,0.0,-709.99,0.0,1253.22,0.0
1097,The Guardian Life Insurance Company of America,Wyoming,38921,24.0,,,,,,,,No,313.0,40.138000000000005,,,
1098,Aetna Health of Utah Inc.,Utah,38927,142404.0,419799.0,3138343.27,-1640855.99,349014.15,"$3,138,343.27 ","($1,640,855.99)","$347,136.03 ",No,31571567.55,26503726.2,3066486.97,206193.85,0.0
1099,"Keystone Health Plan West, Inc.",Pennsylvania,38949,68099.0,1498.0,304443.0,223700.0,-59934.0,"$304,443.33 ","$223,700.41 ","($59,934.41)",Yes,27419706.0,27681855.0,6632672.0,760716.0,
1100,UnitedHealthcare Insurance Company of New York,District of Columbia,38959,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
1101,National Foundation Life Insurance Company,Missouri,38968,57.0,,0.0,0.0,,,,,No,12650.0,490.0,0.0,0.0,0.0
1102,QCC Insurance Company,Delaware,38972,,1312.0,,,,,,,No,0.0,0.0,,,
1103,Aetna Life Insurance Company,Colorado,39041,10084.0,10196.0,0.0,0.0,0.0,,,,No,4495568.37,4506995.16,648793.44,41120.37,49.09
1104,Time Insurance Company,Colorado,39060,251449.0,0.0,16138882.0,9288649.0,0.0,"$16,138,881.92 ","$9,288,648.71 ",$-,No,95783853.0,85312278.0,7307407.0,520060.0,-107442.0
1105,American Heritage Life Insurance Company,Rhode Island,39106,,,,,,,,,No,0.0,0.0,,,
1106,Aetna Life Insurance Company,Kentucky,39127,88.0,0.0,0.0,0.0,0.0,,,,No,14587.7,25306.61,19572.64,1907.7,0.0
1107,Aetna Life Insurance Company,Connecticut,39159,394978.0,430042.0,5454083.6,2822391.75,2719970.89,"$5,454,083.60 ","$2,822,391.74 ","$2,719,970.89 ",No,106745558.3,92307381.1,11740437.35,1156956.88,44244.55
1108,Central United Life Insurance Company,California,39193,,,,,,,,,No,,184693.0,,,
1109,American General Life Insurance Company,United States Virgin Islands,39221,0.0,,,,,,,,No,0.0,0.0,,,
1110,"Sierra Health and Life Insurance Company, Inc.",Iowa,39238,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0
