,CompanyName:,BusinessintheStateof:,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:,MEMBER_MONTHS_SMALL_GROUP,EXPECTED_REINSURANCE,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),Not-For-Profit:
932,"Health New England, Inc",Massachusetts,34484,26658.0,252869.0,774704.0,-289729.0,-2340339.0,"$774,704.21 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes
933,Sterling Life Insurance Co.,New Mexico,34487,,,,,,,,,No
934,The Prudential Insurance Company of America,Wisconsin,34501,,,,,,,,,No
935,BridgeSpan Health Company,Utah,34541,27049.0,,1994102.0,-938474.0,,"$1,994,102.22 ","($938,474.23)",$-,No
936,American General Life Insurance Company,North Carolina,34598,1332.0,,,,,,,,No
937,Golden Rule Insurance Company,Minnesota,34604,2361.0,0.0,0.0,0.0,0.0,,,,No
938,United Healthcare Life Insurance Company,Idaho,34615,0.0,0.0,0.0,0.0,0.0,,,,No
939,Aetna Life Insurance Company,Washington,34673,216.0,274491.0,0.0,0.0,-4980835.16,N/E,$-,"($4,980,835.16)",No
940,UnitedHealthcare Insurance Company,Guam,34738,0.0,0.0,0.0,0.0,0.0,,,,No
941,BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,Missouri,34762,630607.0,442946.0,25923279.05,18053572.29,2682326.2,"$25,923,279.05 ","$18,053,572.29 ","$2,682,326.20 ",Yes
942,Cigna Health and Life Insurance Company,West Virginia,34772,42.0,0.0,0.0,0.0,0.0,,,,No
943,The United States Life Ins. Co. in the City of New York,Oklahoma,34804,3312.0,,,,,,,,No
944,Aetna Health Inc. (a Pennsylvania corporation),Kentucky,34822,58.0,86.0,0.0,0.0,0.0,,,,No
945,Illinois Mutual Life Insurance Company,New York,34824,,,,,,,,,No
946,PacifiCare Life and Health Insurance Co,Utah,34847,0.0,0.0,0.0,0.0,0.0,,,,No
947,WMI Mutual Insurance Company,New Mexico,34863,,82.0,,,,,,,No
948,Cigna Health and Life Insurance Company,New Mexico,34871,0.0,0.0,0.0,0.0,0.0,,,,No
949,Nevada Health CO-OP,Nevada,34996,157901.0,4630.0,10078725.11,-3289885.24,-340005.25,"$10,078,725.11 ","($3,289,885.24)","($340,005.25)",Yes
950,American National Insurance Company,Alabama,35008,294.0,,0.0,0.0,,,,,No
951,Coordinated Care Corporation Indiana,Indiana,35065,6286.0,,102697.05,-323051.82,,"$102,697.05 ","($323,051.82)",$-,No
952,Globe Life and Accident Insurance Co,District of Columbia,35070,,,,,,,,,No
953,Network Health Insurance Corporation,Wisconsin,35166,6115.0,20736.0,0.0,0.0,0.0,,,,Yes
954,Kanawha Insurance Company ,Maine,35168,387.0,,,,,,,,No
955,Kanawha Insurance Company ,Virginia,35205,710.0,,,,,,,,No
956,Illinois Mutual Life Insurance Company,Texas,35225,,,,,,,,,No
957,Trustmark Life Insurance Company,California,35305,1478.0,0.0,,-132284.52,0.0,N/E,$-,"($132,284.52)",No
958,Highmark Health Insurance Company,West Virginia,35317,,,,,,,,,No
959,American National Insurance Company,West Virginia,35322,24.0,,0.0,0.0,,,,,No
960,West Coast Life Insurance Company,Texas,35329,36.0,,,,,,,,No
961,MercyCare Insurance Company,Wisconsin,35334,,1572.0,,,-394787.04,N/E,$-,"($394,787.04)",No
962,"UnitedHealthcare Plan of the River Valley, Inc.",Tennessee,35351,200.0,21186.0,0.0,0.0,0.0,,,,No
963,Wilton Reassurance Company,West Virginia,35364,25.0,,,,,,,,No
964,Celtic Insurance Company,Michigan,35443,3.0,,0.0,-633.0,,$0.00 ,($633.00),$-,No
965,Liberty Mutual Insurance Company,California,35451,,,,,,,,,No
966,New Era Life Insurance Company,Iowa,35461,,,,,,,,,No
967,Philadelphia American Life Insurance Company,Delaware,35476,,,,,,,,,No
968,Kanawha Insurance Company ,Kansas,35480,204.0,,,,,,,,No
969,American Family Mutual Insurance Company,North Dakota,35503,2290.0,,,,,,,,No
970,Medico Corp Life Insurance Company,Tennessee,35504,,,,,,,,,No
971,American National Insurance Company,Iowa,35549,170.0,,0.0,0.0,,,,,No
972,Kaiser Permanente Insurance Company,Hawaii,35585,,,0.0,0.0,0.0,,,,No
973,American Alternative Insurance Corporation,Virginia,35586,,0.0,,,,,,,No
974,American Heritage Life Insurance Company,New York,35591,,,,,,,,,No
975,Globe Life and Accident Insurance Co,Virginia,35617,,,,,,,,,No
976,United American Insurance Co,Georgia,35648,,,,,,,,,No
977,Coventry Health & Life Insurance Company,Illinois,35670,64001.0,98945.0,2168704.98,-2604833.07,-400513.47,"$2,168,704.98 ","($2,604,833.08)","($400,513.48)",No
978,United American Insurance Co,Louisiana,35719,,,,,,,,,No
979,US Health and Life Insurance Company,Indiana,35755,,18115.0,,,,N/E,$-,"($160,702.61)",No
980,"Humana Medical Plan, Inc. ",Florida,35783,1990616.0,764794.0,119899412.3,-80860989.32,-6552473.44,"$119,899,412.27 ","($80,860,989.32)","($6,552,473.44)",No
981,The Guardian Life Insurance Company of America,Colorado,35897,84.0,,,,,,,,No
982,Kaiser Permanente Insurance Company,Colorado,35944,,1146.0,0.0,0.0,-49499.0,N/E,$-,"($49,499.07)",No
983,AMERICAN FIDELITY ASSURANCE COMPANY,Montana,35949,,,,,,,,,No
984,Time Insurance Company,West Virginia,35992,10232.0,2207.0,48505.0,-57845.0,-59979.0,"$48,505.44 ","($57,844.83)","($59,979.36)",No
985,Reserve National Insurance Company,Colorado,35997,,,,,,,,,No
986,"Health Net Health Plan of Oregon, Inc",Washington,36026,,4399.0,,,,,,,No
987,Guarantee Trust Life Insurance Co.,South Dakota,36043,0.0,,,,,,,,No
988,"Harvard Pilgrim Health Care, Inc.",Massachusetts,36046,115286.0,1292301.0,9694228.0,11346630.0,-10866371.23,"$9,694,228.25 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes
989,"Health Care Service Corporation, a Mutual Legal Reserve Company",Illinois,36096,5537415.0,4156218.0,277754457.9,-10823647.68,4303605.47,"$277,754,457.89 ","($10,823,647.68)","$4,303,605.47 ",Yes
990,The United States Life Ins. Co. in the City of New York,Indiana,36107,5887.0,,,,,,,,No
991,Liberty National Life Insurance Co,Utah,36135,,,,,,,,,No
992,Union Fidelity Life Insurance Company,Ohio,36204,,,,,,,,,No
993,Connecticut General Life Insurance Company,Utah,36234,0.0,0.0,0.0,0.0,0.0,,,,No
994,"Anthem Health Plans of Kentucky, Inc.",Kentucky,36239,1016969.0,990852.0,10851899.03,4889935.0,2798477.0,"$10,851,899.04 ","$4,889,935.19 ","$2,798,476.94 ",No
995,Trustmark Life Insurance Company,Ohio,36241,,16654.0,,0.0,0.0,,,,No
996,Philadelphia American Life Insurance Company,Puerto Rico,36243,,,,,,,,,No
997,Hospital Service Association of Northeastern PA,Pennsylvania,36248,17284.0,,,,,,,,Yes
998,Companion Life Insurance Company,North Carolina,36256,18321.0,,,,,,,,No
999,American Family Mutual Insurance Company,Arizona,36289,69.0,,,,,,,,No
1000,Reserve National Insurance Company,Alabama,36305,,,,,,,,,No
1001,All Savers Insurance Company,Indiana,36373,0.0,43943.0,0.0,0.0,-422134.46,N/E,$-,"($425,165.15)",No
1002,Shelter Life Insurance Company,Texas,36403,36.0,0.0,0.0,0.0,0.0,,,,No
1003,State Farm Mutual Automobile Insurance Company,Ohio,36428,2974.0,0.0,0.0,0.0,0.0,,,,No
1004,Humana Insurance Company,Alaska,36608,,,,,,,,,No
1005,Grand Valley Health Plan,Michigan,36622,569.0,6856.0,,,,,,,No
1006,United Teachers Associates,South Carolina,36667,,,,,,,,,No
1007,All Savers Insurance Company,Maryland,36677,2215.0,0.0,266389.23,272660.88,0.0,"$266,389.22 ","$272,660.90 ",$-,No
1008,TransAmerica Premier Life Insurance,Washington,36688,12.0,,,,,,,,No
1009,Loyal American Life Insurance Company,North Carolina,36832,3.0,,,,,,,,No
1010,All Savers Insurance Company,Delaware,36843,0.0,0.0,0.0,0.0,0.0,,,,No
1011,Union Fidelity Life Insurance Company,Iowa,36852,,,,,,,,,No
1012,New Era Life Insurance Company,Arizona,36885,100.0,,,,,,,,No
1013,Philadelphia American Life Insurance Company,Missouri,36918,24.0,,,,,,,,No
1014,United Healthcare Life Insurance Company,District of Columbia,36921,74.0,0.0,0.0,0.0,0.0,,,,No
1015,American Republic Insurance Company,Nevada,36944,,,,,,,,,No
1016,American Republic Insurance Company,Massachusetts,36991,,,,,,,,,No
1017,Pekin Life Insurance Company,Louisiana,36997,,,,,,,,,No
1018,Humana Insurance Company,Georgia,37001,28543.0,8348.0,1866817.18,2184957.04,721767.42,"$1,866,817.18 ","$2,184,957.04 ","$721,767.42 ",No
1019,Pekin Life Insurance Company,Ohio,37028,,474.0,,,,,,,No
1020,"UnitedHealthcare of Oregon, Inc.",Oregon,37057,0.0,0.0,0.0,0.0,0.0,,,,No
1021,TransAmerica Premier Life Insurance,New Hampshire,37060,,0.0,,,,,,,No
1022,American Income Life Insurance Co,Massachusetts,37072,,,,,,,,,No
1023,United American Insurance Co,New Mexico,37081,,,,,,,,,No
1024,Highmark Health Insurance Company,Delaware,37097,,,,,,,,,No
1025,Sun Life and Health Insurance Company (U.S.),New York,37105,,,,,,,,,No
1026,Central United Life Insurance Company,Wyoming,37142,,,,,,,,,No
1027,Unified Life Insurance Company,District of Columbia,37151,,,,,,,,,No
1028,Noridian Mutual Insurance Company,North Dakota,37160,487298.0,662969.0,13433148.0,1088178.0,309403.0,"$13,433,148.25 ","$1,088,177.61 ","$309,402.76 ",Yes
1029,United American Insurance Co,Texas,37168,,,,,,,,,No
1030,The United States Life Ins. Co. in the City of New York,Alaska,37236,1995.0,,,,,,,,No
1031,Transamerica Life Insurance Company,New York,37261,,,,,,,,,No
1032,Guarantee Trust Life Insurance Co.,North Carolina,37285,8.0,,,,,,,,No
1033,National Foundation Life Insurance Company,Pennsylvania,37352,3895.0,,0.0,0.0,,,,,No
1034,American States Insurance Company,Wisconsin,37362,,,,,,,,,No
1035,The United States Life Ins. Co. in the City of New York,Tennessee,37444,9085.0,,,,,,,,No
1036,Central United Life Insurance Company,Iowa,37460,,,,,,,,,No
1037,Wilton Reassurance Company,South Dakota,37468,194.0,,,,,,,,No
1038,Life of America,Indiana,37481,38.0,,,,,,,,No
1039,The Prudential Insurance Company of America,Virginia,37515,,,,,,,,,No
1040,Union Fidelity Life Insurance Company,Oklahoma,37520,,,,,,,,,No
1041,Central United Life Insurance Company,Arkansas,37620,,,,,,,,,No
1042,Health Alliance Plan of Michigan,Michigan,37651,50283.0,193568.0,5921542.0,5267035.0,-58897.0,"$5,921,541.69 ","$5,267,035.16 ","($59,049.89)",Yes
1043,Wilton Reassurance Company,Michigan,37707,76.0,,,,,,,,No
1044,Celtic Insurance Company,Mississippi,37710,374.0,,0.0,0.0,,,,,No
1045,United Healthcare Life Insurance Company,Minnesota,37715,0.0,0.0,0.0,0.0,0.0,,,,No
1046,Insurance Company of Scott & White,Texas,37755,74627.0,100.0,0.0,0.0,0.0,,,,No
1047,UnitedHealthcare Insurance Company,New Jersey,37777,0.0,1664.0,0.0,0.0,0.0,,,,No
1048,Union Security Insurance Company,New Mexico,37818,0.0,0.0,0.0,0.0,0.0,,,,No
1049,Unity Health Plans Insurance Corporation,Wisconsin,37833,101128.0,278357.0,4934795.0,7490116.0,802161.0,"$4,934,795.29 ","$7,490,116.39 ","$802,161.46 ",No
1050,Union Labor Life Insurance Company,Rhode Island,37869,9.0,,,,,,,,No
1051,"Sierra Health and Life Insurance Company, Inc.",North Dakota,37880,0.0,0.0,0.0,0.0,0.0,,,,No
1052,American Income Life Insurance Co,South Carolina,37894,,,,,,,,,No
1053,State Farm Mutual Automobile Insurance Company,Indiana,37897,1800.0,0.0,0.0,0.0,0.0,,,,No
1054,American National Life Insurance Company of Texas,Delaware,37912,72.0,,0.0,0.0,,,,,No
1055,The United States Life Ins. Co. in the City of New York,Nevada,37948,6191.0,,,,,,,,No
1056,"Coventry Health Care of Kansas, Inc.",Missouri,37977,0.0,298.0,0.0,0.0,0.0,,,,No
1057,"SummaCare, Inc.",Ohio,37990,,,,,,,,,No
1058,Shelter Life Insurance Company,Louisiana,38056,108.0,0.0,0.0,0.0,0.0,,,,No
1059,National Foundation Life Insurance Company,California,38092,252.0,,0.0,0.0,,,,,No
1060,Montana Health Cooperative,Idaho,38128,,,,,,,,,Yes
1061,"Security Health Plan of Wisconsin, Inc.",Wisconsin,38166,291458.0,122979.0,43113884.0,-4769093.0,-545102.0,"$43,113,883.54 ","($4,769,092.74)","($545,101.95)",Yes
1062,Trustmark Insurance Company,Oklahoma,38206,,,,,,,,,No
1063,Aetna Life Insurance Company,Virginia,38234,177329.0,120318.0,7604605.22,7863949.4,-1438865.46,"$7,604,605.22 ","$7,863,949.40 ","($1,438,865.46)",No
1064,Trustmark Life Insurance Company,Kansas,38251,,3751.0,,0.0,0.0,,,,No
1065,Companion Life Insurance Company,Oregon,38277,2280.0,,,,,,,,No
1066,Thrivent Financial for Lutherans,Pennsylvania,38278,,,,,,,,,No
1067,Companion Life Insurance Company,Colorado,38283,11256.0,,,,,,,,No
1068,First Allmerica Financial Life Ins. Co,Maine,38289,,,,,,,,,No
1069,Premera Blue Cross,Alaska,38344,146645.0,222340.0,19984670.0,5782175.0,-119932.0,"$19,984,669.96 ","$5,782,175.12 ","($119,931.53)",Yes
1070,United American Insurance Co,Rhode Island,38416,,,,,,,,,No
1071,Federated Mutual Insurance Company,Mississippi,38420,0.0,2273.0,0.0,0.0,-32739.65,N/E,$-,"($32,739.65)",No
1072,Wilton Reassurance Company,Maine,38424,24.0,,,,,,,,No
1073,Shelter Life Insurance Company,Arkansas,38433,180.0,0.0,0.0,0.0,0.0,,,,No
1074,Unified Life Insurance Company,Alabama,38445,0.0,,0.0,0.0,,,,,No
1075,LifeWise Health Plan of Washington,Washington,38498,974829.0,6302.0,37535881.13,-32176872.0,,"$37,535,881.13 ","($32,176,872.96)",$-,Yes
1076,"UnitedHealthcare of Louisiana, Inc.",Louisiana,38499,28.0,12949.0,0.0,0.0,-97687.23,N/E,$-,"($97,687.22)",No
1077,United Teachers Associates,Kansas,38509,,,,,,,,,No
1078,"Madison National Life Insurance Company, Inc.",Colorado,38530,855.0,,,,,,,,No
1079,Globe Life and Accident Insurance Co,Alaska,38538,,,,,,,,,No
1080,American Income Life Insurance Co,Iowa,38546,,,,,,,,,No
1081,Time Insurance Company,Alaska,38596,21876.0,25471.0,1558729.0,-922848.0,-317716.0,"$1,558,728.91 ","($922,848.49)","($317,715.76)",No
1082,"UnitedHealthcare of the Mid-Atlantic, Inc.",Virginia,38599,31.0,0.0,0.0,0.0,0.0,,,,No
1083,The Prudential Insurance Company of America,United States Virgin Islands,38607,,,,,,,,,No
1084,Unimerica Insurance Company,New Jersey,38617,0.0,0.0,0.0,0.0,0.0,,,,No
1085,United Teachers Associates,United States Virgin Islands,38628,,,,,,,,,No
1086,All Savers Insurance Company,New Mexico,38649,0.0,0.0,0.0,0.0,0.0,,,,No
1087,Globe Life and Accident Insurance Co,Indiana,38669,,,,,,,,,No
1088,Tufts Insurance Company,Massachusetts,38712,5487.0,24883.0,1677442.0,293378.0,1330440.0,"$1,677,442.23 ",N/A_MA_Issuer,N/A_MA_Issuer,No
1089,Aetna Life Insurance Company,Wisconsin,38752,32.0,12207.0,0.0,0.0,-226568.25,N/E,$-,"($226,568.25)",No
1090,Globe Life and Accident Insurance Co,Maryland,38755,,,,,,,,,No
1091,The Chesapeake Life Insurance Company,Texas,38758,3262.0,0.0,0.0,0.0,0.0,,,,No
1092,Federated Mutual Insurance Company,Georgia,38835,91.0,36366.0,0.0,0.0,-55911.28,N/E,$-,"($55,911.28)",No
1093,The Prudential Insurance Company of America,District of Columbia,38837,,,,,,,,,No
1094,Reserve National Insurance Company,Illinois,38858,,,,,,,,,No
1095,United Healthcare Life Insurance Company,New Mexico,38908,664.0,0.0,0.0,0.0,0.0,,,,No
1096,Aetna Health Inc. (a Pennsylvania corporation),Massachusetts,38917,24.0,305.0,0.0,0.0,0.0,,,,No
1097,The Guardian Life Insurance Company of America,Wyoming,38921,24.0,,,,,,,,No
1098,Aetna Health of Utah Inc.,Utah,38927,142404.0,419799.0,3138343.27,-1640855.99,349014.15,"$3,138,343.27 ","($1,640,855.99)","$347,136.03 ",No
1099,"Keystone Health Plan West, Inc.",Pennsylvania,38949,68099.0,1498.0,304443.0,223700.0,-59934.0,"$304,443.33 ","$223,700.41 ","($59,934.41)",Yes
1100,UnitedHealthcare Insurance Company of New York,District of Columbia,38959,0.0,0.0,0.0,0.0,0.0,,,,No
1101,National Foundation Life Insurance Company,Missouri,38968,57.0,,0.0,0.0,,,,,No
1102,QCC Insurance Company,Delaware,38972,,1312.0,,,,,,,No
1103,Aetna Life Insurance Company,Colorado,39041,10084.0,10196.0,0.0,0.0,0.0,,,,No
1104,Time Insurance Company,Colorado,39060,251449.0,0.0,16138882.0,9288649.0,0.0,"$16,138,881.92 ","$9,288,648.71 ",$-,No
1105,American Heritage Life Insurance Company,Rhode Island,39106,,,,,,,,,No
1106,Aetna Life Insurance Company,Kentucky,39127,88.0,0.0,0.0,0.0,0.0,,,,No
1107,Aetna Life Insurance Company,Connecticut,39159,394978.0,430042.0,5454083.6,2822391.75,2719970.89,"$5,454,083.60 ","$2,822,391.74 ","$2,719,970.89 ",No
1108,Central United Life Insurance Company,California,39193,,,,,,,,,No
1109,American General Life Insurance Company,United States Virgin Islands,39221,0.0,,,,,,,,No
1110,"Sierra Health and Life Insurance Company, Inc.",Iowa,39238,0.0,0.0,0.0,0.0,0.0,,,,No
1111,Golden Rule Insurance Company,Hawaii,39261,0.0,0.0,0.0,0.0,0.0,,,,No
1112,Guarantee Trust Life Insurance Co.,Colorado,39300,0.0,,,,,,,,No
1113,TransAmerica Premier Life Insurance,United States Virgin Islands,39301,,,,,,,,,No
1114,American Republic Insurance Company,North Dakota,39313,,,,,,,,,No
1115,Independence American Insurance Company,Texas,39317,457.0,54.0,,,,,,,No
1116,Mutual of Omaha Insurance Company,Puerto Rico,39357,,,,,,,,,No
1117,Medica Insurance Company,North Dakota,39364,18289.0,80761.0,,,-987988.94,N/E,$-,"($987,988.94)",No
1118,Union Labor Life Insurance Company,New York,39383,949.0,,,,,,,,No
1119,Kanawha Insurance Company ,West Virginia,39386,1308.0,,,,,,,,No
1120,"Moda Health Plan, Inc.",Oregon,39424,1185822.0,158096.0,110546514.0,-31157398.0,-4604925.0,"$110,546,514.06 ","($31,157,398.15)","($4,604,925.33)",No
1121,Nippon Life Insurance Company of America,New Jersey,39433,,0.0,,,,,,,No
1122,United Healthcare Life Insurance Company,South Carolina,39481,25194.0,0.0,1693040.39,-774807.83,0.0,"$1,693,040.39 ","($774,807.83)",$-,No
1123,Philadelphia American Life Insurance Company,California,39493,,,,,,,,,No
1124,"AmeriHealth HMO, Inc.",Pennsylvania,39499,,9052.0,,,,,,,No
1125,UnitedHealthcare Insurance Company of New York,California,39566,0.0,0.0,0.0,0.0,0.0,,,,No
1126,New York Life Insurance Company,Vermont,39578,60.0,,,,,,,,No
1127,American Heritage Life Insurance Company,Iowa,39632,,,,,,,,,No
1128,Aetna Health Inc. (a Pennsylvania corporation),Colorado,39670,82.0,773.0,0.0,0.0,0.0,,,,No
1129,Mutual of Omaha Insurance Company,Nevada,39786,,,,,,,,,No
1130,Nationwide Life Insurance Company,New York,39821,240.0,,,,,,,,No
1131,Standard Security Life Insurance Company of New York,Montana,39823,421.0,,,,,,,,No
1132,Shelter Life Insurance Company,Tennessee,39842,144.0,0.0,0.0,0.0,0.0,,,,No
1133,All Savers Insurance Company,Wisconsin,39924,0.0,91660.0,0.0,0.0,-57996.4,N/E,$-,"($57,996.40)",No
1134,Guarantee Trust Life Insurance Co.,Louisiana,39954,5.0,,,,,,,,No
1135,Kanawha Insurance Company ,Minnesota,39955,191.0,,,,,,,,No
1136,All Savers Insurance Company,Kansas,39966,0.0,0.0,0.0,0.0,0.0,,,,No
1137,Time Insurance Company,South Carolina,39996,60944.0,5022.0,3954339.0,2251532.0,-68214.0,"$3,954,338.85 ","$2,251,531.60 ","($68,214.40)",No
1138,Cigna Health and Life Insurance Company,California,40025,104223.0,1428.0,21440171.0,17743437.0,0.0,"$21,440,171.45 ","$17,743,436.54 ",$-,No
1139,AMERICAN FIDELITY ASSURANCE COMPANY,Oregon,40031,24.0,,,,,,,,No
1140,"Molina Healthcare of Michigan, Inc.",Michigan,40047,502.0,,0.0,6332.0,,$0.00 ,"$6,332.08 ",$-,No
1141,Unimerica Insurance Company,New Hampshire,40051,0.0,0.0,0.0,0.0,0.0,,,,No
1142,HealthNow New York Inc.,New York,40064,48638.0,588220.0,3350324.17,8832941.19,13095627.55,$0.00 ,"($9,077.56)","($54,673.38)",Yes
1143,All Savers Insurance Company,Oklahoma,40110,0.0,0.0,0.0,0.0,0.0,,,,No
1144,American General Life Insurance Company,Texas,40129,336.0,,,,,,,,No
1145,Standard Life and Accident Insurance Company,Louisiana,40145,79.0,,0.0,0.0,,,,,No
1146,PacifiCare Life and Health Insurance Co,District of Columbia,40150,0.0,0.0,0.0,0.0,0.0,,,,No
1147,"GMS Reinsurance Company, LTD",Michigan,40206,,74242.0,,,,,,,No
1148,UnitedHealthcare of Texas,Texas,40220,96.0,1319.0,0.0,-4455.92,-199597.27,N/E,$-,"($204,053.17)",No
1149,BEST Life and Health Insurance Company,Oklahoma,40254,,,,,,,,,No
1150,Trustmark Life Insurance Company,Tennessee,40279,,2524.0,,0.0,0.0,,,,No
1151,"Group Hospitalization and Medical Services, Inc",Virginia,40308,218549.0,290550.0,5469203.05,4207942.09,3282304.3,"$5,469,203.05 ","$4,207,942.09 ","$3,282,304.30 ",Yes
1152,American Alternative Insurance Corporation,Nevada,40317,,322.0,,,,,,,No
1153,Union Labor Life Insurance Company,Tennessee,40332,1.0,,,,,,,,No
1154,"Educators Health Plans Life, Accident, and Health, Inc",Utah,40335,,,,,,,,,No
1155,Liberty Mutual Insurance Company,Kentucky,40348,,,,,,,,,No
1156,National Foundation Life Insurance Company,Illinois,40373,331.0,,0.0,0.0,,,,,No
1157,Cigna Health and Life Insurance Company,North Carolina,40411,5704.0,0.0,1242110.0,1069805.0,0.0,"$1,242,110.42 ","$1,069,804.73 ",$-,No
1158,Freedom Life Insurance Company of America,Florida,40442,14676.0,,197590.0,30087.0,,"$197,590.16 ","$34,088.70 ",$-,No
1159,Standard Security Life Insurance Company of New York,Illinois,40448,358.0,211.0,,,-28.68,N/E,$-,($28.68),No
1160,Shelter Life Insurance Company,North Carolina,40461,0.0,0.0,0.0,0.0,0.0,,,,No
1161,"Kaiser Foundation Health Plan, Inc.",California,40513,5935591.0,7801104.0,240031291.0,98847999.0,-5884033.0,"$240,031,290.84 ","$98,811,448.39 ","($6,119,361.66)",Yes
1162,Unimerica Insurance Company,Texas,40564,0.0,0.0,0.0,0.0,0.0,,,,No
1163,Bluegrass Family Health,Kentucky,40586,82.0,71709.0,,,-1254224.0,N/E,$-,"($1,254,224.27)",Yes
1164,Golden Rule Insurance Company,Connecticut,40591,166862.0,0.0,0.0,0.0,0.0,,,,No
1165,"Oxford Health Insurance, Inc.",Pennsylvania,40623,0.0,0.0,0.0,0.0,0.0,,,,No
1166,Wilton Reassurance Company,Kentucky,40652,94.0,,,,,,,,No
1167,UnitedHealthcare Insurance Company of New York,Ohio,40664,0.0,0.0,0.0,0.0,0.0,,,,No
1168,"UnitedHealthcare of Arizona, Inc.",Arizona,40702,208.0,6627.0,0.0,-629.37,-138665.42,N/E,$-,"($139,332.36)",No
1169,Aetna Life Insurance Company,California,40733,63292.0,796551.0,0.0,0.0,-1499244.71,N/E,$-,"($1,519,853.96)",No
1170,Unimerica Insurance Company,Massachusetts,40739,0.0,0.0,0.0,0.0,0.0,,,,No
1171,Celtic Insurance Company,Maryland,40777,56.0,,0.0,0.0,,,,,No
1172,John Alden Life Insurance Company,Tennessee,40778,2749.0,3484.0,0.0,0.0,-102241.0,N/E,$-,"($102,240.68)",No
1173,Scott and White Health Plan,Texas,40788,29650.0,246275.0,1443594.34,1029126.45,-1609323.38,"$1,443,594.34 ","$1,029,126.45 ","($1,609,323.38)",Yes
1174,The Prudential Insurance Company of America,West Virginia,40813,,,,,,,,,No
1175,Union Fidelity Life Insurance Company,West Virginia,40857,,,,,,,,,No
1176,PacifiCare Life and Health Insurance Co,Michigan,40870,0.0,0.0,0.0,0.0,0.0,,,,No
1177,American National Life Insurance Company of Texas,California,40872,143.0,,0.0,0.0,,,,,No
1178,American States Insurance Company,Florida,40889,,,,,,,,,No
1179,Sterling Life Insurance Co.,Wisconsin,41006,,,,,,,,,No
1180,Standard Life and Accident Insurance Company,Montana,41013,0.0,,0.0,0.0,,,,,No
1181,"Cigna HealthCare of New Jersey, Inc.",New Jersey,41014,231.0,196.0,186498.0,365525.0,27533.0,"$186,497.63 ","$365,525.19 ","$27,532.67 ",No
1182,Standard Life and Accident Insurance Company,Missouri,41018,187.0,,0.0,0.0,,,,,No
1183,Buckeye Community Health Plan,Ohio,41047,7133.0,,311415.92,-154350.05,,"$311,415.92 ","($154,350.05)",$-,No
1184,"Hometown Health Plan, Inc.",Nevada,41094,,5401.0,,,-275961.0,N/E,$-,"($275,961.08)",Yes
1185,United American Insurance Co,Vermont,41098,,,,,,,,,No
1186,United Teachers Associates,Mississippi,41131,,,,,,,,,No
1187,"Madison National Life Insurance Company, Inc.",Missouri,41179,0.0,3597.0,,,,,,,No
1188,State Farm Mutual Automobile Insurance Company,Missouri,41193,1421.0,0.0,0.0,0.0,0.0,,,,No
1189,John Alden Life Insurance Company,Florida,41240,3453.0,439.0,0.0,0.0,-890.0,N/E,$-,($890.28),No
1190,Guarantee Trust Life Insurance Co.,Florida,41269,0.0,,,,,,,,No
1191,National Foundation Life Insurance Company,Arizona,41291,1086.0,,0.0,0.0,,,,,No
1192,"Neighborhood Health Plan, Inc.",Massachusetts,41304,293889.0,434996.0,11255924.12,-2128337.0,-25517916.0,"$11,225,924.12 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes
1193,United Healthcare Life Insurance Company,Maryland,41308,0.0,0.0,0.0,0.0,0.0,,,,No
1194,Golden Rule Insurance Company,Colorado,41341,336311.0,0.0,0.0,0.0,0.0,,,,No
1195,TransAmerica Premier Life Insurance,Puerto Rico,41376,,,,,,,,,No
1196,Connecticut General Life Insurance Company,Hawaii,41390,0.0,0.0,0.0,0.0,0.0,,,,No
1197,Federated Mutual Insurance Company,Iowa,41397,0.0,27096.0,0.0,0.0,-24092.66,N/E,$-,"($24,092.66)",No
1198,United Healthcare Life Insurance Company,Kansas,41446,21908.0,0.0,0.0,0.0,0.0,,,,No
1199,United Teachers Associates,Minnesota,41464,316.0,,,,,,,,No
1200,American Heritage Life Insurance Company,Maryland,41483,,,,,,,,,No
1201,Cigna Health and Life Insurance Company,New York,41500,572.0,15130.0,0.0,0.0,0.0,,,,No
1202,Southwest Life & Health Insurance Co.,Texas,41549,3496.0,9176.0,,,,,,,No
1203,Union Labor Life Insurance Company,California,41550,214.0,,,,,,,,No
1204,Shelter Life Insurance Company,Colorado,41555,24.0,0.0,0.0,0.0,0.0,,,,No
1205,American General Life Insurance Company,Ohio,41587,0.0,,,,,,,,No
1206,Kanawha Insurance Company ,Oklahoma,41600,258.0,,,,,,,,No
