,Unnamed: 0_x,CompanyName:_x,BusinessintheStateof:_x,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:_x,MEMBER_MONTHS_SMALL_GROUP_x,EXPECTED_REINSURANCE_x,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL_x,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP_x,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_x,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_x",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_x,Not-For-Profit:_x,Premium_x,Loss1_x,Loss2_x,Loss3_x,Loss4_x,TotalProfitPMM,CompanyName:_y,BusinessintheStateof:_y,MEMBER_MONTHS_INDIVIDUAL:_y,MEMBER_MONTHS_SMALL_GROUP_y,EXPECTED_REINSURANCE_y,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL_y,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP_y,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_y,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_y",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_y,Not-For-Profit:_y,Premium_y,Loss1_y,Loss2_y,Loss3_y,Loss4_y,DifferenceInIRAPMM
1553,1806,American Heritage Life Insurance Company,Vermont,58082,,,,,,,,,No,0,0,,,,#DIV/0!,American Heritage Life Insurance Company,Vermont,,,,,,,,,No,0,0,,,,#DIV/0!
1554,1807,Companion Life Insurance Company of NY,New York,58084,,,,,,,,,No,,,,,,#DIV/0!,Companion Life Insurance Company of NY,New York,,,,,,,,,No,,,,,,#DIV/0!
1555,1808,American States Insurance Company,Georgia,58135,,,,,,,,,No,,20499.32,,,,#DIV/0!,American States Insurance Company,Georgia,,,,,,,,,No,,5383.2,,,,#DIV/0!
1557,1812,Aetna Life Insurance Company,Hawaii,58275,2,0,0,0,0,,,,No,269.04,-649.96,0,-199.39,0,559.195,Aetna Life Insurance Company,Hawaii,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
1560,1815,The Prudential Insurance Company of America,Illinois,58374,,,,,,,,,No,,,,,,#DIV/0!,The Prudential Insurance Company of America,Illinois,,,,,,,,,No,,,,,,#DIV/0!
1561,1816,American Heritage Life Insurance Company,North Carolina,58398,,,,,,,,,No,0,0,,,,#DIV/0!,American Heritage Life Insurance Company,North Carolina,,,,,,,,,No,0,0,,,,#DIV/0!
1562,1817,The Prudential Insurance Company of America,Arkansas,58440,,,,,,,,,No,,,,,,#DIV/0!,The Prudential Insurance Company of America,Arkansas,,,,,,,,,No,,,,,,#DIV/0!
1565,1820,Unified Life Insurance Company,Arizona,58493,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!,Unified Life Insurance Company,Arizona,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!
1566,1821,TransAmerica Premier Life Insurance,Nevada,58559,,,,,,,,,No,0,0,,,,#DIV/0!,TransAmerica Premier Life Insurance,Nevada,,,,,,,,,No,0,0,,,,#DIV/0!
1569,1824,Thrivent Financial for Lutherans,Idaho,58606,,,,,,,,,No,,,,,,#DIV/0!,Thrivent Financial for Lutherans,Idaho,,,,,,,,,No,,,,,,#DIV/0!
1571,1826,United States Branch of the Sun Life Assurance Company of Canada,Illinois,58643,,,,,,,,,No,,,,,,#DIV/0!,United States Branch of the Sun Life Assurance Company of Canada,Illinois,,,,,,,,,No,,,,,,#DIV/0!
1573,1828,UnitedHealthcare Insurance Company of the River Valley,North Carolina,58658,0,41766,0,0,-1228032.54,,,"($1,228,032.54)",No,0,0,0,0,0,#DIV/0!,UnitedHealthcare Insurance Company of the River Valley,North Carolina,93,71992,0,0,-1453280.86,,,"($1,453,280.86)",No,54953.8,44764.35,9814.67,1573.05,0,#DIV/0!
1574,1829,Companion Life Insurance Company,Alaska,58670,924,,,,,,,,No,31432,19628,9283,,,2.728354978,Companion Life Insurance Company,Alaska,,,,,,,,,No,304,0,313,,,#DIV/0!
1575,1833,Reserve National Insurance Company,Oklahoma,58780,,,,,,,,,No,0,0,,,,#DIV/0!,Reserve National Insurance Company,Oklahoma,,,,,,,,,No,0,0,,,,#DIV/0!
1576,1834,Globe Life and Accident Insurance Co,Massachusetts,58790,,,,,,,,,No,0,0,,,,#DIV/0!,Globe Life and Accident Insurance Co,Massachusetts,,,,,,,,,No,0,0,,,,#DIV/0!
1578,1836,Transamerica Life Insurance Company,Georgia,58826,,,,,,,,,No,,,,,,#DIV/0!,Transamerica Life Insurance Company,Georgia,,,,,,,,,No,,,,,,#DIV/0!
1579,1837,Medical Benefits Mutual Life Insurance Co.,West Virginia,58833,,123,,,,,,,No,,,,,,#DIV/0!,Medical Benefits Mutual Life Insurance Co.,West Virginia,,0,,,0,,,,No,,,,,,#DIV/0!
1581,1839,Mutual of Omaha Insurance Company,Pennsylvania,58929,,,,,,,,,No,,,,,,#DIV/0!,Mutual of Omaha Insurance Company,Pennsylvania,,,,,,,,,No,,,,,,#DIV/0!
1583,1841,Union Labor Life Insurance Company,Georgia,58966,11,,,,,,,,No,1205,13632,0,0,0,-1129.727273,Union Labor Life Insurance Company,Georgia,,,,,,,,,No,0,207,,,,#DIV/0!
1584,1842,Thrivent Financial for Lutherans,Connecticut,58982,,,,,,,,,No,,,,,,#DIV/0!,Thrivent Financial for Lutherans,Connecticut,,,,,,,,,No,,,,,,#DIV/0!
1585,1843,US Health and Life Insurance Company,Michigan,58996,,153707,,,,,,"($2,779.82)",No,,,,,,#DIV/0!,US Health and Life Insurance Company,Michigan,,110256,,,,,,"$4,588.65 ",No,,,,,,#DIV/0!
1589,1847,Standard Security Life Insurance Company of New York,Arizona,59096,2131,955,,,-615.11,,,($615.14),No,346061,307990,16446,,,10.14781793,Standard Security Life Insurance Company of New York,Arizona,,99,,,-5154.87,,,"($5,153.41)",No,0,0,,,,#DIV/0!
1591,1849,Transamerica Life Insurance Company,Hawaii,59128,,,,,,,,,No,,,,,,#DIV/0!,Transamerica Life Insurance Company,Hawaii,,,,,,,,,No,,,,,,#DIV/0!
1593,1851,Nippon Life Insurance Company of America,Michigan,59140,,6981,,,-29793.61,,,"($29,795.04)",No,,,,,,#DIV/0!,Nippon Life Insurance Company of America,Michigan,,344,,,-45156.26,,,"($45,156.26)",No,,,,,,#DIV/0!
1595,1853,Central United Life Insurance Company,Montana,59170,,,,,,,,,No,,,,,,#DIV/0!,Central United Life Insurance Company,Montana,,,,,,,,,No,,,,,,#DIV/0!
1598,1856,"Madison National Life Insurance Company, Inc.",Illinois,59311,275,8010,,,-3535.77,,,"($3,535.77)",No,52150,4778,882,,,169.0545455,"Madison National Life Insurance Company, Inc.",Illinois,,18,,,-3430.17,,,"($3,428.71)",No,0,0,,,,#DIV/0!
1599,1857,Thrivent Financial for Lutherans,North Dakota,59321,,,,,,,,,No,,,,,,#DIV/0!,Thrivent Financial for Lutherans,North Dakota,,,,,,,,,No,,,,,,#DIV/0!
1600,1859,Trustmark Insurance Company,Texas,59454,,,,,,,,,No,,,,,,#DIV/0!,Trustmark Insurance Company,Texas,,,,,,,,,No,,,,,,#DIV/0!
1601,1861,Globe Life and Accident Insurance Co,Kentucky,59500,,,,,,,,,No,0,0,,,,#DIV/0!,Globe Life and Accident Insurance Co,Kentucky,,,,,,,,,No,0,0,,,,#DIV/0!
1602,1862,Liberty National Life Insurance Co,Louisiana,59512,,,,,,,,,No,0,0,,,,#DIV/0!,Liberty National Life Insurance Co,Louisiana,,,,,,,,,No,0,0,,,,#DIV/0!
1604,1864,TransAmerica Premier Life Insurance,Oregon,59578,,,,,,,,,No,0,0,,,,#DIV/0!,TransAmerica Premier Life Insurance,Oregon,,,,,,,,,No,0,0,,,,#DIV/0!
1605,1865,Trustmark Insurance Company,New York,59625,,,,,,,,,No,,,,,,#DIV/0!,Trustmark Insurance Company,New York,,,,,,,,,No,,,,,,#DIV/0!
1608,1869,Union Security Insurance Company,Connecticut,59696,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!,Union Security Insurance Company,Connecticut,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
1610,1871,Liberty Mutual Insurance Company,Minnesota,59727,,,,,,,,,No,,,,,,#DIV/0!,Liberty Mutual Insurance Company,Minnesota,,,,,,,,,No,,,,,,#DIV/0!
1611,1872,Globe Life and Accident Insurance Co,South Carolina,59745,,,,,,,,,No,0,0,,,,#DIV/0!,Globe Life and Accident Insurance Co,South Carolina,,,,,,,,,No,0,0,,,,#DIV/0!
1614,1875,THP Insurance Company,West Virginia,59772,0,2432,0,0,0,,,"$16,747.80 ",No,0,0,0,0,0,#DIV/0!,THP Insurance Company,West Virginia,0,2413,0,0,-62875,,,"($62,874.74)",No,0,0,0,0,0,#DIV/0!
1615,1876,United Teachers Associates,West Virginia,59788,,,,,,,,,No,0,0,,,,#DIV/0!,United Teachers Associates,West Virginia,0,,,,,,,,No,0,0,,,,#DIV/0!
1617,1878,American General Life Insurance Company,Wisconsin,59810,0,,,,,,,,No,0,0,,,,#DIV/0!,American General Life Insurance Company,Wisconsin,0,,,,,,,,No,0,0,,,,#DIV/0!
1619,1881,Reliance Standard Life Insurance Company,Illinois,59928,,,,,,,,,No,0,0,,,,#DIV/0!,Reliance Standard Life Insurance Company,Illinois,,,,,,,,,No,0,0,,,,#DIV/0!
1620,1882,AMERICAN FIDELITY ASSURANCE COMPANY,Colorado,59970,,,,,,,,,No,,,,,,#DIV/0!,AMERICAN FIDELITY ASSURANCE COMPANY,Colorado,,,,,,,,,No,,,,,,#DIV/0!
1622,1884,Mid-West National Life Insurance Company of Tennessee,Utah,59996,16279,36,0,0,0,,,,No,2550457,2343103.068,97984.17079,33604.56938,18.07,4.653057426,Mid-West National Life Insurance Company of Tennessee,Utah,0,0,0,0,0,,,,No,682,75.45240559,89.60628867,67.80066076,0,#DIV/0!
1626,1890,Reliance Standard Life Insurance Company,Minnesota,60190,,,,,,,,,No,0,0,,,,#DIV/0!,Reliance Standard Life Insurance Company,Minnesota,,,,,,,,,No,0,0,,,,#DIV/0!
1627,1891,New Era Life Insurance Company,Alaska,60200,,,,,,,,,No,,,,,,#DIV/0!,New Era Life Insurance Company,Alaska,,,,,,,,,No,,,,,,#DIV/0!
1628,1892,Standard Life and Accident Insurance Company,Wyoming,60250,9,,0,0,,,,,No,1906.2,0,,,0,211.8,Standard Life and Accident Insurance Company,Wyoming,0,,,,,,,,No,0,0,,,,#DIV/0!
1629,1893,American Heritage Life Insurance Company,Alaska,60269,,,,,,,,,No,0,0,,,,#DIV/0!,American Heritage Life Insurance Company,Alaska,,,,,,,,,No,0,0,,,,#DIV/0!
1630,1895,Illinois Mutual Life Insurance Company,Missouri,60296,,,,,,,,,No,,,,,,#DIV/0!,Illinois Mutual Life Insurance Company,Missouri,,,,,,,,,No,,,,,,#DIV/0!
1632,1897,Central United Life Insurance Company,Idaho,60303,,,,,,,,,No,,,,,,#DIV/0!,Central United Life Insurance Company,Idaho,,,,,,,,,No,,,,,,#DIV/0!
1633,1899,American Income Life Insurance Co,Alaska,60467,,,,,,,,,No,0,0,,,,#DIV/0!,American Income Life Insurance Co,Alaska,,,,,,,,,No,0,0,,,,#DIV/0!
1636,1902,Connecticut General Life Insurance Company,Alabama,60561,0,0,0,0,0,,,,No,0,-30122,0,12,0,#DIV/0!,Connecticut General Life Insurance Company,Alabama,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
1637,1903,American Heritage Life Insurance Company,Wisconsin,60562,,,,,,,,,No,0,0,,,,#DIV/0!,American Heritage Life Insurance Company,Wisconsin,,,,,,,,,No,0,0,,,,#DIV/0!
1638,1904,Thrivent Financial for Lutherans,New York,60589,,,,,,,,,No,,,,,,#DIV/0!,Thrivent Financial for Lutherans,New York,,,,,,,,,No,,,,,,#DIV/0!
1642,1908,Union Security Insurance Company,Iowa,60690,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!,Union Security Insurance Company,Iowa,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
1643,1909,Cigna Health and Life Insurance Company,South Dakota,60694,0,0,0,0,0,,,,No,0,-731,0,0,0,#DIV/0!,Cigna Health and Life Insurance Company,South Dakota,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
1644,1910,American Heritage Life Insurance Company,Oregon,60752,,,,,,,,,No,0,0,,,,#DIV/0!,American Heritage Life Insurance Company,Oregon,,,,,,,,,No,0,0,,,,#DIV/0!
1645,1911,American Heritage Life Insurance Company,Maine,60757,,,,,,,,,No,0,0,,,,#DIV/0!,American Heritage Life Insurance Company,Maine,,,,,,,,,No,0,0,,,,#DIV/0!
1647,1913,Washington National Insurance Company,Massachusetts,60767,,,,,,,,,No,,,,,,#DIV/0!,Washington National Insurance Company,Massachusetts,,,,,,,,,No,,,,,,#DIV/0!
1649,1915,UnitedHealthcare of New England Inc.,New Hampshire,60785,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!,UnitedHealthcare of New England Inc.,New Hampshire,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
1651,1919,Kaiser Permanente Insurance Company,Kansas,60861,,,0,0,0,,,,No,,,,,,#DIV/0!,Kaiser Permanente Insurance Company,Kansas,,,,,,,,,No,,,,,,#DIV/0!
1654,1923,Reserve National Insurance Company,Arkansas,61124,,,,,,,,,No,0,0,,,,#DIV/0!,Reserve National Insurance Company,Arkansas,,,,,,,,,No,0,0,,,,#DIV/0!
1655,1924,American Republic Insurance Company,Kentucky,61160,,,,,,,,,No,,,,,,#DIV/0!,American Republic Insurance Company,Kentucky,,,,,,,,,No,,,,,,#DIV/0!
1656,1925,"Minuteman Health, Inc",New Hampshire,61163,,,,,,,,,Yes,0,0,,,,#DIV/0!,"Minuteman Health, Inc",New Hampshire,92215,269,2114169.44,-10504218.18,,"$2,115,269.73 ","($10,494,673.57)","($46,195.18)",Yes,19784179.26,18870456,2729809,0,891.07,#DIV/0!
1659,1928,Central United Life Insurance Company,Kentucky,61191,,,,,,,,,No,,,,,,#DIV/0!,Central United Life Insurance Company,Kentucky,,,,,,,,,No,,,,,,#DIV/0!
1663,1934,Cigna Health and Life Insurance Company,Wyoming,61357,0,0,0,0,0,,,,No,0,-1720,0,241,0,#DIV/0!,Cigna Health and Life Insurance Company,Wyoming,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
1677,1948,American Heritage Life Insurance Company,Arizona,61695,,,,,,,,,No,0,0,,,,#DIV/0!,American Heritage Life Insurance Company,Arizona,,,,,,,,,No,0,0,,,,#DIV/0!
1678,1950,MVP Health Insurance Company,New York,61719,,123655,,,0,,,,No,0,0,,,,#DIV/0!,MVP Health Insurance Company,New York,,61,,,,,,,No,,,,,,#DIV/0!
1684,1957,American Heritage Life Insurance Company,Virginia,61899,,,,,,,,,No,0,0,,,,#DIV/0!,American Heritage Life Insurance Company,Virginia,,,,,,,,,No,0,0,,,,#DIV/0!
1685,1958,Nippon Life Insurance Company of America,Kentucky,61923,,,,,,,,,No,,,,,,#DIV/0!,Nippon Life Insurance Company of America,Kentucky,,0,,,0,,,,No,,,,,,#DIV/0!
1689,1963,AMERICAN FIDELITY ASSURANCE COMPANY,Kentucky,62049,,,,,,,,,No,,,,,,#DIV/0!,AMERICAN FIDELITY ASSURANCE COMPANY,Kentucky,,,,,,,,,No,,,,,,#DIV/0!
1690,1964,Trustmark Life Insurance Company,Indiana,62052,,12726,,0,39824.76,,,"$39,262.67 ",No,0,0,0,0,0,#DIV/0!,Trustmark Life Insurance Company,Indiana,0,0,,0,0,,,,No,0,0,0,0,0,#DIV/0!
1691,1965,Union Labor Life Insurance Company,Maine,62133,11,,,,,,,,No,3353,5164,,,,-164.6363636,Union Labor Life Insurance Company,Maine,,,,,,,,,No,0,1792,,,,#DIV/0!
1693,1967,Trustmark Insurance Company,Mississippi,62163,,,,,,,,,No,,,,,,#DIV/0!,Trustmark Insurance Company,Mississippi,,,,,,,,,No,,,,,,#DIV/0!
1694,1968,Trustmark Insurance Company,Pennsylvania,62191,,,,,,,,,No,,,,,,#DIV/0!,Trustmark Insurance Company,Pennsylvania,,,,,,,,,No,,,,,,#DIV/0!
1699,1974,Union Fidelity Life Insurance Company,Colorado,62376,,,,,,,,,No,,,,,,#DIV/0!,Union Fidelity Life Insurance Company,Colorado,,,,,,,,,No,,,,,,#DIV/0!
1700,1975,Celtic Insurance Company,West Virginia,62386,0,,0,0,,,,,No,16269,249.0160047,0,0,0,#DIV/0!,Celtic Insurance Company,West Virginia,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!
1704,1981,TransAmerica Premier Life Insurance,Ohio,62528,,,,,,,,,No,0,0,,,,#DIV/0!,TransAmerica Premier Life Insurance,Ohio,,,,,,,,,No,0,0,,,,#DIV/0!
1705,1982,American Income Life Insurance Co,Pennsylvania,62538,,,,,,,,,No,0,0,,,,#DIV/0!,American Income Life Insurance Co,Pennsylvania,,,,,,,,,No,0,0,,,,#DIV/0!
1707,1984,United American Insurance Co,Idaho,62571,,,,,,,,,No,0,0,,,,#DIV/0!,United American Insurance Co,Idaho,,,,,,,,,No,0,0,,,,#DIV/0!
1708,1985,Union Security Insurance Company,Kentucky,62573,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!,Union Security Insurance Company,Kentucky,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
1716,1995,Celtic Insurance Company,Oregon,62924,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!,Celtic Insurance Company,Oregon,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!
1717,1996,Shelter Life Insurance Company,Utah,62985,0,0,0,0,0,,,,No,0,23.57,0,0,0,#DIV/0!,Shelter Life Insurance Company,Utah,0,0,0,0,0,,,,No,0,1.9,0,0,0,#DIV/0!
1718,1997,COMMERCIAL TRAVELERS MUTUAL INSURANCE COMPANY,New York,63004,,,,,,,,,No,,,,,,#DIV/0!,COMMERCIAL TRAVELERS MUTUAL INSURANCE COMPANY,New York,,,,,,,,,No,,,,,,#DIV/0!
1719,1998,The Prudential Insurance Company of America,Indiana,63012,,,,,,,,,No,,,,,,#DIV/0!,The Prudential Insurance Company of America,Indiana,,,,,,,,,No,,,,,,#DIV/0!
1720,2000,John Alden Life Insurance Company,Massachusetts,63046,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!,John Alden Life Insurance Company,Massachusetts,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
1722,2003,The Prudential Insurance Company of America,Michigan,63105,,,,,,,,,No,,,,,,#DIV/0!,The Prudential Insurance Company of America,Michigan,,,,,,,,,No,,,,,,#DIV/0!
1725,2007,Transamerica Life Insurance Company,Pennsylvania,63222,,,,,,,,,No,,,,,,#DIV/0!,Transamerica Life Insurance Company,Pennsylvania,,,,,,,,,No,,,,,,#DIV/0!
1726,2008,Central United Life Insurance Company,Kansas,63260,,,,,,,,,No,,13365,,,,#DIV/0!,Central United Life Insurance Company,Kansas,,,,,,,,,No,,,,,,#DIV/0!
1727,2009,New York Life Insurance Company,Tennessee,63272,0,,,,,,,,No,-36482.03444,67289.23,,0,0,#DIV/0!,New York Life Insurance Company,Tennessee,0,0,0,0,0,,,,No,0,-75773,0,0,0,#DIV/0!
1728,2010,Illinois Mutual Life Insurance Company,Illinois,63283,,,,,,,,,No,,,,,,#DIV/0!,Illinois Mutual Life Insurance Company,Illinois,,,,,,,,,No,,,,,,#DIV/0!
1731,2013,Cigna Health and Life Insurance Company,Guam,63326,0,0,0,0,0,,,,No,261,-851,0,0,0,#DIV/0!,Cigna Health and Life Insurance Company,Guam,0,0,0,0,0,,,,No,0,-510,0,0,0,#DIV/0!
1732,2014,AMERICAN FIDELITY ASSURANCE COMPANY,Nebraska,63333,24,,,,,,,,No,,,,,,0,AMERICAN FIDELITY ASSURANCE COMPANY,Nebraska,,,,,,,,,No,,,,,,#DIV/0!
1733,2016,Thrivent Financial for Lutherans,Delaware,63383,,,,,,,,,No,,,,,,#DIV/0!,Thrivent Financial for Lutherans,Delaware,,,,,,,,,No,,,,,,#DIV/0!
1734,2017,Union Fidelity Life Insurance Company,Texas,63384,,,,,,,,,No,,,,,,#DIV/0!,Union Fidelity Life Insurance Company,Texas,,,,,,,,,No,,,,,,#DIV/0!
1737,2021,Cigna Health and Life Insurance Company,Vermont,63472,1,2382,0,0,0,,,,No,452,-790,0,0,0,1242,Cigna Health and Life Insurance Company,Vermont,0,980,0,0,0,,,,No,0,-18,0,0,0,#DIV/0!
1740,2026,Reliance Standard Life Insurance Company,Kentucky,63552,,,,,,,,,No,0,0,,,,#DIV/0!,Reliance Standard Life Insurance Company,Kentucky,,,,,,,,,No,0,0,,,,#DIV/0!
1742,2028,Liberty National Life Insurance Co,Indiana,63627,,,,,,,,,No,0,0,,,,#DIV/0!,Liberty National Life Insurance Co,Indiana,,,,,,,,,No,0,0,,,,#DIV/0!
1745,2031,Trustmark Insurance Company,Wyoming,63645,,,,,,,,,No,,,,,,#DIV/0!,Trustmark Insurance Company,Wyoming,,,,,,,,,No,,,,,,#DIV/0!
1747,2036,TransAmerica Premier Life Insurance,District of Columbia,63853,,,,,,,,,No,0,0,,,,#DIV/0!,TransAmerica Premier Life Insurance,District of Columbia,,,,,,,,,No,0,0,,,,#DIV/0!
1750,2039,Celtic Insurance Company,Delaware,64004,157,,0,0,,,,,No,16900,4071.988385,3934,763,0,51.7898829,Celtic Insurance Company,Delaware,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!
1751,2040,Cigna Health and Life Insurance Company,Massachusetts,64040,0,561,0,0,0,,,,No,0,-735,0,0,0,#DIV/0!,Cigna Health and Life Insurance Company,Massachusetts,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
1752,2041,United American Insurance Co,Hawaii,64068,,,,,,,,,No,0,0,,,,#DIV/0!,United American Insurance Co,Hawaii,,,,,,,,,No,0,0,,,,#DIV/0!
1754,2044,Reliance Standard Life Insurance Company,Ohio,64156,,,,,,,,,No,0,0,,,,#DIV/0!,Reliance Standard Life Insurance Company,Ohio,,,,,,,,,No,0,0,,,,#DIV/0!
1755,2045,Humana Insurance Company,Montana,64159,,,,,,,,,No,0,0,,,,#DIV/0!,Humana Insurance Company,Montana,,,,,,,,,No,0,0,,,,#DIV/0!
1759,2050,Federated Mutual Insurance Company,South Dakota,64255,0,9524,0,0,-87499.03,,,"($87,499.03)",No,0,0,0,0,0,#DIV/0!,Federated Mutual Insurance Company,South Dakota,0,7785,0,0,-268825.85,,,"($268,825.85)",No,0,0,0,0,0,#DIV/0!
1764,2056,AMERICAN FIDELITY ASSURANCE COMPANY,North Carolina,64414,60,,,,,,,,No,,,,,,0,AMERICAN FIDELITY ASSURANCE COMPANY,North Carolina,,,,,,,,,No,,,,,,#DIV/0!
1765,2057,American States Insurance Company,Arizona,64444,,,,,,,,,No,,0,,,,#DIV/0!,American States Insurance Company,Arizona,,,,,,,,,No,,0,,,,#DIV/0!
1766,2058,Illinois Mutual Life Insurance Company,South Carolina,64446,,,,,,,,,No,,,,,,#DIV/0!,Illinois Mutual Life Insurance Company,South Carolina,,,,,,,,,No,,,,,,#DIV/0!
1767,2059,Connecticut General Life Insurance Company,Guam,64481,0,0,0,0,0,,,,No,0,-1,0,0,0,#DIV/0!,Connecticut General Life Insurance Company,Guam,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
1768,2061,Cigna Health and Life Insurance Company,Montana,64536,0,0,0,0,0,,,,No,0,-735,0,0,0,#DIV/0!,Cigna Health and Life Insurance Company,Montana,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
1769,2062,TransAmerica Premier Life Insurance,Connecticut,64563,,,,,,,,,No,0,0,,,,#DIV/0!,TransAmerica Premier Life Insurance,Connecticut,,,,,,,,,No,0,0,,,,#DIV/0!
1770,2063,Globe Life and Accident Insurance Co,Rhode Island,64582,,,,,,,,,No,0,0,,,,#DIV/0!,Globe Life and Accident Insurance Co,Rhode Island,,,,,,,,,No,0,0,,,,#DIV/0!
1771,2064,Cigna Health and Life Insurance Company,Alaska,64620,0,0,0,0,0,,,,No,0,-4843,0,1203,0,#DIV/0!,Cigna Health and Life Insurance Company,Alaska,0,0,0,0,0,,,,No,0,-17,0,17,0,#DIV/0!
1773,2066,Celtic Insurance Company,Virginia,64629,28,,0,0,,,,,No,68434,14030.69217,14332,2780,0,1331.832423,Celtic Insurance Company,Virginia,0,,0,0,,,,,No,0,0,0,0,0,#DIV/0!
1776,2070,Federated Mutual Insurance Company,Missouri,64701,0,88427,0,0,-752603.4,,,"($752,603.40)",No,0,0,0,0,0,#DIV/0!,Federated Mutual Insurance Company,Missouri,0,109462,0,0,-2366698.58,,,"($2,366,698.58)",No,0,0,0,0,0,#DIV/0!
1779,2073,Medical Associates Health Plan of WI,Wisconsin,64772,,22923,,,-494521.63,,,"($494,521.63)",Yes,0,0,,,,#DIV/0!,Medical Associates Health Plan of WI,Wisconsin,,23051,,,-696242,,,"($696,241.56)",Yes,0,0,,,,#DIV/0!
1780,2076,Philadelphia American Life Insurance Company,Wisconsin,64808,,,,,,,,,No,,,,,,#DIV/0!,Philadelphia American Life Insurance Company,Wisconsin,,,,,,,,,No,,,,,,#DIV/0!
1782,2078,Aetna Life Insurance Company,Montana,64929,6,0,0,0,0,,,,No,209.57,1165.94,0,0,0,-159.395,Aetna Life Insurance Company,Montana,0,0,0,0,0,,,,No,0,-0.01,0,0,0,#DIV/0!
1783,2080,UNICARE Life & Health Insurance Company,Massachusetts,65006,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!,UNICARE Life & Health Insurance Company,Massachusetts,0,0,0,0,0,,,,No,0,0,0,0,0,#DIV/0!
1786,2084,American Heritage Life Insurance Company,Kansas,65180,,,,,,,,,No,0,0,,,,#DIV/0!,American Heritage Life Insurance Company,Kansas,,,,,,,,,No,0,0,,,,#DIV/0!
1787,2085,Liberty National Life Insurance Co,Texas,65200,,,,,,,,,No,0,0,,,,#DIV/0!,Liberty National Life Insurance Co,Texas,,,,,,,,,No,0,0,,,,#DIV/0!
1788,2087,"Humana Benefit Plan of Illinois, Inc.",North Dakota,65327,,,,,,,,,No,0,0,,,,#DIV/0!,"Humana Benefit Plan of Illinois, Inc.",North Dakota,,,,,,,,,No,0,0,,,,#DIV/0!
1789,2091,Illinois Mutual Life Insurance Company,Minnesota,65408,,,,,,,,,No,,,,,,#DIV/0!,Illinois Mutual Life Insurance Company,Minnesota,,,,,,,,,No,,,,,,#DIV/0!
1790,2092,LifeWise Assurance Company,Washington,65464,,,,,,,,,No,,,,,,#DIV/0!,LifeWise Assurance Company,Washington,,,,,,,,,No,0,0,,,,#DIV/0!
1793,2095,New York Life Insurance Company,Nebraska,65602,0,,,,,,,,No,-19894.44095,88039.86,,0,0,#DIV/0!,New York Life Insurance Company,Nebraska,0,0,0,0,0,,,,No,0,-9111,0,0,0,#DIV/0!
1797,2100,Deseret Mutual Insurance Company,Utah,65771,,,,,,,,,Yes,0,0,,,,#DIV/0!,Deseret Mutual Insurance Company,Utah,,,,,,,,,Yes,0,0,,,,#DIV/0!
1798,2101,Aetna Health of Utah Inc.,Nevada,65779,12700,1725,0,-1158344.58,-16246.09,$0.00 ,"($1,158,344.59)","($16,246.63)",No,1149524.42,1288034.99,326890.36,18979.92,0,-38.14022441,Aetna Health of Utah Inc.,Nevada,0,706,0,0,35537.64,$0.00 ,,"$35,537.64 ",No,0,0,0,0,0,#DIV/0!
