Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsuance Per Member Month Individual,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
Coventry Health & Life Insurance Company,Oklahoma,53524,9743,47711,22500.68,-199876.92,-816820.31,"$22,512.40 ","($200,398.31)","($816,839.40)",No,2.309420096,2.310623011,-20.51492559,-20.56843991,-17.12016747,-17.12056758,0.001202915,-0.053514318,-0.000400117
Optima Health Insurance Company,Virginia,89242,0,47557,0,-4260.56,1471462.99,$0.00 ,"($4,260.56)","$1,471,462.99 ",No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,30.94103896,30.94103896,#DIV/0!,#DIV/0!,0
"Athens Area Health Plan Select, Inc.",Georgia,82894,,47274,,,-1043335.92,,,,Yes,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-22.06997335,0,#DIV/0!,#DIV/0!,22.06997335
Federated Mutual Insurance Company,Illinois,66143,12,47122,0,0,1074693.73,N/E,$-,"$1,306,490.38 ",No,0,#VALUE!,0,#VALUE!,22.80662387,27.72569882,#VALUE!,#VALUE!,4.919074954
UnitedHealthcare Insurance Company,United States Virgin Islands,12964,541,46076,0,0,0,,,,No,0,0,0,0,0,0,0,0,0
"Anthem Health Plans of New Hampshire, Inc.",New Hampshire,57601,127889,45855,0,0,1336166.23,N/E,$-,"$1,336,166.23 ",No,0,#VALUE!,0,#VALUE!,29.13894297,29.13894297,#VALUE!,#VALUE!,0
Aetna Health Inc. (a Pennsylvania corporation),Delaware,67190,12516,45656,729231.6,-743159.52,-557909.15,"$729,611.12 ","($743,159.52)","($557,909.15)",No,58.26395014,58.29427293,-59.37675935,-59.37675935,-12.21984296,-12.21984296,0.030322787,0,0
Aetna Health of Iowa Inc.,Iowa,18973,616196,44953,23491160.98,-10780079.06,185957.75,"$23,503,386.50 ","($10,780,079.07)","$459,305.01 ",No,38.12287159,38.1427119,-17.49456189,-17.49456191,4.136715013,10.21744956,0.019840311,-1.62286E-08,6.080734545
Federated Mutual Insurance Company,Georgia,38835,59,44887,0,0,-828282.28,N/E,$-,"($818,531.15)",No,0,#VALUE!,0,#VALUE!,-18.45260944,-18.23537216,#VALUE!,#VALUE!,0.217237285
"Humana Health Plan, Inc.",Illinois,58288,12865,44797,434600.45,563700.35,-1525019.48,"$434,826.64 ","$730,433.28 ","($1,525,019.48)",No,33.7816129,33.79919471,43.81658375,56.77678041,-34.04289305,-34.04289305,0.017581811,12.96019666,0
Arches Mutual Insurance Company,Utah,27619,385348,44464,13274182,-13206183,250109,"$13,281,090.66 ","($13,206,183.16)","$250,109.00 ",Yes,34.44725806,34.46518643,-34.27079679,-34.2707972,5.62497751,5.62497751,0.017928366,-4.15209E-07,0
Health Tradition Health Plan,Wisconsin,47342,69211,44324,5970215,-4413566,-781267,"$5,973,322.11 ","($4,413,566.24)","($781,266.69)",No,86.26107122,86.30596451,-63.76971869,-63.76972215,-17.6262747,-17.62626771,0.044893297,-3.46766E-06,6.99395E-06
McLaren Health Plan,Michigan,20393,36196,44208,1279137.74,2943808.53,-1125261.52,"$1,279,803.45 ","$3,123,625.29 ","($1,125,261.52)",Yes,35.33920157,35.35759338,81.32966433,86.29752707,-25.45379841,-25.45379841,0.018391811,4.967862747,0
UnitedHealthcare Insurance Company,Alabama,69461,700,43907,0,0,-724205.96,N/E,$-,"($724,205.96)",No,0,#VALUE!,0,#VALUE!,-16.49408887,-16.49408887,#VALUE!,#VALUE!,0
WPS Health Plan Inc,Wisconsin,84670,215901,43139,12623709,1825501,-1158565,"$12,630,278.43 ","$1,825,501.39 ","($1,158,565.40)",No,58.46989592,58.5003239,8.45526885,8.455270656,-26.85655671,-26.85656598,0.030427974,1.80638E-06,-9.27235E-06
Federated Mutual Insurance Company,North Carolina,24588,1,42963,0,0,236116.42,N/E,$-,"$236,116.42 ",No,0,#VALUE!,0,#VALUE!,5.495808486,5.495808486,#VALUE!,#VALUE!,0
Pekin Life Insurance Company,Illinois,18389,96,42936,,,-476619,N/E,$-,"($476,618.51)",No,0,#VALUE!,0,#VALUE!,-11.10068474,-11.10067333,#VALUE!,#VALUE!,1.14123E-05
Federated Mutual Insurance Company,Wisconsin,92708,0,41785,0,0,678006.47,N/E,$-,"$678,006.47 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,16.22607323,16.22607323,#VALUE!,#VALUE!,0
Federated Mutual Insurance Company,Nebraska,47340,0,41772,0,0,-1283549.38,N/E,$-,"($1,283,549.38)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-30.72750598,-30.72750598,#VALUE!,#VALUE!,0
HealthPartners Insurance Company,Wisconsin,20173,62,40963,,,-228000,N/E,$-,"($228,049.85)",No,0,#VALUE!,0,#VALUE!,-5.565998584,-5.567215536,#VALUE!,#VALUE!,-0.001216952
Cigna Health and Life Insurance Company,Georgia,50491,44469,40411,3608645,3938467,0,"$3,610,522.83 ","$3,938,467.33 ",$-,No,81.1496773,81.19190515,88.56657447,88.56658189,0,#VALUE!,0.042227844,7.4209E-06,#VALUE!
UnitedHealthcare Insurance Company,Massachusetts,31779,5476,40095,201831.79,-22322.05,-949799.09,"$201,936.84 ",N/A_MA_Issuer,N/A_MA_Issuer,No,36.85752191,36.87670562,-4.076342221,#VALUE!,-23.68871655,#VALUE!,0.019183711,#VALUE!,#VALUE!
All Savers Insurance Company,Mississippi,26781,67,39946,0,0,-27052.78,N/E,$-,"($27,052.78)",No,0,#VALUE!,0,#VALUE!,-0.677233766,-0.677233766,#VALUE!,#VALUE!,0
Coventry Health & Life Insurance Company,Nebraska,79636,1265,39502,0,29482.04,-4014.32,$0.00 ,"$48,490.02 ","($4,014.32)",No,0,0,23.30596047,38.33203162,-0.101623209,-0.101623209,0,15.02607115,0
"Sutter Health Plan, Inc.",California,64210,1277,39028,184455,309874,-3431345,"$184,550.94 ","$309,874.09 ","($3,431,344.78)",No,144.4440094,144.5191386,242.6577917,242.6578622,-87.92008302,-87.92007738,0.075129209,7.04777E-05,5.63698E-06
"MVP Health Plan, Inc",New York,56184,391924,38763,14462201.01,22382901,-2504923.46,"$14,469,727.59 ","$25,548,029.99 ","($2,504,923.46)",Yes,36.90052411,36.91972829,57.11030965,65.18618403,-64.62150659,-64.62150659,0.019204182,8.075874379,0
PreferredOne Community Health Plan,Minnesota,97624,,38552,,,522093,N/E,$-,"$522,092.71 ",Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,13.54256589,13.54255836,#VALUE!,#VALUE!,-7.52231E-06
"Blue Cross and Blue Shield of Massachusetts, Inc.",Massachusetts,24675,2558,37764,96844.97,-52354,-684525,"$96,895.37 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes,37.85964425,37.87934715,-20.46677091,#VALUE!,-18.12639021,#VALUE!,0.019702893,#VALUE!,#VALUE!
"Prominence Preferred Health Insurance Company, Inc.",Nevada,68524,,37751,,,1300037,N/E,$-,"$1,300,037.30 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,34.43715398,34.43716193,#VALUE!,#VALUE!,7.94681E-06
Coventry Health & Life Insurance Company,West Virginia,26661,141,36881,0,0,-516628.21,N/E,$-,"($516,628.21)",No,0,#VALUE!,0,#VALUE!,-14.00797728,-14.00797728,#VALUE!,#VALUE!,0
"UnitedHealthcare of the Mid-Atlantic, Inc.",Maryland,31112,27649,36198,504657.46,-1145778.83,-1679131.56,"$504,920.11 ","($1,146,080.38)","($1,678,830.01)",No,18.25228616,18.2617856,-41.44015444,-41.4510608,-46.38741256,-46.37908199,0.009499439,-0.010906362,0.008330571
Federated Mutual Insurance Company,Virginia,13433,0,35885,0,0,-1377421.98,N/E,$-,"($1,377,421.98)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-38.3843383,-38.3843383,#VALUE!,#VALUE!,0
Aetna Health Inc. (a Pennsylvania corporation),Maryland,66516,319,35749,0,0,-655553.92,N/E,$-,"($655,553.92)",No,0,#VALUE!,0,#VALUE!,-18.33768553,-18.33768553,#VALUE!,#VALUE!,0
UnitedHealthcare of Illinois Inc,Illinois,42529,12,35480,0,-8144.77,-1177001.47,N/E,$-,"($1,185,146.24)",No,0,#VALUE!,-678.7308333,#VALUE!,-33.17366037,-33.40321984,#VALUE!,#VALUE!,-0.22955947
CoOportunity Health,Nebraska,43198,53942,33954,2008541.46,-10205123.79,-7075784.88,"$2,009,586.78 ","($10,205,123.79)","($7,075,784.88)",Yes,37.23520559,37.25458418,-189.1869747,-189.1869747,-208.3932638,-208.3932638,0.019378592,0,0
Blue Cross Blue Shield of Wisconsin,Wisconsin,90028,34379,33265,0,0,-163325.2,N/E,$-,"($163,325.20)",No,0,#VALUE!,0,#VALUE!,-4.909821133,-4.909821133,#VALUE!,#VALUE!,0
"GEMCare Health Plan, Inc.",California,79325,,32764,,,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0
Time Insurance Company,Arizona,80863,137808,32712,12348425,4054101,325998,"$12,354,851.10 ","$11,878,587.57 ","$355,617.92 ",No,89.60600981,89.65264063,29.41847353,86.19664729,9.96570066,10.87117633,0.04663082,56.77817376,0.905475666
Humana Insurance Company,Mississippi,48963,336079,32615,18775352.59,13191678.23,-52010.25,"$18,785,123.87 ","$13,191,678.23 ","($52,010.25)",No,55.86589043,55.89496479,39.25171829,39.25171829,-1.594672697,-1.594672697,0.029074355,0,0
"VIVA Health, Inc.",Alabama,93018,,32297,,,-782962.27,N/E,$-,"($782,962.27)",Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-24.24256959,-24.24256959,#VALUE!,#VALUE!,0
Humana Insurance Company,Nevada,20895,17260,31901,2036876.71,1431529.89,-1141023.21,"$2,037,936.77 ","$1,431,529.89 ","($1,141,023.21)",No,118.0113969,118.072814,82.93915933,82.93915933,-35.76763142,-35.76763142,0.061417149,0,0
"Oxford Health Plans (CT), Inc",Connecticut,71179,399,31660,0,0,-1834583.56,N/E,$-,"($1,834,583.56)",No,0,#VALUE!,0,#VALUE!,-57.94641693,-57.94641693,#VALUE!,#VALUE!,0
Cox Health Systems Insurance Company,Missouri,96384,120726,31560,1953916,-1884389.93,-1229766.58,"$1,954,932.69 ","($1,884,389.93)","($1,229,766.58)",Yes,16.1847158,16.19313727,-15.60881608,-15.60881608,-38.96598796,-38.96598796,0.008421467,0,0
Maine Community Health Options,New Hampshire,19304,47854,31453,3310644.95,5306302.38,-3569171.62,"$3,312,367.91 ","$5,306,302.38 ","($3,569,171.62)",Yes,69.18219898,69.21820349,110.8852422,110.8852422,-113.4763495,-113.4763495,0.036004514,0,0
USAble Mutual Insurance Company,Texas,81795,,31442,,,-96511.51,N/E,$-,"($96,511.51)",Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-3.069509255,-3.069509255,#VALUE!,#VALUE!,0
Federated Mutual Insurance Company,Pennsylvania,80148,12,31410,0,0,-2549615.51,N/E,$-,"($2,549,615.51)",No,0,#VALUE!,0,#VALUE!,-81.17209519,-81.17209519,#VALUE!,#VALUE!,0
"UnitedHealthcare of Georgia, Inc. ",Georgia,43802,126026,31034,10981664.8,9760768.12,-114263.43,"$10,987,380.00 ","$9,760,768.12 ","($111,617.91)",No,87.13808897,87.18343834,77.45043182,77.45043182,-3.681878907,-3.596633048,0.045349372,0,0.085245859
"UPMC Health Network, Inc.",Pennsylvania,16481,10,31026,,0,,$0.00 ,$-,"($1,036,677.48)",Yes,0,0,0,#VALUE!,0,-33.41318507,0,#VALUE!,-33.41318507
Optimum Choice Inc.,Virginia,24251,560,30869,0,0,-358194.95,N/E,$-,"($358,194.95)",No,0,#VALUE!,0,#VALUE!,-11.60371084,-11.60371084,#VALUE!,#VALUE!,0
All Savers Insurance Company,Florida,42204,158,30287,0,0,-125918.62,N/E,$-,"($125,918.62)",No,0,#VALUE!,0,#VALUE!,-4.157513785,-4.157513785,#VALUE!,#VALUE!,0
Sanford Health Plan,South Dakota,31195,53788,30143,1911821.64,201919.38,225580,"$1,912,816.62 ","$201,919.38 ","$225,580.45 ",Yes,35.54364617,35.56214434,3.753985647,3.753985647,7.483661215,7.483676144,0.018498178,0,1.49288E-05
Horizon Healthcare of New Jersey,New Jersey,13953,28,30059,,-946,3193511,$0.00 ,($945.51),"$3,193,510.84 ",Yes,0,0,-33.78571429,-33.76821429,106.2414252,106.2414199,0,0.0175,-5.32287E-06
UnitedHealthcare Insurance Company of New York,New York,54297,1284,29968,71590.71,-7577.79,-207851.87,"$71,627.97 ","($7,577.79)","($207,851.87)",No,55.75600467,55.78502336,-5.901705607,-5.901705607,-6.935793847,-6.935793847,0.029018692,0,0
Colorado Choice Health Plans,Colorado,63312,65551,29964,4663399,1015914,-1750014,"$4,665,826.16 ","$1,562,462.46 ","($1,750,013.59)",Yes,71.14153865,71.1785657,15.4980702,23.83582951,-58.40388466,-58.40387098,0.037027048,8.337759302,1.36831E-05
Federated Mutual Insurance Company,Tennessee,83463,0,29848,0,0,414552.78,N/E,$-,"$414,552.78 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,13.8887959,13.8887959,#VALUE!,#VALUE!,0
Oregon's Health CO-OP,Oregon,99389,101241,29172,4779379.71,401324.32,-1315272.66,"$4,781,867.05 ","$401,324.32 ","($1,315,272.66)",Yes,47.20794648,47.23251499,3.964049348,3.964049348,-45.08681818,-45.08681818,0.024568505,0,0
John Alden Life Insurance Company,Texas,58483,8627,29137,0,0,-588168,N/E,$-,"($588,168.10)",No,0,#VALUE!,0,#VALUE!,-20.18629234,-20.18629578,#VALUE!,#VALUE!,-3.43206E-06
Time Insurance Company,Wyoming,29941,24048,28773,1887433,1254914,646261,"$1,888,415.67 ","$1,254,913.51 ","$646,260.58 ",No,78.48606953,78.52693239,52.1837159,52.18369553,22.46067494,22.46066034,0.040862858,-2.03759E-05,-1.4597E-05
PHP Insurance Company,Michigan,20662,,28751,,,-40531.33,N/E,$-,"($40,531.33)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-1.409736357,-1.409736357,#VALUE!,#VALUE!,0
Aetna Health Inc. (a Texas corporation),Texas,58840,120,28415,0,0,-139428.93,N/E,$-,"($139,428.93)",No,0,#VALUE!,0,#VALUE!,-4.906877705,-4.906877705,#VALUE!,#VALUE!,0
Fallon Health and Life Assurance Co.,Massachusetts,52710,200,27677,12681.85,17475.49,1727470.75,"$14,000.29 ",N/A_MA_Issuer,N/A_MA_Issuer,No,63.40925,70.00145,87.37745,#VALUE!,62.41539004,#VALUE!,6.5922,#VALUE!,#VALUE!
"UPMC Health Coverage, Inc. ",Pennsylvania,62560,155,27635,0,-11718.3,-317613,$0.00 ,"($11,718.30)","($317,612.72)",Yes,0,0,-75.60193548,-75.60193548,-11.49314275,-11.49313262,0,0,1.01321E-05
"MVP Health Plan, Inc",Vermont,77566,37958,27386,1844903,-581288,,,,,Yes,48.60379894,0,-15.31397861,0,0,0,-48.60379894,15.31397861,0
"Moda Health Plan, Inc.",Alaska,73836,159592,26851,26291860,-9415111,-683234,"$26,305,543.39 ","($9,415,111.19)","($683,234.43)",No,164.7442228,164.8299626,-58.9948807,-58.99488189,-25.44538378,-25.4453998,0.085739824,-1.19054E-06,-1.60143E-05
HealthPlus Insurance Company,Michigan,59830,306867,26843,9023847,-4117248,427409,"$9,028,543.74 ","($4,117,248.29)","$469,960.22 ",No,29.40637801,29.42168347,-13.41704387,-13.41704481,15.92254964,17.50773833,0.015305458,-9.45035E-07,1.58518869
"Medical Associates Health Plan, Inc",Iowa,50735,12,26641,,,150195,$0.00 ,$-,"$370,973.92 ",No,0,0,0,#VALUE!,5.637738824,13.92492474,0,#VALUE!,8.287185916
MVP Health Insurance Company,Vermont,92802,,26607,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0
"Colorado Health Insurance Cooperative, Inc.",Colorado,20472,890026,26597,38644223.02,-41180913.87,-819602.44,"$38,664,334.67 ","($41,180,913.97)","($819,602.44)",Yes,43.41920688,43.44180358,-46.26933805,-46.26933817,-30.81559725,-30.81559725,0.022596699,-1.12356E-07,0
Tufts Insurance Company,Massachusetts,38712,5867,25535,1002074,468303,2038202,"$1,002,595.01 ",N/A_MA_Issuer,N/A_MA_Issuer,No,170.7983637,170.8871672,79.81983978,#VALUE!,79.81993342,#VALUE!,0.088803477,#VALUE!,#VALUE!
Common Ground Healthcare Cooperative,Wisconsin,87416,396688,25483,32233096.93,194955.1,-2056055.51,"$32,249,872.02 ","$194,955.10 ","($2,056,055.51)",Yes,81.25553818,81.29782605,0.491457014,0.491457014,-80.68341679,-80.68341679,0.042287869,0,0
Aetna Life Insurance Company,West Virginia,50318,217,25429,0,0,154836.76,N/E,$-,"$154,836.76 ",No,0,#VALUE!,0,#VALUE!,6.088983444,6.088983444,#VALUE!,#VALUE!,0
All Savers Insurance Company,Indiana,36373,310475,25360,27267518.41,13324209.36,-46343.78,"$27,281,709.27 ","$13,324,209.36 ","($48,636.23)",No,87.82516599,87.87087292,42.9155628,42.9155628,-1.82743612,-1.917832413,0.045706933,0,-0.090396293
"The Health Plan of the Upper Ohio Valley, Inc.",Ohio,83396,1491,25050,7872,-74716,-306669,"$7,876.07 ","($74,715.60)","($306,668.86)",Yes,5.279678068,5.28240778,-50.11133467,-50.1110664,-12.24227545,-12.24226986,0.002729712,0.000268276,5.58882E-06
Triple-S Salud Inc.,United States Virgin Islands,83991,,25047,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0
Time Insurance Company,Nebraska,19524,80376,23547,4732170,4043577,241464,"$4,734,632.44 ","$6,667,658.89 ","$883,774.73 ",No,58.87541057,58.90604708,50.30826366,82.95584366,10.25455472,37.53237058,0.030636508,32.64758,27.27781586
Federated Mutual Insurance Company,Iowa,41397,0,23378,0,0,-76811.45,N/E,$-,"($76,811.45)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-3.285629652,-3.285629652,#VALUE!,#VALUE!,0
Chinese Community Health Plan,California,47579,155023,23217,2643378.04,-28712244.96,-1540420.81,"$2,569,834.40 ","($28,712,244.96)","($1,540,479.60)",No,17.05152165,16.57711694,-185.2128069,-185.2128069,-66.34883103,-66.35136323,-0.474404701,0,-0.002532196
"UnitedHealthcare of Ohio, Inc",Kentucky,45920,314,23206,0,0,-293318.64,N/E,$-,"($293,318.64)",No,0,#VALUE!,0,#VALUE!,-12.63977592,-12.63977592,#VALUE!,#VALUE!,0
Time Insurance Company,Georgia,20544,176902,23198,12623716,10590786,-240775,"$12,630,285.95 ","$10,590,785.72 ","($237,705.68)",No,71.3599394,71.39707833,59.86809646,59.86809488,-10.37912751,-10.24681783,0.037138924,-1.5828E-06,0.132309682
Tufts Health Public Plans Inc.,Massachusetts,59763,688066,23154,4626816,-33871661,-1139810,"$4,629,223.87 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes,6.724378185,6.72787766,-49.22734302,#VALUE!,-49.22734733,#VALUE!,0.003499475,#VALUE!,#VALUE!
Medical Associates Health Plan of WI,Wisconsin,64772,,23051,,,-696242,N/E,$-,"($696,241.56)",Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-30.20441629,-30.20439721,#VALUE!,#VALUE!,1.90881E-05
UnitedHealthcare of Texas,Texas,40220,142,22909,0,-25523.92,-2109624.3,N/E,$-,"($2,135,148.22)",No,0,#VALUE!,-179.7459155,#VALUE!,-92.08714043,-93.20128421,#VALUE!,#VALUE!,-1.114143786
Federated Mutual Insurance Company,Kansas,96352,0,22811,0,0,-229788.82,N/E,$-,"($229,788.82)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-10.07359695,-10.07359695,#VALUE!,#VALUE!,0
Federated Mutual Insurance Company,South Carolina,33609,0,22243,0,0,1063092.09,N/E,$-,"$1,063,092.09 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,47.79445623,47.79445623,#VALUE!,#VALUE!,0
"HMO Colorado, Inc., dba HMO Nevada",Colorado,76680,193986,22133,9016342.55,-107842.07,-1803127.62,"$9,021,034.94 ","$29,925.42 ","($1,803,127.62)",No,46.47934671,46.50353603,-0.555927077,0.154265875,-81.46783626,-81.46783626,0.024189323,0.710192952,0
"HealthPlus of Michigan, Inc.",Michigan,13667,54902,22123,912950,-4076071,76154,"$913,424.81 ","($4,076,070.63)","$83,736.21 ",Yes,16.62872027,16.63736858,-74.24266876,-74.24266202,3.442299869,3.785029607,0.008648319,6.73928E-06,0.342729738
Aetna Life Insurance Company,Missouri,48161,7897,21933,0,0,258345.46,N/E,$-,"$258,345.46 ",No,0,#VALUE!,0,#VALUE!,11.7788474,11.7788474,#VALUE!,#VALUE!,0
"Coventry Health Care of West Virginia, Inc.",West Virginia,33577,4,21590,0,-435.24,-69535.77,$0.00 ,($435.24),"($69,535.77)",No,0,0,-108.81,-108.81,-3.220739694,-3.220739694,0,0,0
PacificSource Health Plans,Idaho,60597,34541,21577,807059.42,600458.28,-80877.14,"$807,479.44 ","$600,458.28 ","($80,877.14)",Yes,23.36525926,23.3774193,17.38392866,17.38392866,-3.748303286,-3.748303286,0.012160042,0,0
Aetna Life Insurance Company,Alaska,11082,2906,21271,0,-34550.55,557129.07,$0.00 ,"($34,550.55)","$557,129.08 ",No,0,0,-11.88938403,-11.88938403,26.19195477,26.19195524,0,0,4.70124E-07
"Empire HealthChoice Assurance, Inc.",New York,44113,213,21074,0,0,-1060038.06,N/E,$-,"($1,060,038.06)",No,0,#VALUE!,0,#VALUE!,-50.30075259,-50.30075259,#VALUE!,#VALUE!,0
Time Insurance Company,Indiana,91842,150303,20912,12092873,15394607,476778,"$12,099,166.58 ","$15,394,607.15 ","$472,972.29 ",No,80.45663094,80.49850356,102.4238172,102.4238182,22.79925402,22.61726712,0.041872617,9.97984E-07,-0.181986897
Federated Mutual Insurance Company,Oklahoma,27243,0,20746,0,0,-492319.02,N/E,$-,"($492,326.98)",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-23.73079244,-23.73117613,#VALUE!,#VALUE!,-0.000383688
Cigna Health and Life Insurance Company,New York,41500,519,20303,0,0,0,,,,No,0,0,0,0,0,0,0,0,0
John Alden Life Insurance Company,Michigan,79970,7574,19937,0,0,-25243,N/E,$-,"($25,243.15)",No,0,#VALUE!,0,#VALUE!,-1.266138336,-1.266145859,#VALUE!,#VALUE!,-7.5237E-06
"AMHIC, A Reciprocal Association",District of Columbia,46675,,19512,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0
CoOportunity Health,Iowa,71268,10554,18569,520740.41,-1753954.62,-3537357.91,"$504,598.26 ","($1,753,954.62)","($3,537,357.91)",Yes,49.34057324,47.81109153,-166.1886128,-166.1886128,-190.4980295,-190.4980295,-1.529481713,0,0
Time Insurance Company,Alaska,38596,18660,18371,1166760,-2908794,-1465993,"$1,167,367.38 ","($2,908,793.99)","($1,465,993.25)",No,62.52733119,62.55988103,-155.8839228,-155.8839223,-79.79930325,-79.79931686,0.032549839,5.35906E-07,-1.36084E-05
Network Health Insurance Corporation,Wisconsin,35166,4873,18173,0,0,0,,,,Yes,0,0,0,0,0,0,0,0,0
Keystone Health Plan Central,Pennsylvania,53789,30665,17939,1234236,298017,5269,"$1,234,878.34 ","$298,016.86 ","$5,269.47 ",No,40.24901353,40.26996054,9.71847383,9.718469265,0.293717599,0.293743798,0.020947008,-4.56547E-06,2.61999E-05
MercyCare HMO,Wisconsin,58326,10511,17819,1039096.92,686857.72,224237.16,"$1,039,637.70 ","$686,857.72 ","$224,237.16 ",No,98.85804586,98.90949481,65.34656265,65.34656265,12.58416073,12.58416073,0.051448958,0,0
Highmark Coverage Advantage Inc.,Pennsylvania,79279,32,17638,,,220268,$0.00 ,$-,"$220,267.91 ",Yes,0,0,0,#VALUE!,12.48826398,12.48825887,0,#VALUE!,-5.10262E-06
Montana Health Cooperative,Montana,32225,223233,17202,14898840,4282446,1822463,"$14,667,714.03 ","$4,282,446.27 ","$1,822,462.95 ",Yes,66.74120762,65.70585008,19.18374971,19.18375092,105.944832,105.9448291,-1.035357541,1.2095E-06,-2.90664E-06
UnitedHealthcare Insurance Company,Wyoming,49714,266,17155,0,0,-325977.41,N/E,$-,"($325,977.41)",No,0,#VALUE!,0,#VALUE!,-19.00188925,-19.00188925,#VALUE!,#VALUE!,0
National Health Insurance Company,Utah,29031,,16990,,,-896025,$0.00 ,$-,"($896,025.25)",No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,-52.73837552,-52.73839023,#DIV/0!,#VALUE!,-1.47145E-05
Allegian Insurance Company,Texas,63509,4119,16662,51093,-170079,-373335,"$51,119.55 ","($170,079.29)","($373,334.92)",No,12.40422433,12.41067007,-41.29133285,-41.29140325,-22.40637378,-22.40636898,0.006445739,-7.04054E-05,4.80134E-06
ConnectiCare of Massachusetts,Massachusetts,88950,,16520,,,-149032.86,$0.00 ,N/A_MA_Issuer,N/A_MA_Issuer,No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,-9.021359564,#VALUE!,#DIV/0!,#VALUE!,#VALUE!
WINhealth Partners,Wyoming,53189,96015,16403,8897183,-2626798,-31069,"$8,575,326.66 ","($2,626,798.16)","($31,069.24)",Yes,92.66451075,89.31236432,-27.35820445,-27.35820611,-1.894104737,-1.894119368,-3.352146435,-1.66641E-06,-1.46315E-05
"Inter-County Health Plan, Inc",Pennsylvania,65698,660,16375,0,0,-147586,,,,Yes,0,0,0,0,-9.012885496,0,0,0,9.012885496
"Inter-County Hospitalization Plan, Inc",Pennsylvania,48788,994,15714,0,0,-361333,N/E,$-,"($508,919.29)",Yes,0,#VALUE!,0,#VALUE!,-22.99433626,-32.38636184,#VALUE!,#VALUE!,-9.392025582
Pan-American Life Insurance Company of Puerto Rico,Puerto Rico,66148,,15713,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0
Aetna Life Insurance Company,Louisiana,14030,778,15659,0,0,20006.7,N/E,$-,"$20,110.13 ",No,0,#VALUE!,0,#VALUE!,1.277648637,1.284253784,#VALUE!,#VALUE!,0.006605147
WMI Mutual Insurance Company,Montana,45632,,15385,,,58225.04,N/E,$-,"$58,225.04 ",No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,3.784532987,3.784532987,#VALUE!,#VALUE!,0
"Vantage Health Plan, Inc.",Louisiana,67243,84352,15385,2856815,-261975,-33097,"$2,858,301.90 ","($261,974.85)","($33,096.77)",No,33.86778025,33.88540758,-3.105735489,-3.105733711,-2.151251219,-2.151236269,0.017627324,1.77826E-06,1.49496E-05
UnitedHealthcare Insurance Company,Alaska,80049,63,15344,0,-98113.1,-659408.7,N/E,$-,"($757,521.80)",No,0,#VALUE!,-1557.350794,#VALUE!,-42.97501955,-49.36925182,#VALUE!,#VALUE!,-6.394232273
Coventry Health & Life Insurance Company,North Carolina,94459,36,15301,0,0,-154381.2,N/E,$-,"($154,381.20)",No,0,#VALUE!,0,#VALUE!,-10.08961506,-10.08961506,#VALUE!,#VALUE!,0
