,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
290,72375,"Optimum Choice, Inc.",MD,N/E,$-,"($2,947,755.59)"
291,72564,Evergreen Health,MD,"$2,540,644.79","$1,224,227.52","($10,613,469.40)"
292,90296,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",MD,"$3,816,924.66","($29,417,473.49)","$2,554,219.07"
293,94084,Group Hospitalization and Medical Services,MD,"$7,161,965.94","$18,670,711.32","$18,607,732.84"
294,11593,HPHC Insurance Company Inc.,ME,"$353,431.61","$617,069.84","$2,126,973.99"
295,33653,Maine Community Health Options,ME,"$17,217,074.37","$5,309,414.63","($1,592,009.09)"
296,48396,Anthem Health Plans of ME(Anthem BCBS),ME,"$3,475,090.31","($5,023,772.82)","$1,897,677.07"
297,53357,Aetna Life Insurance Company,ME,N/E,$-,"$713,025.50"
298,73250,Aetna Health Inc. (a ME corp.),ME,"$92,757.12","($370,234.08)","($154,409.60)"
299,90214,UnitedHealthcare Insurance Company,ME,N/E,$-,"$21,880.11"
300,96667,Harvard Pilgrim Health Care Inc.,ME,"$2,922,966.87","($532,477.48)","($3,013,138.00)"
301,13667,HealthPlus Insurance Company,MI,"$19,784.98","($1,118,038.80)","($113,837.62)"
302,15560,Blue Cross Blue Shield of Michigan Mutual Insurance Company,MI,"$45,860,204.98","$117,279,775.33","$27,642,465.18"
303,20393,McLaren Health Plan,MI,N/E,$-,"($305,892.99)"
304,20662,PHP Insurance Company,MI,N/E,$-,"$511,519.60"
305,29241,Priority Health,MI,"$3,777,289.50","$5,900,733.25","$1,298,105.46"
306,29698,Priority Health,MI,"$14,623,284.20","($34,476,293.74)","($2,495,450.95)"
307,34620,"Harbor Health Plan, Inc.",MI,"$97,137.52","($2,957,260.83)",$-
308,37651,Health Alliance Plan of Michigan,MI,"$1,323,374.09","($3,617,941.82)","($1,055,785.01)"
309,40047,"Molina Healthcare of Michigan, Inc.",MI,"$103,321.22","($1,474,611.65)",$-
310,45002,UnitedHealthcare Life Insurance Company,MI,"$402,490.39","($1,058,410.43)","($1,115.68)"
311,46275,"Humana Medical Plan of Michigan, Inc.",MI,"$3,265,248.40","($19,477,061.31)",$-
312,52670,All Savers Insurance Company,MI,N/E,$-,"($73,743.09)"
313,58594,"Meridian Health Plan of Michigan, Inc.",MI,$0.00,"($4,071,093.14)",$-
314,59140,Nippon Life Insurance Company of America,MI,N/E,$-,"($39,510.72)"
315,60829,Physicians Health Plan,MI,"$188,284.13","($3,011,163.79)","($1,332,750.39)"
316,62294,Humana Insurance Company,MI,"$597,264.23","$282,976.78","($442,791.40)"
317,63631,UnitedHealthcare Insurance Company,MI,N/E,$-,"($1,938,501.49)"
318,67183,Total Health Care,MI,"$473,367.52","$2,404,013.29","$911,860.92"
319,67577,Alliance Health & Life Insurance Co,MI,"$3,461,031.71","$2,973,919.75","($1,080,248.95)"
320,71667,"UnitedHealthcare Community Plan, Inc.",MI,"$352,525.33","$167,256.82",$-
321,74917,McLaren Health Plan,MI,"$397,952.91","$1,946,788.76","($788,901.32)"
322,81068,Aetna Life Insurance Company,MI,"$526,251.20","($1,407,174.88)",$-
323,82649,Federated Mutual Insurance Company,MI,N/E,$-,"($1,167,684.94)"
324,95233,Paramount Insurance Company,MI,N/E,$-,"$375,049.38"
325,98185,Blue Care Network of Michigan,MI,"$19,430,303.42","($58,286,413.44)","($19,902,786.04)"
326,31616,Medica Insurance Company,MN,"$1,837,669.52","($5,073,958.40)","$9,613,665.25"
327,34102,Group Health Plan Inc,MN,"$3,025,814.22","($17,682,308.21)",$-
328,49316,BCBSMN INC,MN,"$53,825,959.36","$109,756,214.54","$18,652,345.56"
329,52346,Sanford Health Plan of Minnesota,MN,N/E,$-,"($55,346.10)"
330,57129,HMO Minnesota,MN,"$2,455,375.64","($6,343,423.56)","($453,720.09)"
331,60769,Federated Mutual Insurance Company,MN,N/E,$-,"($5,042,388.92)"
332,65847,Medica Health Plans of Wisconsin,MN,"$10,897,237.25","($13,675,777.86)",$-
333,70373,"Gundersen Health Plan Minnesota, Inc.",MN,N/E,$-,"($58,727.84)"
334,79888,"HealthPartners, Inc",MN,N/E,$-,"($13,565,960.64)"
335,85654,HealthPartners Insurance Company,MN,"$6,932,266.01","($55,107,410.50)","($2,487,209.58)"
336,85736,UCare Minnesota,MN,"$1,552,756.08","($16,539,135.00)",$-
337,88102,PreferredOne Insurance Company,MN,"$1,189,854.34","$4,665,798.89","($5,741,279.42)"
338,97624,PreferredOne Community Health Plan,MN,N/E,$-,"($861,378.17)"
339,14162,UnitedHealthcare Life Insurance Company,MO,"$1,399,839.02","($4,769,647.33)",$-
340,16049,All Savers Insurance Company,MO,"$9,988,746.15","$4,425,402.77",$-
341,30613,Humana Insurance Company,MO,"$2,133,913.47","($10,432,560.76)","($6,322,781.87)"
342,32753,Healthy Alliance Life Co(Anthem BCBS),MO,"$13,135,205.16","($2,324,559.37)","$2,366,744.33"
343,32898,Aetna Health Inc. (a PA corp.),MO,N/E,$-,"($7,048.39)"
344,34762,Blue Cross and Blue Shield of Kansas City,MO,"$15,688,168.11","$16,722,536.07","$1,407,580.23"
345,44240,Coventry Health and Life,MO,"$12,224,324.59","($4,108,462.62)","($25,221.44)"
346,44527,Coventry Health and Life,MO,"$12,858,595.97","$24,671,526.20","$472,459.61"
347,48161,Aetna Life Insurance Company,MO,$0.00,$-,"($208,051.89)"
348,64701,Federated Mutual Insurance Company,MO,N/E,$-,"($2,615,175.44)"
349,74483,Cigna Health and Life Insurance Company,MO,"$2,891,127.82","($20,562,221.68)",$-
350,95426,UnitedHealthcare Insurance Company,MO,N/E,$-,"$6,325,614.34"
351,96384,Cox HealthPlans,MO,"$1,399,376.40","($3,684,258.43)","($1,394,119.54)"
352,99723,Celtic Insurance Company,MO,"$22,536.76","$62,245.22",$-
353,11721,Blue Cross Blue Shield of Mississippi,MS,"$4,413,878.60","($14,760.32)","($241,806.75)"
354,26781,All Savers Insurance Company,MS,N/E,$-,"($134,468.89)"
355,38420,Federated Mutual Insurance Company,MS,N/E,$-,"$351,118.53"
356,48963,Humana Insurance Company,MS,"$6,980,708.93","$9,062,010.42","($202,527.52)"
357,61794,UnitedHealthcare Life Insurance Company,MS,"$433,070.62","($943,059.23)","($98,160.48)"
358,83808,Coventry Health and Life,MS,N/E,$-,"($47,174.80)"
359,90714,Ambetter of Magnolia,MS,"$5,387,101.04","($15,087,320.89)",$-
360,96734,Freedom Life Insurance Company of America,MS,"$4,738.44",$261.36,$-
361,97560,"UnitedHealthcare of Mississippi, Inc.",MS,"$4,885,097.12","$6,982,868.71","($171,305.95)"
362,98805,UnitedHealthcare Insurance Company,MS,N/E,$-,"$544,325.88"
363,23603,PacificSource Health Plans,MT,"$3,495,987.92","$4,481,331.95","$30,184.01"
364,30751,Blue Cross and Blue Shield of Montana,MT,"$17,130,961.48","($5,337,903.73)","$157,176.77"
365,32225,Montana Health Cooperative,MT,"$4,262,930.36","$856,571.75","($369,600.60)"
366,46621,UnitedHealthcare Insurance Company,MT,N/E,$-,"$182,239.73"
367,11512,Blue Cross Blue Shield of North Carolina,NC,"$94,120,592.05","$150,165,052.87","$20,320,343.90"
368,24588,Federated Mutual Insurance Company,NC,N/E,$-,"($850,145.02)"
369,32237,Humana Insurance Company,NC,"$454,507.19","($1,766,155.71)",$-
370,40411,Cigna Health and Life Insurance Company,NC,"$574,641.37","($717,206.52)",$-
371,42754,UnitedHealthcare Life Insurance Company,NC,"$891,856.39","($3,588,674.30)",$-
372,43283,FirstCarolinaCare Insurance Company,NC,N/E,$-,"$369,444.19"
373,44007,Celtic Insurance Company,NC,$0.00,"$8,490.39",$-
374,54332,"UnitedHealthcare of North Carolina, Inc.",NC,"$29,590,096.56","($54,829,193.06)","($7,434,771.42)"
375,56346,"Coventry Health Care of the Carolinas, Inc.",NC,"$34,304.97","$464,269.47","($5,608,555.46)"
376,58658,UnitedHealthcare Insurance Company of the River Valley,NC,N/E,$-,"($2,599,069.46)"
377,61644,Aetna Life Insurance Company,NC,N/E,$-,"($943,358.48)"
378,61671,Aetna Health Inc. (a PA corp.),NC,"$21,487,642.81","($89,736,583.12)","($93,039.81)"
379,69347,UnitedHealthcare Insurance Company,NC,N/E,$-,"($2,779,689.38)"
380,72487,All Savers Insurance Company,NC,N/E,$-,"($55,136.27)"
381,94459,Coventry Health and Life,NC,N/E,$-,"($326,022.64)"
382,37160,Blue Cross Blue Shield of North Dakota,ND,"$7,183,989.12","$5,450,054.61","$788,699.06"
383,39364,Medica Insurance Company,ND,N/E,$-,"$634,824.54"
384,73751,Medica Health Plans,ND,"$1,374,734.61","($1,809,702.29)","$129,354.14"
385,89364,Sanford Health Plan,ND,"$824,355.88","($3,640,352.33)","($1,552,877.70)"
386,15438,Coventry Health Care of Nebraska Inc.,NE,"$10,568,365.68","($14,085,301.00)","($511,279.04)"
387,20305,Medica Insurance Company,NE,"$2,937,716.48","$11,059,909.41",$-
388,29678,Blue Cross and Blue Shield of Nebraska,NE,"$18,276,356.34","$13,703,605.42","($3,814,395.91)"
389,44751,"UnitedHealthcare of the Midlands, Inc.",NE,"$3,192,423.23","($8,997,296.89)",$-
390,47340,Federated Mutual Insurance Company,NE,N/E,$-,"($733,269.63)"
391,68389,UnitedHealthcare Life Insurance Company,NE,"$1,343,802.98","($1,689,164.64)",$-
392,73102,UnitedHealthcare Insurance Company,NE,N/E,$-,"$4,767,583.27"
393,77931,Health Alliance Midwest Inc.,NE,$0.00,"$8,247.75","($8,402.32)"
394,79636,Coventry Health and Life,NE,N/E,$-,"$299,763.65"
395,19304,Maine Community Health Options,NH,"$3,738,551.04","$8,228,830.00","($2,828,659.52)"
396,51889,UnitedHealthcare Insurance Company,NH,N/E,$-,"($178,154.70)"
397,57601,Anthem Health Plans of NH(Anthem BCBS),NH,N/E,$-,"$1,894,646.99"
398,59025,Harvard Pilgrim Health Care of NE,NH,"$4,267,598.46","$367,444.85","($2,597,413.63)"
399,61163,"Minuteman Health, Inc.",NH,"$2,678,709.62","($25,420,942.91)","($24,124.42)"
400,71616,"HPHC Insurance Company, Inc",NH,N/E,$-,"$1,864,931.25"
401,75841,Celtic Insurance Company,NH,"$1,952,213.02","$17,279,612.16",$-
402,86365,Tufts Health Freedom Insurance Company,NH,N/E,$-,"($527,864.53)"
403,96751,Matthew Thornton Hlth Plan(Anthem BCBS),NH,"$6,413,731.87","($454,944.09)","$2,396,638.59"
404,10191,Freelancers CO-OP of New Jersey,NJ,"$15,360,457.20","$13,846,054.57","($7,147,951.36)"
405,13953,"Horizon Healthcare of New Jersey, Inc.",NJ,$0.00,"($4,840.86)","$3,260,175.89"
406,23458,Cigna Health and Life Insurance Company,NJ,N/E,$-,"$57,146.87"
407,41014,"Cigna HealthCare of New Jersey, Inc.",NJ,"$742,489.29","$2,555,962.42",$523.26
408,48834,"Oxford Health Plans (NJ), Inc.",NJ,"$3,302,998.95","$3,394,240.38","($189,101.21)"
409,50221,Oscar Insurance Corporation of New Jersey,NJ,"$4,150,648.26","($27,121,632.72)",$-
410,77263,"Oxford Health Insurance, Inc.",NJ,"$9,589,590.25","$53,596,343.52","$7,713,849.61"
411,77606,AmeriHealth HMO,NJ,"$4,743,483.65","($4,722,553.93)","($13,205,635.95)"
412,82884,Aetna Health Inc. (a NJ corp.),NJ,N/E,$-,"($9,662,880.03)"
413,89217,Aetna Life Insurance Company,NJ,"$1,890,405.94","$6,356,361.63","($5,730,100.37)"
414,91661,"Horizon Healthcare Services, Inc.",NJ,"$50,155,766.06","($84,325,185.20)","$26,681,850.74"
415,91762,AmeriHealth Ins Company of New Jersey,NJ,"$41,759,162.30","$36,425,250.15","($1,777,877.29)"
416,19722,"Molina Healthcare of New Mexico, Inc.",NM,"$1,237,375.41","$4,371,278.82",$-
417,28163,Celtic Insurance Company,NM,$0.00,"($12,382.28)",$-
418,52744,Presbyterian Insurance Company,NM,N/E,$-,"($3,330,860.38)"
419,57173,Presbyterian Health Plan,NM,"$6,321,646.56","$3,104,066.63","($786,361.40)"
420,72034,CHRISTUS Health Plan,NM,"$22,380.16","($3,546,966.80)",$-
421,75605,Blue Cross Blue Shield of New Mexico,NM,"$515,666.69","($136,719.12)","$8,888,567.76"
422,90762,UnitedHealthcare Insurance Company,NM,N/E,$-,"$313,275.66"
423,93091,New Mexico Health Connections,NM,"$3,009,737.98","($3,779,277.30)","($5,084,621.64)"
424,16698,Prominence HealthFirst,NV,"$2,283,593.67","($1,517,979.46)","($2,389,813.59)"
425,17255,Golden Rule Insurance Company,NV,"$204,415.47","($1,071,172.33)",$-
426,19298,Aetna Health Inc. (a PA corp.),NV,$0.00,"($835,974.11)","$224,843.43"
427,20895,Humana Insurance Company,NV,N/E,$-,"$534,684.37"
428,27990,Aetna Life Insurance Company,NV,"$1,381,959.06","($4,923,899.31)","$2,003,327.80"
429,33670,Rocky Mountain Hos&Med Svc(Anthem BCBS),NV,"$9,683,664.86","$9,941,477.55","$4,529,549.04"
430,41094,Hometown Health Plan Inc,NV,$0.00,"($528,674.34)","($761,267.17)"
431,42313,WMI Mutual Insurance Company,NV,N/E,$-,"($37,586.32)"
432,49021,Coventry Health and Life,NV,N/E,$-,($462.04)
433,60156,HMO Colorado Inc(Anthem BCBS),NV,"$2,165,656.09","($491,903.28)","($178,229.69)"
434,65693,Freedom Life Insurance Company of America,NV,$0.00,"($3,364.41)",$-
435,65779,Altius Health Plans Inc.,NV,N/E,$-,"($1,074.53)"
436,68307,Celtic Insurance Company,NV,$0.00,"($8,892.08)",$-
437,68524,"Prominence Preferred Health Insurance Company, Inc.",NV,N/E,$-,"($61,193.17)"
438,74222,UnitedHealthcare Insurance Company,NV,N/E,$-,"$538,856.08"
439,83198,"Sierra Health and Life Insurance Company, Inc.",NV,"$8,209,939.49","$13,434,434.68","$266,851.71"
440,85266,"Hometown Health Providers Insurance Company, Inc",NV,"$57,350.90","($674,631.16)","($1,995,391.69)"
441,93696,Humana Health Plan Inc.,NV,N/E,$-,"($236,913.35)"
442,95865,"Health Plan of Nevada, Inc.",NV,"$5,618,554.15","($13,319,421.75)","($2,436,180.93)"
443,11177,Metro Plus Health Plan,NY,"$1,351,405.68","($30,691,628.34)","($4,170,812.16)"
444,17210,Aetna Life Insurance Company,NY,"$68,477.14","($52,359.96)","($70,076,905.13)"
445,18029,Independent Health Benefits Corporation,NY,"$1,614,058.33","$9,237,924.35","$5,830,441.45"
446,25303,"New York State Catholic Health Plan, Inc.",NY,"$7,460,063.12","($72,347,372.76)",$-
447,26420,"Oxford Health Plans (NY), Inc.",NY,"$19,094,756.11","$79,007,342.63","($9,938,585.16)"
448,36346,BlueShield of Northeastern New York,NY,"$778,269.59","$2,140,828.25","($5,132,269.24)"
449,39595,WellCare of New York,NY,$0.00,"($2,270,393.89)",$-
450,40064,HealthNow New York,NY,$0.00,"($1,918.83)","$36,631.06"
451,43477,Crystal Run Health Plan LLC,NY,N/E,$-,"($2,731,788.31)"
452,44113,"Empire HealthChoice Assurance, Inc.",NY,N/E,$-,"($2,065,584.77)"
453,49526,BlueCross BlueShield of Western New York,NY,"$2,313,906.72","$8,451,718.41","$15,271,458.56"
454,54235,"UnitedHealthcare of New York, Inc",NY,"$3,719,122.63","$5,932,308.11",$-
455,54297,UnitedHealthcare Insurance Company of New York,NY,$0.00,$-,"$154,548.48"
456,56184,MVP Health Care Inc.,NY,"$6,428,619.97","$8,841,541.49","($2,074,437.38)"
457,57165,"Affinity Health Plan, Inc.",NY,"$1,183,456.71","($9,261,635.02)",$-
458,70552,Independent Health Association,NY,N/E,$-,"($665,338.12)"
459,73886,Crystal Run Health Insurance Company Inc.,NY,"$86,803.52","$256,671.44","($3,327,386.24)"
460,74289,Oscar Insurance Corporation,NY,"$19,687,058.53","($44,218,095.76)",$-
461,78124,"Excellus Health Plan, Inc.",NY,"$6,810,910.87","$27,204,905.43","($28,032,786.96)"
462,80519,"Empire HealthChoice HMO, Inc.",NY,"$25,247,614.68","$36,682,245.97","$659,191.77"
463,82483,North Shore-LIJ Insurance Company Inc,NY,"$6,258,273.72","($19,781,114.37)","($111,975,778.70)"
464,83744,"HealthFirst Health Plan, Inc.",NY,N/E,$-,"($86,123.38)"
465,85629,"Oxford Health Insurance, Inc.",NY,N/E,$-,"$254,933,460.93"
466,88000,Group Health Incorporated,NY,"$341,226.29","$1,232,207.56","($5,912.85)"
467,88582,Health Insurance Plan of Greater New York,NY,"$4,243,862.71","$8,036,080.89","($35,246,057.62)"
468,89846,MVP Health Care Inc.,NY,N/E,$-,"($6,686,816.31)"
469,91237,Healthfirst PHSP Inc.,NY,"$2,161,266.62","($15,553,342.32)",$-
470,92551,"CDPHP, Universal Benefits Inc.",NY,N/E,$-,"$7,187,495.44"
471,94788,"Capital District Physicians' Health Plan, Inc.",NY,"$2,063,700.29","$7,154,086.73","($1,856,645.22)"
472,16204,Coordinated Health Mutual,OH,"$7,441,726.47","($2,492,656.84)","($11,674,650.02)"
473,20126,HealthSpan Integrated Care,OH,"$1,402,007.29","$431,007.37","($4,189,027.32)"
474,23340,Consumers Life Insurance Company,OH,"$10,111.86","($1,964,185.40)",$-
475,26734,Premier Health Plan,OH,"$1,287,548.66","($3,009,733.85)",$-
476,28162,AultCare Insurance Company,OH,"$1,136,982.67","($1,545,137.86)","$79,069.87"
477,29276,Community Insurance Company(Anthem BCBS),OH,"$16,021,049.52","$23,234,667.90","$18,149,090.71"
478,33232,UnitedHealthcare Insurance Company of the River Valley,OH,N/E,$-,"($1,650,809.72)"
479,33931,"UnitedHealthcare of Ohio, Inc.",OH,"$4,045,119.45","$1,045,021.61",$-
480,41047,Buckeye Community Health Plan,OH,"$1,056,417.74","($9,939,903.66)",$-
481,52664,"Summa Insurance Company, Inc.",OH,"$2,018,197.77","$241,239.17","$1,457,619.05"
482,56073,Nippon Life Insurance Company of America,OH,N/E,$-,"$11,898.16"
483,56726,UnitedHealthcare Insurance Company,OH,N/E,$-,"$926,423.44"
484,61724,UnitedHealthcare Life Insurance Company,OH,"$1,737,137.87","$4,086,573.63","($6,324,051.22)"
485,62352,Celtic Insurance Company,OH,$0.00,"($10,129.47)",$-
486,64353,"Molina Healthcare of Ohio, Inc.",OH,"$1,263,877.19","($576,660.23)",$-
487,66083,"Humana Health Plan of Ohio, Inc.",OH,"$1,676,810.60","($415,576.63)","($3,325,716.01)"
488,67129,Aetna Life Insurance Company,OH,"$3,316,193.33","($13,600,470.61)","($468,332.98)"
489,74313,Paramount Insurance Company,OH,"$885,793.20","($2,330,312.51)","$1,133,285.63"
490,77552,CareSource,OH,"$8,031,608.79","($34,109,342.06)",$-
491,78726,All Savers Insurance Company,OH,"$1,319,057.07","$4,214,131.36",$-
492,80627,Medical Mutual of Ohio,OH,"$18,051,088.44","$7,611,488.99","$9,611,713.69"
493,83396,The Health Plan of the Upper Ohio Valley,OH,$0.00,"($181,137.46)","($59,141.79)"
494,84867,Aetna Health Inc. (a PA corp.),OH,N/E,$-,"($3,900,742.74)"
495,92036,HealthSpan Incorporated,OH,"$950,538.26","$1,093,298.18","($971,964.91)"
496,96800,Federated Mutual Insurance Company,OH,N/E,$-,"$863,960.13"
497,97596,Humana Insurance Company,OH,N/E,$-,"($384,160.46)"
498,98810,THP Insurance Company,OH,N/E,$-,"$90,449.77"
499,98894,Coventry Health and Life,OH,$0.00,$-,"$592,553.34"
500,99969,Medical Mutual of Ohio,OH,"$19,747,201.84","$28,217,818.37","$32,533.18"
501,23468,Humana Insurance Company,OK,$0.00,"($20,589.96)","($15,629.24)"
502,27243,Federated Mutual Insurance Company,OK,N/E,$-,"($367,576.39)"
503,45480,"UnitedHealthcare of Oklahoma, Inc.",OK,"$2,459,539.83","$5,010,932.12","($179,056.70)"
504,53524,Coventry Health and Life,OK,N/E,$-,"($53,793.64)"
505,62505,Celtic Insurance Company,OK,$0.00,"($6,490.76)",$-
506,66946,Aetna Life Insurance Company,OK,N/E,$-,"$341,655.17"
507,76275,Aetna Health Inc. (a PA corp.),OK,N/E,$-,"($160,873.47)"
508,82209,Freedom Life Insurance Company of America,OK,$0.00,"($2,498.84)",$-
509,85757,UnitedHealthcare Insurance Company,OK,N/E,$-,"($331,381.33)"
510,87571,Blue Cross Blue Shield of Oklahoma,OK,"$34,729,150.38","($3,948,818.13)","$9,258,058.89"
511,87698,CommunityCare Life & Health Insurance Co,OK,$0.00,"($7,206.53)","($1,556,478.29)"
512,98704,UnitedHealthcare Life Insurance Company,OK,"$515,261.49","($666,540.06)",$-
513,98905,CommunityCare HMO Inc.,OK,"$442,540.07","($358,787.81)","($6,934,924.82)"
514,10091,PacificSource Health Plans,OR,"$2,561,569.74","$9,211,343.15","$2,650,866.63"
515,10940,"Health Net Plan of Oregon, Inc.",OR,"$550,910.97","$2,480,143.20","$2,264,459.82"
516,30969,"Zoom Health Plan, Inc.",OR,"$25,265.62","($1,946,142.20)","($177,059.44)"
517,32536,ATRIO Health Plans,OR,"$565,037.28","($2,249,966.76)","($86,927.73)"
518,33375,Samaritan Health Plans,OR,N/E,$-,"$92,877.74"
519,39424,Moda Health Plan Inc,OR,"$21,536,686.44","$33,462,328.92","($972,379.63)"
520,56707,Providence Health Plan,OR,"$20,220,108.78","($36,194,842.92)","($5,563,412.11)"
521,63474,BridgeSpan Health Company (OR),OR,"$170,709.72","($597,610.71)",$-
522,71287,Kaiser Foundation Health Plan of the Northwest,OR,"$3,740,430.21","$3,959,354.51","$1,489,329.65"
523,77969,Regence BlueCross BlueShield of Oregon,OR,"$4,627,308.73","$1,694,890.09","$4,558,873.15"
524,85804,Lifewise Health Plan of Oregon,OR,"$4,373,110.76","($7,611,069.39)","($756,294.72)"
525,90175,UnitedHealthcare Insurance Company,OR,N/E,$-,"$34,142.28"
526,95417,TRILLIUM COMMUNITY HEALTH PLAN,OR,$0.00,"$163,520.87","($18,616.21)"
527,99389,"Community Care of Oregon, Inc.",OR,"$1,426,141.65","($2,371,948.67)","($3,515,859.40)"
528,16072,Coventry Health and Life,PA,N/E,$-,"($104,427.04)"
529,16322,UPMC Health Options,PA,"$18,516,908.47","($5,211,297.35)","$12,239,314.33"
530,18939,"Aetna HealthAssurance Pennsylvania, Inc.",PA,N/E,$-,"($4,892,978.32)"
531,22444,Geisinger Health Plan,PA,"$5,014,140.76","$2,695,562.98","($2,263,959.52)"
532,23489,UnitedHealthcare Insurance Company,PA,N/E,$-,"($6,368,539.30)"
533,24872,"UnitedHealthcare of Pennsylvania, Inc.",PA,"$3,711,025.59","($14,547,161.39)",$-
534,31609,Independence Blue Cross (QCC Ins Co.),PA,"$23,746,836.95","$74,118,152.98","$32,747,625.97"
535,33709,Highmark Inc.,PA,"$8,120,535.88","($3,929,579.78)","($2,657,961.99)"
536,33871,Keystone Health Plan East,PA,"$23,860,951.77","($53,397,058.27)","($10,258,625.79)"
537,33906,Aetna Life Insurance Company,PA,$0.00,($64.10),"($835,761.71)"
538,36247,Highmark Select Resources Inc.,PA,"$5,266,380.98","$3,930,303.89",$-
539,38949,Keystone Health Plan West,PA,$0.00,"$232,540.31","($18,946.25)"
540,45127,Capital Advantage Assurance Company,PA,"$13,180,606.35","$13,226,705.35","($6,125,098.38)"
541,45404,UnitedHealthcare Life Insurance Company,PA,"$264,047.29","($300,893.24)",$-
542,48788,AmeriHealth Administrators,PA,N/E,$-,"($455,847.71)"
543,53789,Keystone Health Plan Central,PA,"$5,430,422.97","($35,510,815.31)","($946,154.73)"
544,55957,First Priority Life Insurance Company,PA,"$10,257,016.46","($6,653,749.71)","$3,259,788.02"
545,62560,UPMC Health Coverage,PA,N/E,$-,"($1,157,499.00)"
546,64844,Aetna Health Inc. (a PA corp.),PA,"$12,886,104.30","($31,760,032.80)","($5,577,917.84)"
547,70194,Highmark Health Insurance Company,PA,"$19,268,231.33","$49,750,020.05","($437,219.75)"
548,75729,Geisinger Quality Options,PA,"$2,364,122.23","$7,409,434.09","($584,164.12)"
549,79279,Highmark Coverage Advantage Inc.,PA,N/E,$-,"$165,130.65"
550,79962,Highmark Benefits Group Inc.,PA,N/E,$-,"$989,556.68"
551,80148,Federated Mutual Insurance Company,PA,N/E,$-,"($2,016,940.67)"
552,82795,Capital Advantage Insurance Company CAIC,PA,$0.00,"($52,067.55)","($140,667.23)"
553,93838,"HealthAssurance PA, Inc",PA,N/E,$-,"($4,558,706.29)"
554,15287,Blue Cross & Blue Shield of Rhode Island,RI,"$5,862,148.72","$6,027,710.92","$7,448,774.01"
555,26322,Tufts Associated Health Maintenance Organization Inc.,RI,N/E,$-,"$631,334.81"
556,77514,Neighborhood Health Plan of Rhode Island,RI,"$305,755.06","($5,606,340.68)","($745,071.90)"
557,79881,"UnitedHealthcare of New England, Inc.",RI,"$254,775.09","($421,370.22)","($3,847,407.20)"
558,90010,Tufts Associated Health Maintenance Organization Inc.,RI,N/E,$-,"($1,612,343.09)"
559,90117,UnitedHealthcare Insurance Company,RI,N/E,$-,"($1,875,286.65)"
560,14820,Nippon Life Insurance Company of America,SC,N/E,$-,"($85,992.93)"
561,17808,Humana Insurance Company,SC,$0.00,"($7,953.72)",$-
562,22369,Aetna Life Insurance Company,SC,N/E,$-,"$60,604.68"
563,26065,Blue Cross and Blue Shield of South Carolina,SC,"$23,566,473.38","($13,226,650.55)","$5,890,942.63"
564,33609,Federated Mutual Insurance Company,SC,N/E,$-,"($547,629.18)"
565,38408,Aetna Health Inc. (a PA corp.),SC,"$3,570,997.22","$6,317,313.74","$198,929.47"
566,39481,UnitedHealthcare Life Insurance Company,SC,"$1,189,967.63","$1,009,347.25",$-
567,41614,"Coventry Health Care of the Carolinas, Inc.",SC,$0.00,"$34,289.95","($1,171,114.15)"
568,49532,"BlueChoice HealthPlan of South Carolina, Inc.",SC,"$23,997,367.97","$4,289,951.73","($5,221,980.60)"
569,54362,Cigna Health and Life Insurance Company,SC,"$309,175.63","$1,025,644.49",$-
570,56262,Coventry Health and Life,SC,N/E,$-,"($80,436.49)"
571,57860,UnitedHealthcare Insurance Company,SC,"$306,752.92","$565,945.16","$181,519.45"
572,60067,Celtic Insurance Company,SC,$0.00,"($7,367.49)",$-
573,64146,UnitedHealthcare Insurance Company of the River Valley,SC,N/E,$-,"$775,157.13"
574,80431,Freedom Life Insurance Company of America,SC,$0.00,($520.68),$-
575,31195,Sanford Health Plan,SD,"$2,965,610.59","($4,227,905.42)","$820,064.68"
576,50305,"Wellmark of South Dakota, Inc",SD,"$3,917,071.73","$8,404,038.14","($351,961.40)"
577,60536,"Avera Health Plans, Inc.",SD,"$5,852,231.13","($4,206,700.98)","$791,931.37"
578,62210,"South Dakota State Medical Holding Company, Inc.",SD,"$258,116.34","$30,568.28","($1,768,952.72)"
579,64255,Federated Mutual Insurance Company,SD,N/E,$-,"$518,907.85"
580,96594,Medica Insurance Company,SD,N/E,$-,"($9,989.81)"
581,10958,UnitedHealthcare Insurance Company of the River Valley,TN,N/E,$-,"($5,545,932.81)"
582,14002,BlueCross BlueShield of Tennessee,TN,"$67,460,123.57","$40,053,163.35","$6,915,643.83"
583,16348,TRH Health Insurance Company,TN,"$591,067.72","($4,607,851.23)",$-
584,17032,Nippon Life Insurance Company of America,TN,N/E,$-,"($28,425.82)"
585,31552,Aetna Life Insurance Company,TN,"$21,837.26","($130,203.17)","($113,561.26)"
586,48069,UnitedHealthcare Life Insurance Company,TN,"$50,470.53","($301,887.10)",$-
587,69443,UnitedHealthcare Insurance Company,TN,"$6,404,602.34","($11,876,109.92)","$14,454.67"
