,Unnamed: 0,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)
335,335,72375,"Optimum Choice, Inc.",MD,N/A,N/A,-64708.03
336,336,72564,"Evergreen Health Cooperative, Inc.",MD,725535.87,-3443885.20,-20766948.84
337,337,90296,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",MD,4158596.03,-17702319.36,2987261.26
338,338,94084,GHMSI,MD,14145988.49,14549412.84,16049564.60
339,339,11593,HPHC Insurance Company Inc.,ME,405268.31,208585.27,2498771.66
340,340,33653,Maine Community Health Options,ME,40993507.36,2738773.24,-3768993.96
341,341,48396,Anthem Health Plans of ME(Anthem BCBS),ME,6669157.74,-3917017.08,688516.26
342,342,53357,Aetna Life Insurance Company,ME,N/A,N/A,1790597.54
343,343,73250,Aetna Health Inc. (a ME corp.),ME,80904.44,-207447.42,-169162.21
344,344,90214,United Healthcare Insurance Company,ME,N/A,N/A,-12202.47
345,345,96667,Harvard Pilgrim Health Care Inc.,ME,727788.64,1177105.98,-1027526.86
346,346,13667,Health Plus of Michigan,MI,912949.68,-4076070.63,83736.21
347,347,15560,Blue Cross Blue Shield of Michigan Mutual Insurance Company,MI,79260623.26,84043000.54,11876518.15
348,348,20393,McLaren Health Plan,MI,1279137.74,3123625.29,-1125261.52
349,349,20662,PHP Insurance Company,MI,N/A,N/A,-40531.33
350,350,23592,Paramount Care of Michigan,MI,N/A,N/A,-93353.98
351,351,29241,Priority Health Insurance Company (PHIC),MI,4301459.15,37908.56,124208.68
352,352,29698,Priority Health,MI,14180130.92,-27447894.51,-2734798.34
353,353,34620,"Harbor Health Plan, Inc.",MI,0.00,428.30,N/A
354,354,37651,Health Alliance Plan (HAP),MI,3483965.55,3869249.10,-1604360.74
355,355,40047,"Molina Healthcare of Michigan, Inc.",MI,108388.03,-489545.74,N/A
356,356,41895,Consumers Mutual Insurance of Michigan,MI,2287097.39,-7071364.84,-1699990.62
357,357,45002,United Healthcare Life Insurance Company,MI,1368996.71,358625.01,-62155.35
358,358,46275,"Humana Medical Plan of Michigan, Inc.",MI,5234618.21,-10842830.41,N/A
359,359,52670,All Savers Insurance Company,MI,N/A,N/A,-116036.56
360,360,58594,"Meridian Health Plan of Michigan, Inc.",MI,0.00,45009.16,N/A
361,361,58996,US Health and Life Insurance Company,MI,N/A,N/A,4588.65
362,362,59140,Nippon Life Insurance Company of America,MI,N/A,N/A,-45156.26
363,363,59830,Health Plus Insurance Company,MI,9023847.45,-4117248.29,469960.22
364,364,60829,Physicians Health Plan,MI,188387.16,-347998.34,-665160.05
365,365,62294,Humana Insurance Company,MI,1227009.54,-356523.02,-541342.84
366,366,63631,United Healthcare Insurance Company,MI,N/A,N/A,-1154312.92
367,367,67183,"Total Health Care USA, Inc.",MI,1533385.53,1882988.25,192637.06
368,368,67577,Alliance Health and Life Insurance Company,MI,2908060.32,4463306.20,-282556.40
369,369,71667,"United Healthcare Community Plan, Inc.",MI,749704.59,-3038785.10,N/A
370,370,79970,John Alden Life Insurance Company,MI,N/A,N/A,-25243.15
371,371,81068,Aetna Life Insurance Company,MI,613289.43,-1395523.24,N/A
372,372,82649,Federated Mutual Insurance Company,MI,N/A,N/A,-4753200.26
373,373,89029,Time Insurance Company,MI,2391735.93,1364106.91,-129271.65
374,374,90602,National Health Insurance Company,MI,0.00,N/A,4739.35
375,375,95233,Paramount Insurance Company,MI,N/A,N/A,137653.70
376,376,98185,Blue Care Network of Michigan,MI,46806689.64,-40004463.16,2178690.19
377,377,27439,Time Insurance Company,MN,3317915.54,1018837.12,-74883.14
378,378,31616,Medica Insurance Company,MN,4412954.11,-5042829.16,9261067.53
379,379,34102,"Group Health Plan, Inc.",MN,4670695.94,-4257609.45,N/A
380,380,49316,"BCBSM, INC.",MN,125694014.54,29086945.86,15764245.94
381,381,52346,Sanford Health Plan of Minnesota,MN,N/A,N/A,-144150.88
382,382,56971,John Alden Life Insurance Company,MN,3607.23,-93357.87,-43185.94
383,383,57129,HMO Minnesota,MN,3271151.32,865806.78,-307685.44
384,384,60769,Federated Mutual Insurance Company,MN,N/A,N/A,-4702535.67
385,385,65847,Medica Health Plans of Wisconsin,MN,6049811.83,7678426.35,N/A
386,386,70373,"Gundersen Health Plan Minnesota, Inc.",MN,113491.61,-17274.78,-76964.50
387,387,79888,"HealthPartners, Inc.",MN,N/A,31708.01,-13774545.17
388,388,85654,HealthPartners Insurance Company,MN,9283259.98,-29118111.14,-3345685.38
389,389,85736,UCare Minnesota,MN,1958644.09,-5906132.97,N/A
390,390,88102,Preferred One Insurance Company,MN,4220736.49,5753591.46,-3077770.23
391,391,97624,Preferred One Community Health Plan,MN,N/A,N/A,522092.71
392,392,12363,Standard Security Life,MO,N/A,N/A,-4617.80
393,393,14026,Time Insurance Company,MO,3136725.68,3559221.84,-166224.74
394,394,14162,United Healthcare Life Insurance Company,MO,3674807.14,1543008.50,N/A
395,395,16049,All Savers Insurance Company,MO,10198103.34,-10361029.92,N/A
396,396,27401,Trustmark Life Insurance Company,MO,0.00,-53584.07,N/A
397,397,30613,Humana Insurance Company,MO,4907965.39,-188325.95,-3938829.87
398,398,32753,Healthy Alliance Life Co(Anthem BCBS),MO,19464185.02,7298221.08,5340341.52
399,399,32898,Aetna Health Inc. (a PA corp.),MO,N/A,N/A,-7377.38
400,400,34762,Blue Cross and Blue Shield of Kansas City,MO,22853856.76,20705929.36,-325653.60
401,401,44240,Coventry Health and Life,MO,30995795.09,-20980901.39,-233857.65
402,402,44527,Coventry Health & Life Insurance Co.,MO,28839394.63,-1547250.27,-5494.46
403,403,48161,Aetna Life Insurance Company,MO,N/A,N/A,258345.46
404,404,49221,John Alden Life Insurance Company,MO,N/A,N/A,30517.37
405,405,64701,Federated Mutual Insurance Company,MO,N/A,N/A,-2366698.58
406,406,74483,Cigna Health and Life Insurance Company,MO,2681569.47,1879512.84,N/A
407,407,77660,"Coventry Health Care of Missouri, Inc.",MO,37673.95,34117.16,N/A
408,408,92766,"HMO Missouri, Inc.(Anthem BCBS)",MO,N/A,N/A,-153568.66
409,409,95426,United Healthcare Insurance Company,MO,N/A,N/A,2802884.90
410,410,96384,Cox Health Systems Insurance Company,MO,1953915.81,-1884389.93,-1229766.58
411,411,99723,Celtic Insurance Company,MO,0.00,-4529.50,N/A
412,412,11721,Blue Cross & Blue Shield of Mississippi,MS,8359536.28,2213375.40,27685.38
413,413,26781,All Savers Insurance Company,MS,N/A,N/A,-27052.78
414,414,38420,Federated Mutual Insurance Company,MS,N/A,N/A,-75474.34
415,415,45521,Time Insurance Company,MS,1556831.44,-67176.42,-113965.64
416,416,48963,Humana Insurance Company,MS,18775352.59,13191678.23,-52010.25
417,417,49900,John Alden Life Insurance Company,MS,N/A,N/A,-57304.43
418,418,61794,United Healthcare Life Insurance Company,MS,177997.67,-448183.32,-40377.81
419,419,83808,Coventry Health and Life,MS,62579.37,-199659.48,-154417.17
420,420,94237,Magnolia Health Plan,MS,4584271.37,-4508929.62,N/A
421,421,96734,Freedom Life Insurance,MS,0.00,-289.05,N/A
422,422,97560,"United Healthcare of Mississippi, Inc.",MS,8888515.12,-10180815.77,451573.88
423,423,98805,United Healthcare Insurance Company,MS,N/A,N/A,41343.20
424,424,23603,Pacific Source Health Plans,MT,7010027.68,-805324.98,-1744039.87
425,425,24867,Time Insurance Company,MT,2892619.11,1231200.88,-309927.67
426,426,30751,Blue Cross and Blue Shield of Montana,MT,29261207.93,-4708322.25,-89903.73
427,427,32225,Montana Health Cooperative,MT,14898839.79,4282446.27,1822462.95
428,428,45632,WMI Mutual Insurance Company,MT,N/A,N/A,58225.04
429,429,46621,United Healthcare Insurance Company,MT,N/A,N/A,9085.52
430,430,49669,Madison National Life,MT,N/A,N/A,-10799.68
431,431,64206,John Alden Life Insurance Company,MT,N/A,N/A,264897.43
432,432,11512,Blue Cross and Blue Shield of NC,NC,222501830.14,67566338.19,15759733.78
433,433,24588,Federated Mutual Insurance Company,NC,N/A,N/A,236116.42
434,434,32237,Humana Insurance Company,NC,292878.17,-520970.75,N/A
435,435,40411,Cigna Health and Life Insurance Company,NC,293202.80,596150.26,N/A
436,436,42754,United Healthcare Life Insurance Company,NC,1229793.65,-684964.86,N/A
437,437,43283,First Carolina Care Insurance Company,NC,0.00,N/A,-137223.74
438,438,44007,Celtic Insurance Company,NC,0.00,8222.85,N/A
439,439,54332,"United Healthcare of North Carolina, Inc.",NC,26499387.62,-15787937.71,-1665560.71
440,440,56346,"Coventry Health Care of the Carolinas, Inc.",NC,38727295.86,-47680707.29,-9400776.79
441,441,58658,United Healthcare Ins Co of River Valley,NC,N/A,N/A,-1453280.86
442,442,59977,John Alden Life Insurance Company,NC,0.00,-138633.22,-11962.08
443,443,61644,Aetna Life Insurance Company,NC,651649.37,-715751.32,-157069.07
444,444,61671,Aetna Health Inc. (a PA corp.),NC,N/A,N/A,-322190.74
445,445,69347,United Healthcare Insurance Company,NC,N/A,N/A,-2306736.60
446,446,72487,All Savers Insurance Company,NC,N/A,N/A,-102300.28
447,447,76871,Standard Security Life,NC,N/A,N/A,-13138.66
448,448,87696,Time Insurance Company,NC,2412911.43,-2641746.14,-271229.67
449,449,94459,Coventry Health & Life Insurance Company,NC,N/A,N/A,-154381.20
450,450,37160,Blue Cross Blue Shield of North Dakota,ND,12577778.91,1716903.71,22846.40
451,451,39364,Medica Insurance Company,ND,N/A,N/A,-79596.59
452,452,55105,Time Insurance Company,ND,1948237.49,-162737.22,155951.59
453,453,73751,Medica Health Plans,ND,1917695.77,-825246.58,389024.19
454,454,89364,Sanford Health Plan,ND,935206.97,-728919.89,-429914.25
455,455,99806,John Alden Life Insurance Company,ND,N/A,N/A,-58311.32
456,456,10324,Freedom Life Insurance,NE,0.00,4484.41,N/A
457,457,15438,Coventry Health Care of Nebraska Inc.,NE,19987007.51,-13630630.99,-516160.25
458,458,19524,Time Insurance Company,NE,4732169.67,6667658.89,883774.73
459,459,29678,Blue Cross and Blue Shield of Nebraska,NE,32356284.73,13541049.63,3977257.76
460,460,43198,CoOportunity Health,NE,2008541.46,-10205123.79,-7075784.88
461,461,47340,Federated Mutual Insurance Company,NE,N/A,N/A,-1283549.38
462,462,68389,United Healthcare Life Insurance Company,NE,2873828.48,3559594.19,N/A
463,463,73102,United Healthcare Insurance Company,NE,N/A,N/A,4054594.92
464,464,77931,Health Alliance Midwest Inc.,NE,35910.26,14477.63,-8134.69
465,465,79636,Coventry Health and Life Insurance Co.,NE,0.00,48490.02,-4014.32
466,466,80698,John Alden Life Insurance Company,NE,N/A,N/A,-21958.59
467,467,89156,Standard Security Life,NE,N/A,N/A,-6025.22
468,468,19304,Maine Community Health Options,NH,3310644.95,5306302.38,-3569171.62
469,469,42260,Time Insurance Company,NH,4989768.91,6151610.42,N/A
470,470,51889,United Healthcare Insurance Company,NH,N/A,N/A,-233115.68
471,471,57601,Anthem Health Plans of NH(Anthem BCBS),NH,N/A,N/A,1336166.23
472,472,59025,Harvard Pilgrim Health Care of NE,NH,2618360.08,-1229943.19,-843133.48
473,473,61163,"Minuteman Health, Inc.",NH,2114169.44,-10494673.57,-46195.18
474,474,71616,"HPHC Insurance Company, Inc.",NH,N/A,N/A,1875267.30
475,475,75841,Celtic Insurance Company,NH,112645.32,110166.00,N/A
476,476,96751,Matthew Thornton Hlth Plan(Anthem BCBS),NH,8346793.28,156537.94,1480182.40
477,477,10191,"Freelancers CO-OP of New Jersey, Inc.",NJ,25505469.21,-38582686.31,-7735504.78
478,478,13953,Horizon HMO,NJ,0.00,-945.51,3193510.84
479,479,23458,Cigna Health and Life Insurance Company,NJ,N/A,N/A,177415.53
480,480,41014,"Cigna HealthCare of New Jersey, Inc.",NJ,645267.63,817727.44,48511.09
481,481,48834,"Oxford Health Plans (NJ), Inc.",NJ,12194137.14,18952235.00,-185240.53
482,482,50221,Oscar Insurance Corporation of New Jersey,NJ,944744.18,-1957295.70,N/A
483,483,77263,"Oxford Health Insurance, Inc.",NJ,16252850.81,44955766.00,5736032.94
484,484,77606,"AmeriHealth HMO, Inc.",NJ,8825764.46,-4859744.69,-14888625.20
485,485,82884,Aetna Health Inc. (a NJ corp.),NJ,N/A,N/A,-18109387.03
486,486,89217,Aetna Life Insurance Company,NJ,3125047.07,5290240.82,2477419.03
487,487,91661,"Horizon Healthcare Services, Inc.",NJ,85519013.50,-62882998.27,36636642.31
488,488,91762,AmeriHealth Ins Company of New Jersey,NJ,49638560.75,38267701.25,-7350774.16
489,489,19722,"Molina Health Care of New Mexico, Inc.",NM,300711.27,-265619.48,N/A
490,490,52744,Presbyterian Insurance Company,NM,N/A,N/A,-818490.89
491,491,57173,Presbyterian Health Plan,NM,5372621.30,-2390195.41,620026.82
492,492,72034,CHRISTUS Health Plan,NM,22683.29,-455783.17,N/A
493,493,75605,Blue Cross Blue Shield of New Mexico,NM,25468167.06,14139955.41,4123735.82
494,494,90762,United Healthcare Insurance Company,NM,N/A,N/A,309179.06
495,495,93091,New Mexico Health Connections,NM,5520628.10,-11035028.09,-3534467.65
496,496,97132,"Lovelace Health System, Inc.",NM,0.00,N/A,-699983.20
497,497,97646,Time Insurance Company,NM,0.00,6670.67,N/A
498,498,16698,Prominence Health First,NV,2491011.87,3206374.59,-1767200.16
499,499,17255,Golden Rule Insurance Company,NV,617120.17,-1803076.90,N/A
500,500,19298,Aetna Health Inc. (a PA corp.),NV,44569.50,-1143730.03,261732.04
501,501,20895,Humana Insurance Company,NV,2036876.71,1431529.89,-1141023.21
502,502,27990,Aetna Life Insurance Company,NV,1532190.08,-7118682.16,672487.49
503,503,29211,Time Insurance Company,NV,13115026.06,9178690.86,-712661.85
504,504,33670,Rocky Mountain Hos&Med Svc(Anthem BCBS),NV,2720481.66,-4821040.08,3892116.41
505,505,34996,Nevada Health CO-OP,NV,8842009.69,5244157.68,-711597.39
506,506,41094,"Hometown Health Plan, Inc.",NV,0.00,-64141.23,-535962.57
507,507,42313,WMI Mutual Insurance Company,NV,N/A,N/A,-37460.95
508,508,49021,Coventry Health & Life Insurance Company,NV,0.00,N/A,-282676.61
509,509,60156,HMO Colorado Inc. dba HMO NV(Anthem BCBS),NV,5081257.08,-8860894.35,-27406.00
510,510,65693,Freedom Life Insurance Company of America,NV,0.00,1509.65,N/A
511,511,65779,Altius Health Plans Inc.,NV,0.00,N/A,35537.64
512,512,68307,Celtic Insurance Company,NV,0.00,-10494.15,N/A
513,513,68524,"Prominence Preferred Health Insurance Company, Inc.",NV,N/A,N/A,1300037.30
514,514,74222,United Healthcare Insurance Company,NV,N/A,N/A,1288122.46
515,515,83198,"Sierra Health and Life Ins Company, Inc.",NV,10114155.34,4132272.63,72611.26
516,516,85266,Hometown Health Providers Ins. Co. Inc.,NV,221193.23,397248.75,-1757923.69
517,517,87446,John Alden Life Insurance Company,NV,N/A,N/A,-333228.58
518,518,93696,Humana Health Plan Inc.,NV,0.00,N/A,-48965.47
519,519,95865,"Health Plan of Nevada, Inc.",NV,8218094.63,230274.90,-166538.16
520,520,11177,MetroPlus Health Plan,NY,5188576.57,-30578616.79,-1666323.89
521,521,17210,Aetna Life Insurance Company,NY,4503869.05,9153245.87,-92687139.68
522,522,18029,Independent Health Benefits Corporation,NY,2253462.81,7655906.80,7032740.32
523,523,25303,"New York State Catholic Health Plan, Inc.",NY,14766898.32,-56655138.64,N/A
524,524,26420,"Oxford Health Plans (NY), Inc.",NY,37034220.59,75516356.91,-34043889.75
525,525,36346,BlueShield of Northeastern New York,NY,347518.31,420500.61,791105.07
526,526,39595,WellCare of New York,NY,64751.48,-846218.15,N/A
527,527,40064,HealthNow New York,NY,0.00,3626.81,-68200.88
528,528,43477,Crystal Run Health Insurance Company Inc.,NY,N/A,N/A,-578572.33
529,529,44113,"Empire HealthChoice Assurance, Inc.",NY,N/A,N/A,-1060038.06
530,530,49526,BlueCross BlueShield of Western New York,NY,3375604.51,8271129.24,2132100.46
531,531,50138,Aetna Health Inc. (a NY corp.),NY,N/A,N/A,-2194924.08
532,532,54235,"United Healthcare of New York, Inc.",NY,7504537.15,10564737.15,N/A
533,533,54297,United Healthcare Ins Co of New York,NY,71590.71,-7577.79,-207851.87
534,534,56184,"MVP Health Plan, Inc.",NY,14462201.01,25548029.99,-2504923.46
535,535,57165,"Affinity Health Plan, Inc.",NY,2553474.11,-24567668.78,N/A
536,536,70552,"Independent Health Association, Inc.",NY,0.00,N/A,-574088.49
537,537,71644,Freelancers Health Service Corporation d/b/a Health Republic I f N Y k,NY,51736709.66,-37496765.22,-153842015.39
538,538,73886,Crystal Run Health Plan LLC,NY,7324.16,-41505.88,-60517.29
539,539,74289,Oscar Insurance Corporation,NY,19778819.31,-30977083.32,N/A
540,540,78124,"Excellus Health Plan, Inc.",NY,20299131.47,44746473.20,-2719871.69
541,541,80519,"Empire HealthChoice HMO, Inc.",NY,40505389.20,31931835.18,1170127.82
542,542,82483,North Shore-LIJ Insurance Company Inc.,NY,8733137.65,2282312.43,-13302063.81
543,543,83744,"Managed Health, Inc.",NY,N/A,N/A,-67696.17
544,544,85629,"Oxford Health Insurance, Inc.",NY,N/A,N/A,315374419.88
545,545,88000,Group Health Incorporated,NY,52138.69,-72128.30,-547.64
546,546,88582,Health Insurance Plan of Greater New York,NY,11919279.42,5515480.63,-36417583.95
547,547,89846,MVP Health Services Corp.,NY,N/A,N/A,2025401.59
548,548,91237,"Healthfirst PHSP, Inc.",NY,6628929.28,-48556174.15,N/A
549,549,92551,CDPHP Universal Benefits Inc.,NY,N/A,N/A,10072804.56
550,550,94788,CDPHP,NY,3848326.90,8189242.42,3397548.58
551,551,12512,Medical Benefits Mutual Life Insurance,OH,N/A,N/A,-523658.60
552,552,14650,Time Insurance Company,OH,2837710.12,2988966.30,472321.42
553,553,16204,"Coordinated Health Mutual, Inc.",OH,15340572.04,-3985495.69,-3214448.51
554,554,20126,HealthSpan Integrated Care,OH,3298038.83,-4273438.02,-6425628.16
555,555,26734,"Premier Health Plan, Inc.",OH,503783.01,-2005787.99,N/A
556,556,28162,AultCare Insurance Company,OH,2480670.37,-246739.17,-514739.16
557,557,29276,Community Insurance Company(Anthem BCBS),OH,18997897.59,19027175.55,14407578.76
558,558,33232,United Healthcare Ins Co of River Valley,OH,N/A,N/A,-1790106.79
559,559,33931,"United Healthcare of Ohio, Inc.",OH,2219667.86,2912248.94,N/A
560,560,41047,Buckeye Community Health Plan,OH,649585.83,-6141372.01,N/A
561,561,50498,John Alden Life Insurance Company,OH,N/A,N/A,109425.34
562,562,52664,"Summa Insurance Company, Inc.",OH,2386505.25,35681.99,2820322.62
563,563,56073,Nippon Life Insurance Company of America,OH,N/A,N/A,-356412.77
564,564,56726,United Healthcare Insurance Company,OH,N/A,N/A,1775202.40
565,565,61724,United Healthcare Life Insurance Company,OH,2325801.78,2965356.57,-4212359.07
566,566,62352,Celtic Insurance Company,OH,0.00,-11014.35,N/A
567,567,64353,Molina Healthcare of Ohio,OH,878639.89,1592334.51,N/A
568,568,66083,"Humana Health Plan of Ohio, Inc.",OH,5152813.04,-1928407.65,-2483141.65
569,569,67129,Aetna Life Insurance Company,OH,6600034.03,-16376734.46,-481369.85
570,570,74313,Paramount Insurance Company,OH,1271902.17,-580499.95,-264272.01
571,571,76169,Standard Security Life,OH,N/A,N/A,-34299.53
572,572,77552,Care Source,OH,9239804.41,-16752738.98,N/A
573,573,80627,Medical Mutual of Ohio,OH,28191766.43,6545046.13,4026922.80
574,574,83396,The Health Plan of the Upper Ohio Valley,OH,7871.97,-74715.60,-306668.86
575,575,84867,Aetna Health Inc. (a PA corp.),OH,N/A,N/A,-2831979.85
576,576,92036,Health Span,OH,4158176.90,-6743522.63,-471429.58
577,577,96800,Federated Mutual Insurance Company,OH,N/A,N/A,-999288.99
578,578,97596,Humana Insurance Company,OH,2366363.09,1602746.25,-114966.92
579,579,98810,THP Insurance Company,OH,N/A,N/A,218531.10
580,580,98894,Coventry Health and Life,OH,30109.39,60728.80,1096038.61
581,581,99969,Medical Health Insuring Corp. of Ohio,OH,39134653.11,21390181.45,98427.31
582,582,23468,Humana Insurance Company,OK,66139.02,74763.49,-69246.02
583,583,27243,Federated Mutual Insurance Company,OK,N/A,N/A,-492326.98
584,584,29176,Time Insurance Company,OK,2436838.26,2221935.85,-149749.38
585,585,45480,"United Healthcare of Oklahoma, Inc.",OK,N/A,N/A,244157.12
586,586,53524,Coventry Health and Life,OK,22500.68,-200398.31,-816839.40
587,587,62505,Celtic Insurance Company,OK,0.00,-5294.26,N/A
588,588,66946,Aetna Life Insurance Company,OK,0.00,-37821.69,65348.50
589,589,67088,John Alden Life Insurance Company,OK,N/A,N/A,-178744.41
590,590,76275,Aetna Health Inc. (a PA corp.),OK,N/A,N/A,-184766.55
591,591,76668,"Coventry Health Care of Kansas, Inc.",OK,0.00,-49715.88,4087.06
592,592,82209,Freedom Life Insurance,OK,55202.84,19738.01,N/A
593,593,85408,"Global Health, Inc.",OK,611301.08,N/A,N/A
594,594,85757,United Healthcare Insurance Company,OK,N/A,N/A,-144362.05
595,595,87571,Blue Cross Blue Shield of Oklahoma,OK,84195768.22,-4417436.82,4443491.14
596,596,87698,Community Care Life & Health Insurance Co,OK,0.00,1200.32,-1132219.85
597,597,98704,United Healthcare Life Insurance Company,OK,1662154.12,637091.31,N/A
598,598,98905,Community Care HMO Inc.,OK,918969.01,1755937.92,-1588829.22
599,599,10091,Pacific Source Health Plans,OR,8478959.06,6385295.65,-263011.36
600,600,10940,"Health Net Health Plan of Oregon, Inc.",OR,1854765.85,3408186.75,45710.69
601,601,32536,ATRIO Health Plans,OR,59160.57,-163736.68,-28002.50
602,602,33375,"Samaritan Health Plans, Inc.",OR,N/A,N/A,198705.22
603,603,39424,"Moda Health Plan, Inc.",OR,62735360.83,-10916304.04,-1070895.13
604,604,56707,Providence Health Plan,OR,9856172.82,-4161991.69,3092137.34
605,605,59129,Trustmark Life Insurance Company,OR,0.00,-17648.46,N/A
606,606,63474,Bridge Span Health Company,OR,37936.88,-143117.09,N/A
607,607,71287,Kaiser Foundation Healthplan of the NW,OR,6778142.64,13259754.64,2707325.99
608,608,74571,Time Insurance Company,OR,2404772.40,2081868.31,N/A
609,609,77969,Regence BlueCross BlueShield of Oregon,OR,5231310.15,5024567.08,5570483.58
610,610,85804,Life Wise Health Plan of Oregon,OR,17006993.54,-19940058.64,-1675210.84
611,611,90175,United Healthcare Insurance Company,OR,N/A,N/A,-533017.71
612,612,95417,Trillium Community Health Plan,OR,0.00,-29917.47,-10819.44
613,613,96383,"Freelancers Consumer Operated and Oriented Program of Oregon, Inc. DBA H l h R bli I C",OR,4597475.77,4811777.33,-6718133.30
614,614,99389,"Community Care of Oregon, Inc.",OR,4779379.71,401324.32,-1315272.66
615,615,10842,Celtic Insurance Company,PA,0.00,-2443.12,N/A
616,616,16072,Coventry Health and Life Insurance Co.,PA,0.00,N/A,-101341.75
617,617,16322,"UPMC Health Options, Inc.",PA,17827408.56,-3105783.44,5913428.11
618,618,16481,"UPMC Health Network, Inc.",PA,0.00,N/A,-1036677.48
619,619,19068,Time Insurance Company,PA,3983204.20,3948940.01,-394254.42
620,620,22444,Geisinger Health Plan,PA,9309343.58,11417706.62,-2139258.77
621,621,23489,United Healthcare Insurance Company,PA,N/A,N/A,-5371431.92
622,622,24872,"United Healthcare of Pennsylvania, Inc.",PA,6773389.05,-39114321.98,N/A
623,623,31609,Independence Blue Cross (QCC Ins. Co.),PA,43116917.60,64851297.02,24985336.80
624,624,33709,Highmark Inc.,PA,106751486.75,-46784130.23,-7096865.07
625,625,33871,"Keystone Health Plan East, Inc.",PA,49277759.63,-12386830.58,-4106693.90
626,626,33906,Aetna Life Insurance Company,PA,4645171.42,-9332073.48,-361486.58
627,627,38949,Keystone Health Plan West,PA,81904.78,63115.80,-7980.98
628,628,45127,Capital Advantage Assurance Company,PA,4544339.52,6863660.42,-3297707.87
629,629,45404,United Healthcare Life Insurance Company,PA,1101471.44,1720000.53,N/A
630,630,48788,Inter-County Hospital Plan,PA,N/A,N/A,-508919.29
631,631,52899,"UPMC Health Plan, Inc.",PA,32872.16,197264.42,-5456.23
632,632,53789,Keystone Health Plan Central,PA,1234236.00,298016.86,5269.47
633,633,55957,"First Priority Life Insurance Company, Inc.",PA,22703971.30,-3237217.38,-305360.64
634,634,58819,John Alden Life Insurance Company,PA,N/A,N/A,-101659.48
635,635,62560,"UPMC Health Coverage, Inc.",PA,0.00,-11718.30,-317612.72
636,636,64844,Aetna Health Inc. (a PA corp.),PA,6956215.73,-25852344.53,-1628024.96
637,637,70194,Highmark Health Insurance Company,PA,37247105.91,51852279.70,777889.23
638,638,75729,Geisinger Quality Options,PA,1545945.08,1142253.34,-1613339.93
639,639,79279,Highmark Coverage Advantage Inc.,PA,0.00,N/A,220267.91
640,640,79962,Highmark Benefits Group Inc.,PA,0.00,N/A,-984206.65
641,641,80148,Federated Mutual Insurance Company,PA,N/A,N/A,-2549615.51
642,642,82795,Capital Advantage Insurance Company CAIC,PA,0.00,N/A,84421.79
643,643,91303,"Health America Pennsylvania, Inc.",PA,2390670.97,-2527671.54,N/A
644,644,93838,"Health Assurance PA, Inc.",PA,N/A,N/A,-58719.48
645,645,15287,Blue Cross & Blue Shield of Rhode Island,RI,11364161.49,9680258.57,5753305.59
646,646,26322,Tufts Insurance Company,RI,N/A,N/A,965515.97
647,647,77514,Neighborhood Health Plan of Rhode Island,RI,1434546.04,-8608201.54,-343863.12
648,648,79881,"United Healthcare of New England, Inc.",RI,204999.60,-1072057.02,-4145329.17
649,649,90010,Tufts Associated Health Maintenance Org,RI,0.00,N/A,-974465.99
650,650,90117,United Healthcare Insurance Company,RI,N/A,N/A,-1255163.31
651,651,14820,Nippon Life Insurance Company of America,SC,N/A,N/A,-166996.90
652,652,17808,Humana Insurance Company,SC,0.00,16975.57,N/A
653,653,22369,Aetna Life Insurance Company,SC,N/A,N/A,-183730.56
654,654,26065,Blue Cross and Blue Shield of South Carolina,SC,26785971.07,8615922.98,2446555.38
655,655,33609,Federated Mutual Insurance Company,SC,N/A,N/A,1063092.09
656,656,39481,United Healthcare Life Insurance Company,SC,2086356.42,-414394.03,N/A
657,657,39996,Time Insurance Company,SC,4795112.83,5534568.01,283969.26
658,658,41614,"Coventry Health Care of the Carolinas, Inc.",SC,16565300.38,-3234564.95,577520.93
659,659,49532,"Blue Choice Health Plan of South Carolina, Inc.",SC,18804857.84,3622506.76,-3934492.42
660,660,54362,Cigna Health and Life Insurance Company,SC,262489.91,437792.66,N/A
661,661,56262,Coventry Health & Life Insurance Company,SC,N/A,N/A,-136305.65
662,662,57860,United Healthcare Insurance Company,SC,N/A,N/A,472850.30
663,663,60067,Celtic Insurance Company,SC,0.00,-15341.23,N/A
664,664,64146,United Healthcare Ins Co of River Valley,SC,N/A,N/A,16395.03
665,665,65122,Consumers' Choice Health Insurance Company,SC,36814862.50,-14555844.07,-470419.09
666,666,73714,Standard Security Life,SC,N/A,N/A,-3867.10
667,667,80431,Freedom Life Insurance,SC,7903.72,-7622.19,N/A
668,668,89728,John Alden Life Insurance Company,SC,N/A,N/A,35428.72
669,669,31195,Sanford Health Plan,SD,1911821.64,201919.38,225580.45
670,670,50305,Wellmark of South Dakota,SD,8861708.63,-1043395.44,1566498.82
671,671,60536,"Avera Health Plans, Inc.",SD,7488244.50,3672370.39,-81015.67
672,672,62210,DAKOTACARE,SD,9162251.24,-2809177.34,-1242844.35
