,Company Name_x,State_x,HIOS ID,MM Individual_x,MM Small Group_x,Expected Reinsurance_x,Expected Risk Adjustment Individual_x,Expected Risk Adjustment Small Group_x,Actual Reinsurance_x,Actual Risk Adjustment Individual_x,Actual Risk Adjustment Small Group_x,Nonprofit_x,Expected Reinsurance Per Member Month_x,Actual Reinsurance Per Member Month_x,Expected Risk Adjustment Per Member Month Individual_x,Actual Risk Adjustment Per Member Month Individual_x,Expected Risk Adjustment Per Member Month Small Group_x,Actual Risk Adjustment Per Member Month Small Group_x,Difference in Reinsurance Per Member Month_x,Difference in Risk Adjustment Individual Per Member Month_x,Difference in Risk Adjustment Small Group Per Member Month_x,Total Loss 2014,Company Name_y,State_y,MM Individual_y,MM Small Group_y,Expected Reinsurance_y,Expected Risk Adjustment Individual_y,Expected Risk Adjustment Small Group_y,Actual Reinsurance_y,Actual Risk Adjustment Individual_y,Actual Risk Adjustment Small Group_y,Nonprofit_y,Expected Reinsurance Per Member Month_y,Actual Reinsurance Per Member Month_y,Expected Risk Adjustment Per Member Month Individual_y,Actual Risk Adjustment Per Member Month Individual_y,Expected Risk Adjustment Per Member Month Small Group_y,Actual Risk Adjustment Per Member Month Small Group_y,Difference in Reinsurance Per Member Month_y,Difference in Risk Adjustment Individual Per Member Month_y,Difference in Risk Adjustment Small Group Per Member Month_y
304,Cigna Health and Life Insurance Company,Texas,55409.0,501401.0,78230.0,82305988.0,32778811.0,0.0,82305987.68,32778811.09,,No,164.15,164.15,65.37,65.37,0.0,,0.0,0.0,,,Cigna Health and Life Insurance Company,Texas,365755.0,75880.0,41981511.0,53407230.0,0.0,42003359.11,53407229.68,,No,114.78,114.84,146.02,146.02,0.0,,0.06,0.0,
305,"UnitedHealthcare of Kentucky, Ltd",Kentucky,23671.0,608.0,77434.0,0.0,0.0,312802.36,,,312802.38,No,0.0,,0.0,,4.04,4.04,,,0.0,,"UnitedHealthcare of Kentucky, Ltd",Kentucky,216.0,65556.0,0.0,147450.72,-479230.3,,,-331779.58,No,0.0,,682.64,,-7.31,-5.06,,,2.25
306,"UnitedHealthcare of the Mid-Atlantic, Inc.",Maryland,31112.0,2383.0,75098.0,0.0,0.0,-293067.23,,,-332036.0,No,0.0,,0.0,,-3.9,-4.42,,,-0.52,,"UnitedHealthcare of the Mid-Atlantic, Inc.",Maryland,27649.0,36198.0,504657.46,-1145778.83,-1679131.56,504920.11,-1146080.38,-1678830.01,No,18.25,18.26,-41.44,-41.45,-46.39,-46.38,0.01,-0.01,0.01
307,"CareFirst of Maryland, Inc.",Maryland,45532.0,844338.0,74785.0,21694659.41,9718734.15,3316016.84,21694659.41,9718734.15,3249730.99,Yes,25.69,25.69,11.51,11.51,44.34,43.45,0.0,0.0,-0.89,34663124.55,"CareFirst of Maryland, Inc.",Maryland,670981.0,51225.0,23348941.57,22545287.09,7207643.02,23361093.08,22545287.16,7207643.04,Yes,34.8,34.82,33.6,33.6,140.71,140.71,0.02,0.0,0.0
308,Highmark Inc.,Pennsylvania,33709.0,2556433.0,74636.0,97340297.0,-44238595.0,-4503418.0,97340297.04,-44238595.47,-4503418.41,Yes,38.08,38.08,-17.3,-17.3,-60.34,-60.34,0.0,0.0,0.0,48598283.16,Highmark Inc.,Pennsylvania,2659756.0,286085.0,106751487.0,-46784130.0,-7096865.0,106807043.5,-46784130.23,-7096865.07,Yes,40.14,40.16,-17.59,-17.59,-24.81,-24.81,0.02,0.0,0.0
309,"GMS Reinsurance Company, LTD",Michigan,40206.0,,74242.0,,,,,,,No,,,,,0.0,0.0,,,0.0,0,"GMS Reinsurance Company, LTD",Michigan,,64367.0,,,,,,,No,,,,,0.0,0.0,,,0.0
310,"Coventry Healthcare of Iowa, Inc",Iowa,18973.0,363736.0,73989.0,13395052.4,-9236606.28,-142786.85,13395052.4,-9236606.28,-142786.86,No,36.83,36.83,-25.39,-25.39,-1.93,-1.93,0.0,0.0,0.0,4015659.26,Aetna Health of Iowa Inc.,Iowa,616196.0,44953.0,23491160.98,-10780079.06,185957.75,23503386.5,-10780079.07,459305.01,No,38.12,38.14,-17.49,-17.49,4.14,10.22,0.02,0.0,6.08
311,"Prominence Preferred Health Insurance Company, Inc.",Nevada,68524.0,,73375.0,,,419362.0,,,419362.27,No,,,,,5.72,5.72,,,0.0,,"Prominence Preferred Health Insurance Company, Inc.",Nevada,,37751.0,,,1300037.0,,,1300037.3,No,,,,,34.44,34.44,,,0.0
312,PacificSource Health Plans,Idaho,60597.0,92174.0,72031.0,2266285.0,663249.2,-278976.0,2266284.66,663249.2,-228325.54,Yes,24.59,24.59,7.2,7.2,-3.87,-3.17,0.0,0.0,0.7,2701208.32,PacificSource Health Plans,Idaho,34541.0,21577.0,807059.42,600458.28,-80877.14,807479.44,600458.28,-80877.14,Yes,23.37,23.38,17.38,17.38,-3.75,-3.75,0.01,0.0,0.0
313,Bluegrass Family Health,Kentucky,40586.0,82.0,71709.0,,,-1254224.0,,,-1254224.27,Yes,0.0,,0.0,,-17.49,-17.49,,,0.0,,"Baptist Health Plan, Inc.",Kentucky,51.0,57606.0,,,-1208815.0,,,-1208814.63,Yes,0.0,,0.0,,-20.98,-20.98,,,0.0
314,"Oxford Health Plans (CT), Inc",Connecticut,71179.0,1336.0,71604.0,0.0,0.0,-86030.15,,,-86030.15,No,0.0,,0.0,,-1.2,-1.2,,,0.0,,"Oxford Health Plans (CT), Inc",Connecticut,399.0,31660.0,0.0,0.0,-1834583.56,,,-1834583.56,No,0.0,,0.0,,-57.95,-57.95,,,0.0
315,Humana Insurance Company,Arizona,66105.0,180110.0,70211.0,1328793.1,1164384.91,27209.69,1328793.1,1164384.91,27209.69,No,7.38,7.38,6.46,6.46,0.39,0.39,0.0,0.0,0.0,2520387.7,Humana Insurance Company,Arizona,54591.0,53171.0,1777515.02,487584.04,825281.63,1778440.1,689053.89,900266.16,No,32.56,32.58,8.93,12.62,15.52,16.93,0.02,3.69,1.41
316,FirstCarolinaCare Insurance Company,North Carolina,43283.0,,68965.0,,,,,,407.05,No,,,,,0.0,0.01,,,0.01,,FirstCarolinaCare Insurance Company,North Carolina,,65572.0,,,,0.0,,-137223.74,No,,,,,0.0,-2.09,,,-2.09
317,CommunityCare Life & Health Insurance Company,Oklahoma,87698.0,2310.0,66286.0,,,-437674.0,,,-437673.74,No,0.0,,0.0,,-6.6,-6.6,,,0.0,,CommunityCare Life & Health Insurance Company,Oklahoma,1733.0,55597.0,,1210.0,-1132189.0,0.0,1200.32,-1132219.85,No,0.0,0.0,0.7,0.69,-20.36,-20.36,0.0,-0.01,0.0
318,HealthPartners Insurance Company,Wisconsin,20173.0,82.0,65686.0,,,,,,31748.61,No,0.0,,0.0,,0.0,0.48,,,0.48,,HealthPartners Insurance Company,Wisconsin,62.0,40963.0,,,-228000.0,,,-228049.85,No,0.0,,0.0,,-5.57,-5.57,,,0.0
319,WPS Health Plan Inc,Wisconsin,84670.0,211549.0,65263.0,20641931.0,6159460.0,-72821.0,20641930.66,6159459.81,-72821.47,No,97.58,97.58,29.12,29.12,-1.12,-1.12,0.0,0.0,0.0,26728569,WPS Health Plan Inc,Wisconsin,215901.0,43139.0,12623709.0,1825501.0,-1158565.0,12630278.43,1825501.39,-1158565.4,No,58.47,58.5,8.46,8.46,-26.86,-26.86,0.03,0.0,0.0
320,HealthPlus Insurance Company,Michigan,59830.0,244364.0,64372.0,8257699.0,-3647378.0,-322954.0,8257698.56,-3647377.54,-322954.15,No,33.79,33.79,-14.93,-14.93,-5.02,-5.02,0.0,0.0,0.0,4287366.87,HealthPlus Insurance Company,Michigan,306867.0,26843.0,9023847.0,-4117248.0,427409.0,9028543.74,-4117248.29,469960.22,No,29.41,29.42,-13.42,-13.42,15.92,17.51,0.02,0.0,1.59
321,"SelectHealth, Inc.",Idaho,26002.0,205994.0,64205.0,22446618.57,5450923.74,-1392526.68,22446618.57,5450923.74,-1392526.68,Yes,108.97,108.97,26.46,26.46,-21.69,-21.69,0.0,0.0,0.0,26505015.63,"SelectHealth, Inc.",Idaho,278361.0,116813.0,19449141.79,9855840.04,-1382800.26,19459263.73,9855840.04,-1382800.26,Yes,69.87,69.91,35.41,35.41,-11.84,-11.84,0.04,0.0,0.0
322,MVP Health Insurance Company,Vermont,92802.0,5732.0,64143.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,MVP Health Insurance Company,Vermont,,26607.0,,,,,,,No,,,,,0.0,0.0,,,0.0
323,Alameda Alliance Joint Powers Authority,California,67597.0,,63655.0,,,,,,,Yes,,,,,0.0,0.0,,,0.0,0,Alameda Alliance Joint Powers Authority,California,,65087.0,,,,,,,Yes,,,,,0.0,0.0,,,0.0
324,"Florida Health Care Plan, Inc",Florida,56503.0,43790.0,63494.0,3957217.77,4164818.06,-69476.1,3957217.77,4718787.44,-69476.1,No,90.37,90.37,95.11,107.76,-1.09,-1.09,0.0,12.65,0.0,8606529.11,"Florida Health Care Plan, Inc",Florida,37045.0,59053.0,2184914.09,2314125.36,528571.04,2186051.19,2314125.36,528571.04,No,58.98,59.01,62.47,62.47,8.95,8.95,0.03,0.0,0.0
325,"Innovation Health Plan, Inc.",Virginia,86443.0,264.0,62394.0,0.0,0.0,-2752451.2,,,-2752451.2,No,0.0,,0.0,,-44.11,-44.11,,,0.0,,"Innovation Health Plan, Inc.",Virginia,375.0,128993.0,0.0,0.0,-5954916.7,,,-5954916.7,No,0.0,,0.0,,-46.16,-46.16,,,0.0
326,Memorial Hermann Health Insurance Company,Texas,30609.0,74.0,61445.0,,,,0.0,-11442.15,-3622713.02,No,0.0,0.0,0.0,-154.62,0.0,-58.96,0.0,-154.62,-58.96,-3634155.17,Memorial Hermann Health Insurance Company,Texas,1470.0,69710.0,,142237.3,-4900934.99,47199.48,142237.3,-4900934.99,No,0.0,32.11,96.76,96.76,-70.3,-70.3,32.11,0.0,0.0
327,Aetna Health Inc. (a Maine corporation),Maine,73250.0,504.0,59086.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Aetna Health Inc. (a Maine corporation),Maine,2633.0,6988.0,80904.44,-207447.42,-169162.21,80946.55,-207447.42,-169162.21,No,30.73,30.74,-78.79,-78.79,-24.21,-24.21,0.02,0.0,0.0
328,"Humana Health Plan, Inc.",Illinois,58288.0,14469.0,58894.0,1706900.43,614409.67,-1028302.66,1706900.43,614409.67,-1028302.66,No,117.97,117.97,42.46,42.46,-17.46,-17.46,0.0,0.0,0.0,1293007.44,"Humana Health Plan, Inc.",Illinois,12865.0,44797.0,434600.45,563700.35,-1525019.48,434826.64,730433.28,-1525019.48,No,33.78,33.8,43.82,56.78,-34.04,-34.04,0.02,12.96,0.0
329,Coventry Health & Life Insurance Company,Virginia,93848.0,296.0,58564.0,0.0,0.0,-933262.57,,,-933262.58,No,0.0,,0.0,,-15.94,-15.94,,,0.0,,Coventry Health & Life Insurance Company,Virginia,0.0,47812.0,0.0,0.0,-1496683.75,,,-1496683.75,No,,,,,-31.3,-31.3,,,0.0
330,"UnitedHealthcare of Mississippi, Inc.",Mississippi,97560.0,0.0,58427.0,0.0,0.0,48741.1,,,48741.1,No,,,,,0.83,0.83,,,0.0,,"UnitedHealthcare of Mississippi, Inc.",Mississippi,266447.0,49646.0,8888515.12,-10190001.92,460760.03,8893140.98,-10180815.77,451573.88,No,33.36,33.38,-38.24,-38.21,9.28,9.1,0.02,0.03,-0.19
331,"SHA, LLC",Texas,26539.0,21362.0,57678.0,1960486.0,2143995.88,-367353.0,1960486.45,2143995.88,-367353.0,No,91.77,91.77,100.36,100.36,-6.37,-6.37,0.0,0.0,0.0,3737129.33,"SHA, LLC",Texas,114458.0,58012.0,3004440.11,1137907.19,-926125.0,3006003.71,1137907.19,-926124.88,No,26.25,26.26,9.94,9.94,-15.96,-15.96,0.01,0.0,0.0
332,John Alden Life Insurance Company,Texas,58483.0,13294.0,56294.0,0.0,0.0,-684147.0,,,-684147.34,No,0.0,,0.0,,-12.15,-12.15,,,0.0,,John Alden Life Insurance Company,Texas,8627.0,29137.0,0.0,0.0,-588168.0,,,-588168.1,No,0.0,,0.0,,-20.19,-20.19,,,0.0
333,"ConnectiCare, Inc",Connecticut,75091.0,6108.0,56182.0,8541.0,-115000.0,72000.0,9490.2,-115248.13,72069.21,No,1.4,1.55,-18.83,-18.87,1.28,1.28,0.16,-0.04,0.0,-33688.72,"ConnectiCare, Inc",Connecticut,11204.0,1041.0,26556.12,-1899005.0,-6352.0,26569.95,-1899004.88,-6351.77,No,2.37,2.37,-169.49,-169.49,-6.1,-6.1,0.0,0.0,0.0
334,Time Insurance Company,Michigan,89029.0,130130.0,56167.0,2196259.0,688700.0,-60598.0,2196259.12,688700.17,-60605.89,No,16.88,16.88,5.29,5.29,-1.08,-1.08,0.0,0.0,0.0,2824353.4,Time Insurance Company,Michigan,105644.0,49242.0,2391736.0,1283796.0,-129272.0,2392980.67,1364106.91,-129271.65,No,22.64,22.65,12.15,12.91,-2.63,-2.63,0.01,0.76,0.0
335,"MVP Health Plan, Inc",New York,56184.0,364461.0,54533.0,20053743.0,11958043.0,-2786394.0,20053742.68,11938998.21,-2812217.01,Yes,55.02,55.02,32.81,32.76,-51.1,-51.57,0.0,-0.05,-0.47,29180523.88,"MVP Health Plan, Inc",New York,391924.0,38763.0,14462201.01,22382901.0,-2504923.46,14469727.59,25548029.99,-2504923.46,Yes,36.9,36.92,57.11,65.19,-64.62,-64.62,0.02,8.08,0.0
336,Group Health Incorporated,New York,88000.0,8884.0,52351.0,259152.62,-1025.08,11794.91,259152.62,-1025.08,11794.91,Yes,29.17,29.17,-0.12,-0.12,0.23,0.23,0.0,0.0,0.0,269922.45,Group Health Incorporated,New York,618.0,0.0,52138.69,-72128.3,-547.64,52165.83,-72128.3,-547.64,Yes,84.37,84.41,-116.71,-116.71,,,0.04,0.0,
337,"Avera Health Plans, Inc. ",South Dakota,60536.0,109609.0,52252.0,10895393.0,-1014430.34,-359596.0,10895393.31,-1014430.34,-359596.3,No,99.4,99.4,-9.25,-9.25,-6.88,-6.88,0.0,0.0,0.0,9521366.67,"Avera Health Plans, Inc. ",South Dakota,139552.0,48369.0,7488246.0,3672370.39,-81016.0,7492141.61,3672370.39,-81015.67,No,53.66,53.69,26.32,26.32,-1.67,-1.67,0.03,0.0,0.0
338,Humana Insurance Company,Nevada,20895.0,30780.0,51544.0,2142999.48,1873080.72,-358637.74,2142999.48,1873080.72,-358637.74,No,69.62,69.62,60.85,60.85,-6.96,-6.96,0.0,0.0,0.0,3657442.46,Humana Insurance Company,Nevada,17260.0,31901.0,2036876.71,1431529.89,-1141023.21,2037936.77,1431529.89,-1141023.21,No,118.01,118.07,82.94,82.94,-35.77,-35.77,0.06,0.0,0.0
339,UnitedHealthcare Insurance Company,Nevada,74222.0,602.0,51171.0,0.0,29885.5,-901872.89,,,-872086.46,No,0.0,,49.64,,-17.62,-17.04,,,0.58,,UnitedHealthcare Insurance Company,Nevada,805.0,71381.0,0.0,1255487.74,32634.72,,,1288122.46,No,0.0,,1559.61,,0.46,18.05,,,17.59
340,"Anthem Health Plans of New Hampshire, Inc.",New Hampshire,57601.0,214340.0,50049.0,0.0,0.0,1238434.0,,,1238434.39,No,0.0,,0.0,,24.74,24.74,,,0.0,,"Anthem Health Plans of New Hampshire, Inc.",New Hampshire,127889.0,45855.0,0.0,0.0,1336166.23,,,1336166.23,No,0.0,,0.0,,29.14,29.14,,,0.0
341,"Coventry Health Care of West Virginia, Inc.",West Virginia,33577.0,4211.0,49971.0,28106.85,-107392.54,140229.75,28106.85,-107392.55,140229.75,No,6.67,6.67,-25.5,-25.5,2.81,2.81,0.0,0.0,0.0,60944.05,"Coventry Health Care of West Virginia, Inc.",West Virginia,4.0,21590.0,0.0,-435.24,-69535.77,0.0,-435.24,-69535.77,No,0.0,0.0,-108.81,-108.81,-3.22,-3.22,0.0,0.0,0.0
342,"Blue Cross and Blue Shield of Massachusetts, Inc.",Massachusetts,24675.0,3430.0,49377.0,78977.0,173451.0,1663472.0,78976.66,,,Yes,23.03,23.03,50.57,,33.69,,0.0,,,,"Blue Cross and Blue Shield of Massachusetts, Inc.",Massachusetts,2558.0,37764.0,96844.97,-52354.0,-684525.0,96895.37,,,Yes,37.86,37.88,-20.47,,-18.13,,0.02,,
343,Innovation Health Insurance Company,Virginia,12028.0,250797.0,49013.0,8970576.3,-10851778.45,-656684.17,8970576.3,-10851778.45,-656684.17,No,35.77,35.77,-43.27,-43.27,-13.4,-13.4,0.0,0.0,0.0,-2537886.32,Innovation Health Insurance Company,Virginia,458023.0,120595.0,9715649.28,-9421914.58,2094829.83,9720705.61,-9421914.58,2094829.83,No,21.21,21.22,-20.57,-20.57,17.37,17.37,0.01,0.0,0.0
344,UnitedHealthcare Insurance Company,Alabama,69461.0,784.0,48846.0,0.0,0.0,206168.06,,,206168.06,No,0.0,,0.0,,4.22,4.22,,,0.0,,UnitedHealthcare Insurance Company,Alabama,700.0,43907.0,0.0,0.0,-724205.96,,,-724205.96,No,0.0,,0.0,,-16.49,-16.49,,,0.0
345,Fallon Health and Life Assurance Co.,Massachusetts,52710.0,367.0,48213.0,-207683.53,9572.0,841086.0,51087.41,,,No,-565.9,139.2,26.08,,17.45,,705.1,,,,Fallon Health and Life Assurance Co.,Massachusetts,200.0,27677.0,12681.85,17475.49,1727470.75,14000.29,,,No,63.41,70.0,87.38,,62.42,,6.59,,
346,"Kaiser Foundation Health Plan of Mid-Atlantic States, Inc.",District of Columbia,94506.0,22353.0,47595.0,316474.0,-751506.0,-1598160.0,316474.04,-751505.85,-1598160.33,Yes,14.16,14.16,-33.62,-33.62,-33.58,-33.58,0.0,0.0,0.0,-2033192.14,"Kaiser Foundation Health Plan of Mid-Atlantic States, Inc.",District of Columbia,28987.0,47724.0,493043.0,-1625924.0,-2940129.0,493299.21,-1625923.79,-2940128.99,Yes,17.01,17.02,-56.09,-56.09,-61.61,-61.61,0.01,0.0,0.0
347,Coventry Health & Life Insurance Company,West Virginia,26661.0,23174.0,46745.0,0.0,0.0,805014.72,,,805014.72,No,0.0,,0.0,,17.22,17.22,,,0.0,,Coventry Health & Life Insurance Company,West Virginia,141.0,36881.0,0.0,0.0,-516628.21,,,-516628.21,No,0.0,,0.0,,-14.01,-14.01,,,0.0
348,Cigna Health and Life Insurance Company,Georgia,50491.0,20959.0,46462.0,3655883.0,3395529.0,0.0,3655883.02,3395529.35,,No,174.43,174.43,162.01,162.01,0.0,,0.0,0.0,,,Cigna Health and Life Insurance Company,Georgia,44469.0,40411.0,3608645.0,3938467.0,0.0,3610522.83,3938467.33,,No,81.15,81.19,88.57,88.57,0.0,,0.04,0.0,
349,"Empire HealthChoice Assurance, Inc.",New York,44113.0,13522.0,45872.0,0.0,0.0,-2500144.31,,,-2505396.9,No,0.0,,0.0,,-54.5,-54.62,,,-0.11,,"Empire HealthChoice Assurance, Inc.",New York,213.0,21074.0,0.0,0.0,-1060038.06,,,-1060038.06,No,0.0,,0.0,,-50.3,-50.3,,,0.0
350,Federated Mutual Insurance Company,Wisconsin,92708.0,1.0,45264.0,0.0,0.0,59805.56,,,59805.56,No,0.0,,0.0,,1.32,1.32,,,0.0,,Federated Mutual Insurance Company,Wisconsin,0.0,41785.0,0.0,0.0,678006.47,,,678006.47,No,,,,,16.23,16.23,,,0.0
351,Aetna Life Insurance Company,Ohio,67129.0,76066.0,45162.0,753385.3,-225186.77,-593316.79,753385.3,-225186.77,-593316.79,No,9.9,9.9,-2.96,-2.96,-13.14,-13.14,0.0,0.0,0.0,-65118.26,Aetna Life Insurance Company,Ohio,260828.0,68312.0,6600034.03,-16376734.45,-481369.85,6603468.9,-16376734.46,-481369.85,No,25.3,25.32,-62.79,-62.79,-7.05,-7.05,0.01,0.0,0.0
352,"UnitedHealthcare of Georgia, Inc. ",Georgia,43802.0,178.0,44914.0,0.0,0.0,-123324.74,,,-123324.74,No,0.0,,0.0,,-2.75,-2.75,,,0.0,,"UnitedHealthcare of Georgia, Inc. ",Georgia,126026.0,31034.0,10981664.8,9760768.12,-114263.43,10987380.0,9760768.12,-111617.91,No,87.14,87.18,77.45,77.45,-3.68,-3.6,0.05,0.0,0.09
353,"The Vermont Health Plan, LLC",Vermont,99852.0,,44871.0,,,0.0,,,,No,,,,,0.0,0.0,,,0.0,0,"The Vermont Health Plan, LLC",Vermont,,0.0,,,0.0,,,,No,,,,,,,,,
354,Federated Mutual Insurance Company,Illinois,66143.0,12.0,44263.0,0.0,0.0,-390516.48,,,-390516.48,No,0.0,,0.0,,-8.82,-8.82,,,0.0,,Federated Mutual Insurance Company,Illinois,12.0,47122.0,0.0,0.0,1074693.73,,,1306490.38,No,0.0,,0.0,,22.81,27.73,,,4.92
355,Time Insurance Company,Arizona,80863.0,147996.0,44258.0,13874352.0,5883720.0,784686.0,13874351.63,5883719.72,784218.43,No,93.75,93.75,39.76,39.76,17.73,17.72,0.0,0.0,-0.01,20542289.78,Time Insurance Company,Arizona,137808.0,32712.0,12348425.0,4054101.0,325998.0,12354851.1,11878587.57,355617.92,No,89.61,89.65,29.42,86.2,9.97,10.87,0.05,56.78,0.91
356,Federated Mutual Insurance Company,Ohio,96800.0,1.0,44194.0,0.0,0.0,-264945.16,,,-264945.16,No,0.0,,0.0,,-6.0,-6.0,,,0.0,,Federated Mutual Insurance Company,Ohio,0.0,50997.0,0.0,0.0,-999288.99,,,-999288.99,No,,,,,-19.6,-19.6,,,0.0
357,Aetna Health Inc. (a Pennsylvania corporation),Delaware,67190.0,138.0,43949.0,0.0,0.0,12382.86,,,12382.86,No,0.0,,0.0,,0.28,0.28,,,0.0,,Aetna Health Inc. (a Pennsylvania corporation),Delaware,12516.0,45656.0,729231.6,-743159.52,-557909.15,729611.12,-743159.52,-557909.15,No,58.26,58.29,-59.38,-59.38,-12.22,-12.22,0.03,0.0,0.0
358,All Savers Insurance Company,Indiana,36373.0,0.0,43943.0,0.0,0.0,-422134.46,,,-425165.15,No,,,,,-9.61,-9.68,,,-0.07,,All Savers Insurance Company,Indiana,310475.0,25360.0,27267518.41,13324209.36,-46343.78,27281709.27,13324209.36,-48636.23,No,87.83,87.87,42.92,42.92,-1.83,-1.92,0.05,0.0,-0.09
359,All Savers Insurance Company,Florida,42204.0,138.0,43780.0,0.0,0.0,31520.79,,,31520.79,No,0.0,,0.0,,0.72,0.72,,,0.0,,All Savers Insurance Company,Florida,158.0,30287.0,0.0,0.0,-125918.62,,,-125918.62,No,0.0,,0.0,,-4.16,-4.16,,,0.0
360,"UnitedHealthcare of Colorado, Inc.",Colorado,59036.0,1532.0,43061.0,0.0,2323.96,1467609.8,,,1469933.76,No,0.0,,1.52,,34.08,34.14,,,0.05,,"UnitedHealthcare of Colorado, Inc.",Colorado,1201.0,50195.0,0.0,65134.38,-1585322.03,,,-1520187.65,No,0.0,,54.23,,-31.58,-30.29,,,1.3
361,Federated Mutual Insurance Company,Texas,19046.0,0.0,42925.0,0.0,0.0,-727599.82,,,-727599.82,No,,,,,-16.95,-16.95,,,0.0,,Federated Mutual Insurance Company,Texas,0.0,53397.0,0.0,0.0,-15045.63,,,-15045.63,No,,,,,-0.28,-0.28,,,0.0
362,All Savers Insurance Company,Mississippi,26781.0,81.0,42832.0,0.0,-168.09,-50383.64,,,-50551.73,No,0.0,,-2.08,,-1.18,-1.18,,,0.0,,All Savers Insurance Company,Mississippi,67.0,39946.0,0.0,0.0,-27052.78,,,-27052.78,No,0.0,,0.0,,-0.68,-0.68,,,0.0
363,UnitedHealthcare Insurance Company of the River Valley,North Carolina,58658.0,0.0,41766.0,0.0,0.0,-1228032.54,,,-1228032.54,No,,,,,-29.4,-29.4,,,0.0,,UnitedHealthcare Insurance Company of the River Valley,North Carolina,93.0,71992.0,0.0,0.0,-1453280.86,,,-1453280.86,No,0.0,,0.0,,-20.19,-20.19,,,0.0
364,"GEMCare Health Plan, Inc.",California,79325.0,,40907.0,,,,,,,No,,,,,0.0,0.0,,,0.0,0,"GEMCare Health Plan, Inc.",California,,32764.0,,,0.0,,,,No,,,,,0.0,0.0,,,0.0
365,UnitedHealthcare of Illinois Inc,Illinois,42529.0,21.0,40461.0,0.0,0.0,-724765.7,,,-724765.7,No,0.0,,0.0,,-17.91,-17.91,,,0.0,,UnitedHealthcare of Illinois Inc,Illinois,12.0,35480.0,0.0,-8144.77,-1177001.47,,,-1185146.24,No,0.0,,-678.73,,-33.17,-33.4,,,-0.23
366,MercyCare HMO,Wisconsin,58326.0,7914.0,40296.0,1158384.0,553471.0,176359.0,1158384.25,553470.57,176359.16,No,146.37,146.37,69.94,69.94,4.38,4.38,0.0,0.0,0.0,1888213.98,MercyCare HMO,Wisconsin,10511.0,17819.0,1039096.92,686857.72,224237.16,1039637.7,686857.72,224237.16,No,98.86,98.91,65.35,65.35,12.58,12.58,0.05,0.0,0.0
367,UnitedHealthcare Insurance Company,United States Virgin Islands,12964.0,239.0,40169.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,UnitedHealthcare Insurance Company,United States Virgin Islands,541.0,46076.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,Pekin Life Insurance Company,Illinois,18389.0,114.0,39821.0,,,-52688.0,,,-52688.31,No,0.0,,0.0,,-1.32,-1.32,,,0.0,,Pekin Life Insurance Company,Illinois,96.0,42936.0,,,-476619.0,,,-476618.51,No,0.0,,0.0,,-11.1,-11.1,,,0.0
369,Keystone Health Plan Central,Pennsylvania,53789.0,12894.0,39670.0,1122657.0,238390.0,-78245.0,1122656.96,238390.33,-78244.77,No,87.07,87.07,18.49,18.49,-1.97,-1.97,0.0,0.0,0.0,1282802.52,Keystone Health Plan Central,Pennsylvania,30665.0,17939.0,1234236.0,298017.0,5269.0,1234878.34,298016.86,5269.47,No,40.25,40.27,9.72,9.72,0.29,0.29,0.02,0.0,0.0
370,Time Insurance Company,Wisconsin,94073.0,174728.0,39192.0,9155177.0,5745648.0,-145802.0,9155177.35,5745648.38,-145802.24,No,52.4,52.4,32.88,32.88,-3.72,-3.72,0.0,0.0,0.0,14755023.49,Time Insurance Company,Wisconsin,120758.0,2971.0,3358781.0,2979855.0,405231.0,3360528.96,2979855.24,405231.13,No,27.81,27.83,24.68,24.68,136.4,136.4,0.01,0.0,0.0
371,Humana Insurance Company,Mississippi,48963.0,390056.0,37314.0,24487153.98,1064234.77,-492484.94,24487153.98,1064234.77,-492484.94,No,62.78,62.78,2.73,2.73,-13.2,-13.2,0.0,0.0,0.0,25058903.81,Humana Insurance Company,Mississippi,336079.0,32615.0,18775352.59,13191678.23,-52010.25,18785123.87,13191678.23,-52010.25,No,55.87,55.89,39.25,39.25,-1.59,-1.59,0.03,0.0,0.0
372,Time Insurance Company,Indiana,91842.0,176875.0,36418.0,15491453.0,8505434.0,-89122.0,15491452.97,8505433.96,-90416.73,No,87.58,87.58,48.09,48.09,-2.45,-2.48,0.0,0.0,-0.04,23906470.2,Time Insurance Company,Indiana,150303.0,20912.0,12092873.0,15394607.0,476778.0,12099166.58,15394607.15,472972.29,No,80.46,80.5,102.42,102.42,22.8,22.62,0.04,0.0,-0.18
373,Federated Mutual Insurance Company,Georgia,38835.0,91.0,36366.0,0.0,0.0,-55911.28,,,-55911.28,No,0.0,,0.0,,-1.54,-1.54,,,0.0,,Federated Mutual Insurance Company,Georgia,59.0,44887.0,0.0,0.0,-828282.28,,,-818531.15,No,0.0,,0.0,,-18.45,-18.24,,,0.22
