Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsurance Per Member Month,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
UnitedHealthcare Insurance Company,West Virginia,77060,571,5374,0,0,-100035.49,N/E,$-,-100035.49,No,0.00,#VALUE!,0.00,#VALUE!,-18.61,-18.61,#VALUE!,#VALUE!,0.00
Aetna Life Insurance Company,Michigan,81068,29548,5359,613289.43,-1395523.23,0,613608.61,-1395523.24,$-,No,20.76,20.77,-47.23,-47.23,0.00,#VALUE!,0.01,0.00,#VALUE!
"Humana Health Plan, Inc.",Indiana,43442,,5118,,,-102658.68,N/E,$-,-102658.68,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-20.06,-20.06,#VALUE!,#VALUE!,0.00
Federated Mutual Insurance Company,Mississippi,38420,0,5018,0,0,-75474.34,N/E,$-,-75474.34,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-15.04,-15.04,#VALUE!,#VALUE!,0.00
Time Insurance Company,Montana,24867,67694,5008,2892619,1231201,-309928,2894124.53,1231200.88,-309927.67,No,42.73,42.75,18.19,18.19,-61.89,-61.89,0.02,0.00,0.00
John Alden Life Insurance Company,Missouri,49221,7379,4995,0,0,30517,N/E,$-,30517.37,No,0.00,#VALUE!,0.00,#VALUE!,6.11,6.11,#VALUE!,#VALUE!,0.00
Tufts Insurance Company,Rhode Island,26322,0,4962,0,0,965516,N/E,$-,965515.97,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,194.58,194.58,#VALUE!,#VALUE!,0.00
Aetna Life Insurance Company,Delaware,29497,23387,4936,983449.96,-1832345.1,-241246.17,983961.77,-1832345.10,-241246.17,No,42.05,42.07,-78.35,-78.35,-48.87,-48.87,0.02,0.00,0.00
Coventry Health & Life Insurance Company,Florida,76089,280,4870,0,0,-31756.97,N/E,$-,-31756.97,No,0.00,#VALUE!,0.00,#VALUE!,-6.52,-6.52,#VALUE!,#VALUE!,0.00
MercyCare Insurance Company,Wisconsin,35334,,4838,0,0,-585670.39,N/E,$-,-585670.39,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-121.06,-121.06,#VALUE!,#VALUE!,0.00
Coventry Health & Life Insurance Company,Pennsylvania,16072,3060,4731,0,0,-101341.74,0.00,$-,-101341.75,No,0.00,0.00,0.00,#VALUE!,-21.42,-21.42,0.00,#VALUE!,0.00
LifeWise Health Plan of Washington,Washington,38498,777909,4679,23266684,-22413845,,23278792.62,-22413845.18,$-,Yes,29.91,29.92,-28.81,-28.81,0.00,#VALUE!,0.02,0.00,#VALUE!
TransAmerica Premier Life Insurance,New Jersey,54616,,4584,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Capital Advantage Insurance Company,Pennsylvania,82795,0,4490,0,0,84422,0.00,$-,84421.79,No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,18.80,18.80,#DIV/0!,#VALUE!,0.00
Aetna Health Inc. (a Pennsylvania corporation),Oklahoma,76275,48,4471,0,0,-184764.7,N/E,$-,-184766.55,No,0.00,#VALUE!,0.00,#VALUE!,-41.33,-41.33,#VALUE!,#VALUE!,0.00
John Alden Life Insurance Company,Nevada,87446,435,4318,0,0,-333229,N/E,$-,-333228.58,No,0.00,#VALUE!,0.00,#VALUE!,-77.17,-77.17,#VALUE!,#VALUE!,0.00
Nippon Life Insurance Company of America,Indiana,98761,,4215,,,-153115.64,N/E,$-,-153115.64,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-36.33,-36.33,#VALUE!,#VALUE!,0.00
Federated Mutual Insurance Company,West Virginia,14414,0,4189,0,0,109960.53,N/E,$-,109960.53,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,26.25,26.25,#VALUE!,#VALUE!,0.00
Cigna Health and Life Insurance Company,Ohio,91365,0,4144,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
John Alden Life Insurance Company,Georgia,50313,6138,4070,0,0,123773,N/E,$-,123868.75,No,0.00,#VALUE!,0.00,#VALUE!,30.41,30.43,#VALUE!,#VALUE!,0.02
National Health Insurance Company,California,64618,,3924,,,-161102,0.00,$-,-161102.44,No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,-41.06,-41.06,#DIV/0!,#VALUE!,0.00
Cigna Health and Life Insurance Company,Virginia,41921,0,3912,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
"HealthAmerica Pennsylvania, Inc.",Pennsylvania,91303,76021,3878,2390670.97,-2527671.53,0,2391915.15,-2527671.54,$-,No,31.45,31.46,-33.25,-33.25,0.00,#VALUE!,0.02,0.00,#VALUE!
Nippon Life Insurance Company of America,Georgia,12442,,3505,,,128961.93,N/E,$-,130774.07,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,36.79,37.31,#VALUE!,#VALUE!,0.52
"Medical Associates Health Plan, Inc",Illinois,24301,,3436,,,-348671,N/E,$-,-348670.80,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-101.48,-101.48,#VALUE!,#VALUE!,0.00
US Health and Life Insurance Company,Wisconsin,22554,,3434,,,,N/E,$-,-3848.16,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,0.00,-1.12,#VALUE!,#VALUE!,-1.12
Kentucky Health Cooperative,Kentucky,77894,623708,3394,35088262,-2353555,-471751,35150774.64,-2353554.57,-471751.15,Yes,56.26,56.36,-3.77,-3.77,-139.00,-139.00,0.10,0.00,0.00
Montana Health Cooperative,Idaho,38128,216324,3385,7007697,-6390206,-196034,7011343.81,-6390206.43,-196033.64,Yes,32.39,32.41,-29.54,-29.54,-57.91,-57.91,0.02,0.00,0.00
John Alden Life Insurance Company,Wisconsin,94720,2435,3302,0,0,44878,N/E,$-,44877.57,No,0.00,#VALUE!,0.00,#VALUE!,13.59,13.59,#VALUE!,#VALUE!,0.00
Crystal Run Health Insurance Company Inc.,New York,43477,,3207,,,-578572,N/E,$-,-578572.33,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-180.41,-180.41,#VALUE!,#VALUE!,0.00
Pekin Life Insurance Company,Wisconsin,69424,,3186,,,-5359,N/E,$-,-5359.01,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-1.68,-1.68,#VALUE!,#VALUE!,0.00
Cigna Health and Life Insurance Company,Maryland,32812,4317,3185,690666,1034980,0,691025.23,1034979.80,$-,No,159.99,160.07,239.75,239.75,0.00,#VALUE!,0.08,0.00,#VALUE!
Medical Benefits Mutual Life Insurance Co.,Indiana,46881,,3179,,,,N/E,$-,-153245.43,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,0.00,-48.21,#VALUE!,#VALUE!,-48.21
Standard Security Life Insurance Company of New York,North Carolina,76871,,3141,,,-13144.34,N/E,$-,-13138.66,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-4.18,-4.18,#VALUE!,#VALUE!,0.00
Neighborhood Health Plan of Rhode Island,Rhode Island,77514,187810,3128,1434546.04,-8608201.54,-343863.12,1435292.63,-8608201.54,-343863.12,Yes,7.64,7.64,-45.83,-45.83,-109.93,-109.93,0.00,0.00,0.00
Medical Benefits Mutual Life Insurance Co.,Ohio,12512,,3125,,,,N/E,$-,-523658.60,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,0.00,-167.57,#VALUE!,#VALUE!,-167.57
"BlueCross BlueShield Kansas Solutions, Inc.",Kansas,27811,212523,3063,6310285,-11980762,-355579,6313568.90,-11980761.66,-355578.67,Yes,29.69,29.71,-56.37,-56.37,-116.09,-116.09,0.02,0.00,0.00
UnitedHealthcare Insurance Company,Delaware,61021,358,3046,0,7906.43,59552.4,N/E,$-,67458.83,No,0.00,#VALUE!,22.09,#VALUE!,19.55,22.15,#VALUE!,#VALUE!,2.60
Time Insurance Company,Wisconsin,94073,120758,2971,3358781,2979855,405231,3360528.96,2979855.24,405231.13,No,27.81,27.83,24.68,24.68,136.40,136.40,0.01,0.00,0.00
Aetna Health of Utah Inc.,Wyoming,79022,1259,2950,0,-78269.69,-153666.93,0.00,-78269.70,-153666.93,No,0.00,0.00,-62.17,-62.17,-52.09,-52.09,0.00,0.00,0.00
"GMS Reinsurance Company, LTD",Indiana,13288,,2912,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
"Louisiana Health Cooperative, Inc.",Louisiana,67202,287238,2901,6803332.38,-8658833.22,-177962.62,6806873.05,-8658833.22,-177962.62,Yes,23.69,23.70,-30.15,-30.15,-61.35,-61.35,0.01,0.00,0.00
"County of Ventura, dba Ventura County Health Care Plan",California,56887,,2868,,,358925.34,0.00,$-,358925.34,Yes,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,125.15,125.15,#DIV/0!,#VALUE!,0.00
Grand Valley Health Plan,Michigan,36622,102,2832,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Harvard Pilgrim Health Care of Connecticut, Inc.",Connecticut,95882,,2813,,,-586198.35,N/E,$-,-586198.35,Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-208.39,-208.39,#VALUE!,#VALUE!,0.00
Cigna Health and Life Insurance Company,Colorado,49375,90880,2771,6428384,6818790,0,6431729.43,10417522.17,$-,No,70.73,70.77,75.03,114.63,0.00,#VALUE!,0.04,39.60,#VALUE!
Time Insurance Company,Louisiana,31434,20764,2758,1117513,-317760,-14565,1118095.05,-317760.30,-14565.43,No,53.82,53.85,-15.30,-15.30,-5.28,-5.28,0.03,0.00,0.00
Time Insurance Company,North Carolina,87696,82276,2702,2412911,-2641746,-271230,2414167.19,-2641746.14,-271229.67,No,29.33,29.34,-32.11,-32.11,-100.38,-100.38,0.02,0.00,0.00
UnitedHealthcare Insurance Company,Kentucky,28773,319,2670,0,0,-121359.44,N/E,$-,-121359.44,No,0.00,#VALUE!,0.00,#VALUE!,-45.45,-45.45,#VALUE!,#VALUE!,0.00
National Health Insurance Company,Texas,92224,,2652,,,-173037,0.00,$-,-173037.07,No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,-65.25,-65.25,#DIV/0!,#VALUE!,0.00
Cigna Health and Life Insurance Company,District of Columbia,32921,0,2535,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Time Insurance Company,Florida,62662,778753,2514,76081688,35074237,-112613,76121282.95,35074237.06,-112612.60,No,97.70,97.75,45.04,45.04,-44.79,-44.79,0.05,0.00,0.00
Time Insurance Company,South Carolina,39996,50993,2486,4795113,5534568,283969,4797608.36,5534568.01,283969.26,No,94.03,94.08,108.54,108.54,114.23,114.23,0.05,0.00,0.00
"Preferred Medical Plan, Inc.",Florida,51398,741265,2447,11384480,-62496825,0,11390404.66,-62496825.44,$-,No,15.36,15.37,-84.31,-84.31,0.00,#VALUE!,0.01,0.00,#VALUE!
Medica Health Plans,North Dakota,73751,53628,2437,1917695.77,-825246.58,389024.19,1918693.80,-825246.58,389024.19,Yes,35.76,35.78,-15.39,-15.39,159.63,159.63,0.02,0.00,0.00
"Mennonite General Hospital, Inc",Puerto Rico,77944,30384,2436,,,,,,,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
THP Insurance Company,West Virginia,59772,0,2413,0,0,-62875,N/E,$-,-62874.74,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-26.06,-26.06,#VALUE!,#VALUE!,0.00
John Alden Life Insurance Company,Tennessee,40778,1608,2404,0,0,-46256,N/E,$-,-46256.21,No,0.00,#VALUE!,0.00,#VALUE!,-19.24,-19.24,#VALUE!,#VALUE!,0.00
Sanford Health Plan,Iowa,85930,,2390,,,-19387.07,N/E,$-,-19387.07,Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-8.11,-8.11,#VALUE!,#VALUE!,0.00
Time Insurance Company,Pennsylvania,19068,77397,2380,3983204,3948940,-394254,3985277.18,3948940.01,-394254.42,No,51.46,51.49,51.02,51.02,-165.65,-165.65,0.03,0.00,0.00
"HMO Colorado, Inc., dba HMO Nevada",Nevada,60156,163550,2284,5081257.08,-8860894.35,-27406,5077744.17,-8860894.35,-27406.00,No,31.07,31.05,-54.18,-54.18,-12.00,-12.00,-0.02,0.00,0.00
Time Insurance Company,Oklahoma,29176,55501,2262,2436838,2245893,-149746,2438106.47,2221935.85,-149749.38,No,43.91,43.93,40.47,40.03,-66.20,-66.20,0.02,-0.43,0.00
"Humana Health Plan, Inc.",Kansas,49857,,2181,,,37672.29,0.00,$-,37672.29,No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,17.27,17.27,#DIV/0!,#VALUE!,0.00
John Alden Life Insurance Company,Oklahoma,67088,2057,2130,0,0,-178742,N/E,$-,-178744.41,No,0.00,#VALUE!,0.00,#VALUE!,-83.92,-83.92,#VALUE!,#VALUE!,0.00
Coventry Health & Life Insurance Company,Louisiana,22381,0,2099,0,0,-65433.61,N/E,$-,-65433.61,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-31.17,-31.17,#VALUE!,#VALUE!,0.00
"Gundersen Health Plan Minnesota, Inc.",Minnesota,70373,111,2089,113491.61,-17274.78,-76964.5,113550.68,-17274.78,-76964.50,Yes,1022.45,1022.98,-155.63,-155.63,-36.84,-36.84,0.53,0.00,0.00
Cigna Health and Life Insurance Company,Nevada,13207,0,2058,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Cigna Health and Life Insurance Company,Arizona,86830,11908,1943,1430778,1029129,-36,1431522.46,2978136.23,-35.55,No,120.15,120.22,86.42,250.10,-0.02,-0.02,0.06,163.67,0.00
Kaiser Permanente Insurance Company,Ohio,32032,,1910,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Heart of America Health Plan,North Dakota,62838,2073,1908,,,,,,,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
John Alden Life Insurance Company,North Carolina,59977,3338,1894,0,-138633,-11962,0.00,-138633.22,-11962.08,No,0.00,0.00,-41.53,-41.53,-6.32,-6.32,0.00,0.00,0.00
"Cigna HealthCare of Texas, Inc.",Texas,76589,376,1889,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Humana Insurance Company,Arkansas,99685,8077,1810,149105.97,-484230.53,91590.58,149183.57,-484230.53,91590.58,No,18.46,18.47,-59.95,-59.95,50.60,50.60,0.01,0.00,0.00
"Madison National Life Insurance Company, Inc.",North Carolina,42513,,1730,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
"GOOD HEALTH HMO, INC. d/b/a BLUE CARE, INC.",Missouri,86686,32,1716,,,,,,,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WMI Mutual Insurance Company,Nevada,42313,,1710,,,-37460.95,N/E,$-,-37460.95,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-21.91,-21.91,#VALUE!,#VALUE!,0.00
Standard Security Life Insurance Company of New York,Michigan,57141,,1708,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Aetna Health Inc. (a Pennsylvania corporation),West Virginia,44434,1635,1693,0,-295477.04,-562420.22,0.00,-295477.04,-562420.22,No,0.00,0.00,-180.72,-180.72,-332.20,-332.20,0.00,0.00,0.00
"UnitedHealthcare of Oklahoma, Inc. ",Oklahoma,45480,48,1684,0,6877.62,237283.79,N/E,$-,244157.12,No,0.00,#VALUE!,143.28,#VALUE!,140.90,144.99,#VALUE!,#VALUE!,4.08
Kaiser Permanente Insurance Company,Georgia,82302,,1675,,,54644,N/E,$-,54610.53,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,32.62,32.60,#VALUE!,#VALUE!,-0.02
Aetna Health of Utah Inc.,Idaho,61175,337,1652,14684.41,-16255.23,-174731.4,14692.05,-16255.24,-174731.40,No,43.57,43.60,-48.24,-48.24,-105.77,-105.77,0.02,0.00,0.00
Aetna Health Inc. (a Connecticut corporation),Connecticut,75017,0,1560,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Cigna Health and Life Insurance Company,Indiana,94419,0,1557,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Pekin Life Insurance Company,Iowa,51474,,1503,,,11751,N/E,$-,29025.45,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,7.82,19.31,#VALUE!,#VALUE!,11.49
MAMSI Life and Health Insurance Company,District of Columbia,17498,0,1494,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
"GOOD HEALTH HMO, INC. d/b/a BLUE CARE, INC.",Kansas,46416,48,1487,,,,,,,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Insurance Company,North Dakota,55105,46779,1307,1948237,-162737,155952,1949251.42,-162737.22,155951.59,No,41.65,41.67,-3.48,-3.48,119.32,119.32,0.02,0.00,0.00
"Gundersen Health Plan, Inc.",Iowa,27651,739,1294,169590.23,145488.79,10907.04,169678.49,160860.73,26939.77,Yes,229.49,229.61,196.87,217.67,8.43,20.82,0.12,20.80,12.39
"Cox Health Systems, HMO, Inc.",Missouri,82047,,1286,,,,,,,Yes,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Time Insurance Company,Arkansas,30991,15038,1253,852995,-668914,-271493,853438.80,-668914.23,-271493.27,No,56.72,56.75,-44.48,-44.48,-216.67,-216.67,0.03,0.00,0.00
Highmark Choice Company,Pennsylvania,38949,43144,1240,81905,63116,-7981,81947.41,63115.80,-7980.98,Yes,1.90,1.90,1.46,1.46,-6.44,-6.44,0.00,0.00,0.00
John Alden Life Insurance Company,Kansas,98618,427,1226,0,0,109792,N/E,$-,109791.51,No,0.00,#VALUE!,0.00,#VALUE!,89.55,89.55,#VALUE!,#VALUE!,0.00
Kaiser Permanente Insurance Company,Colorado,35944,,1216,,,-124134,N/E,$-,-124133.71,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-102.08,-102.08,#VALUE!,#VALUE!,0.00
John Alden Life Insurance Company,North Dakota,99806,1908,1201,0,0,-58311,N/E,$-,-58311.32,No,0.00,#VALUE!,0.00,#VALUE!,-48.55,-48.55,#VALUE!,#VALUE!,0.00
Time Insurance Company,South Dakota,77144,5498,1181,381626,-21717,-8783,381824.21,-21716.99,-8782.86,No,69.41,69.45,-3.95,-3.95,-7.44,-7.44,0.04,0.00,0.00
Aetna Life Insurance Company,South Carolina,22369,3120,1177,0,0,-183730.55,N/E,$-,-183730.56,No,0.00,#VALUE!,0.00,#VALUE!,-156.10,-156.10,#VALUE!,#VALUE!,0.00
Cigna Health and Life Insurance Company,Maine,94811,0,1148,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Coventry Health & Life Insurance Company,South Carolina,56262,0,1079,0,0,-136305.64,N/E,$-,-136305.65,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-126.33,-126.33,#VALUE!,#VALUE!,0.00
United Healthcare Life Insurance Company,Mississippi,61794,10571,1064,177997.67,-448183.32,-40377.81,178090.31,-448183.32,-40377.81,No,16.84,16.85,-42.40,-42.40,-37.95,-37.95,0.01,0.00,0.00
"ConnectiCare, Inc",Connecticut,75091,11204,1041,26556.12,-1899005,-6352,26569.95,-1899004.88,-6351.77,No,2.37,2.37,-169.49,-169.49,-6.10,-6.10,0.00,0.00,0.00
John Alden Life Insurance Company,Virginia,96835,628,1023,0,0,-108865,N/E,$-,-108864.52,No,0.00,#VALUE!,0.00,#VALUE!,-106.42,-106.42,#VALUE!,#VALUE!,0.00
John Alden Life Insurance Company,Nebraska,80698,2420,1022,0,0,-21959,N/E,$-,-21958.59,No,0.00,#VALUE!,0.00,#VALUE!,-21.49,-21.49,#VALUE!,#VALUE!,0.00
Sanford Health Plan of Minnesota,Minnesota,52346,,1000,,,-144150.88,N/E,$-,-144150.88,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-144.15,-144.15,#VALUE!,#VALUE!,0.00
Cigna Health and Life Insurance Company,Vermont,63472,0,980,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Companion Life Insurance Company,Missouri,71691,177,973,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
John Alden Life Insurance Company,South Carolina,89728,2384,917,0,0,35429,N/E,$-,35428.72,No,0.00,#VALUE!,0.00,#VALUE!,38.64,38.64,#VALUE!,#VALUE!,0.00
Coventry Health & Life Insurance Company,Tennessee,78575,0,908,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Standard Security Life Insurance Company of New York,Nebraska,89156,,898,,,-6027.86,N/E,$-,-6025.22,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-6.71,-6.71,#VALUE!,#VALUE!,0.00
National Health Insurance Company,Idaho,43541,,890,,,-54156,0.00,$-,-54156.38,No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,-60.85,-60.85,#DIV/0!,#VALUE!,0.00
UnitedHealthcare Insurance Company,New Jersey,37777,0,864,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
John Alden Life Insurance Company,Mississippi,49900,679,864,0,0,-57304,N/E,$-,-57304.43,No,0.00,#VALUE!,0.00,#VALUE!,-66.32,-66.32,#VALUE!,#VALUE!,0.00
CONTRA COSTA MEDICAL SERVICES DBA CONTRA COSTA HEALTH PLAN,California,99483,,819,,,,,,,Yes,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
"Samaritan Health Plans, Inc",Oregon,33375,,800,,,198705.22,N/E,$-,198705.22,Yes,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,248.38,248.38,#VALUE!,#VALUE!,0.00
Companion Life Insurance Company,Arkansas,28448,75,796,,,,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
John Alden Life Insurance Company,Idaho,52156,270,795,0,0,9713,N/E,$-,9713.17,No,0.00,#VALUE!,0.00,#VALUE!,12.22,12.22,#VALUE!,#VALUE!,0.00
Standard Security Life Insurance Company of New York,South Carolina,73714,,791,,,-3868.24,N/E,$-,-3867.10,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-4.89,-4.89,#VALUE!,#VALUE!,0.00
Aetna Life Insurance Company,Oregon,67504,361,790,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
John Alden Life Insurance Company,Pennsylvania,58819,3900,780,0,0,-101659,N/E,$-,-101659.48,No,0.00,#VALUE!,0.00,#VALUE!,-130.33,-130.33,#VALUE!,#VALUE!,0.00
All Savers Insurance Company,North Carolina,72487,0,780,0,0,-102300.28,N/E,$-,-102300.28,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-131.15,-131.15,#VALUE!,#VALUE!,0.00
John Alden Life Insurance Company,Arkansas,51826,539,769,0,0,-7857,N/E,$-,-7856.65,No,0.00,#VALUE!,0.00,#VALUE!,-10.22,-10.22,#VALUE!,#VALUE!,0.00
WMI Mutual Insurance Company,Idaho,72114,,768,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Standard Security Life Insurance Company of New York,Wyoming,88269,,753,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Nippon Life Insurance Company of America,South Carolina,14820,,752,,,-166996.9,N/E,$-,-166996.90,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-222.07,-222.07,#VALUE!,#VALUE!,0.00
Cigna Health and Life Insurance Company,United States Virgin Islands,31744,0,742,0,0,0,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,#DIV/0!,0.00
Cigna Health and Life Insurance Company,Tennessee,99248,15616,741,961571,1397614,0,962071.92,1397613.95,$-,No,61.58,61.61,89.50,89.50,0.00,#VALUE!,0.03,0.00,#VALUE!
John Alden Life Insurance Company,Louisiana,89219,226,739,0,0,-30630,N/E,$-,-30629.80,No,0.00,#VALUE!,0.00,#VALUE!,-41.45,-41.45,#VALUE!,#VALUE!,0.00
UnitedHealthcare Insurance Company,Maine,90214,36,711,0,0,-12202.47,N/E,$-,-12202.47,No,0.00,#VALUE!,0.00,#VALUE!,-17.16,-17.16,#VALUE!,#VALUE!,0.00
Aetna Health of Utah Inc.,Nevada,65779,0,706,0,0,35537.64,0.00,$-,35537.64,No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,50.34,50.34,#DIV/0!,#VALUE!,0.00
Humana Insurance Company,Oklahoma,23468,2381,685,66139.02,74763.49,-69246.02,66173.45,74763.49,-69246.02,No,27.78,27.79,31.40,31.40,-101.09,-101.09,0.01,0.00,0.00
Paramount Care of Michigan,Michigan,23592,,666,,,-93353.98,N/E,$-,-93353.98,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-140.17,-140.17,#VALUE!,#VALUE!,0.00
Time Insurance Company,Kansas,71122,29203,655,1368035,838286,-22779,1368746.67,838285.82,-22779.35,No,46.85,46.87,28.71,28.71,-34.78,-34.78,0.02,0.00,0.00
John Alden Life Insurance Company,South Dakota,45253,24,634,0,0,0,,,,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Coventry Health & Life Insurance Company,South Dakota,66837,0,621,0,0,-180679.77,0.00,$-,-180679.77,No,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,-290.95,-290.95,#DIV/0!,#VALUE!,0.00
Federated Mutual Insurance Company,Alabama,44902,0,600,0,0,-18268.78,N/E,$-,-18268.78,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-30.45,-30.45,#VALUE!,#VALUE!,0.00
Standard Security Life Insurance Company of New York,Indiana,50442,,591,,,-27457.36,N/E,$-,-27473.51,No,#DIV/0!,#VALUE!,#DIV/0!,#VALUE!,-46.46,-46.49,#VALUE!,#VALUE!,-0.03
